arm_id,pulls,successes,mu_hat,log_e,cs_low,cs_high,rejected,alpha,m0,total_cost_usd,total_wallclock_s
algorithmic,11,7,0.6363636363636364,-0.3911900430948594,0.2153846153846154,0.9846153846153847,False,0.05,0.5,0.5136864000000001,3530.5
balanced,12,8,0.6666666666666666,0.06566703451736955,0.26153846153846155,0.9846153846153847,False,0.05,0.5,0.62440035,996.2
baseline,9,4,0.4444444444444444,-0.6130349258857373,0.06153846153846154,0.9384615384615385,False,0.05,0.5,0.5190651000000001,530.2
cautious,10,7,0.7,-0.1533697348441867,0.23076923076923078,0.9846153846153847,False,0.05,0.5,0.44607450000000004,495.59999999999997
domain_expert,19,15,0.7894736842105263,2.903922791274521,0.46153846153846156,0.9846153846153847,False,0.05,0.5,0.90382125,1137.6
exploratory,7,4,0.5714285714285714,-0.9826346200499378,0.046153846153846156,0.9846153846153847,False,0.05,0.5,0.5135808,4660.4
explorer,9,6,0.6666666666666666,-0.8843102148360986,0.15384615384615385,0.9846153846153847,False,0.05,0.5,0.29646435,223.10000000000002
junior_reactive,8,3,0.375,-0.6931471805599453,0.015384615384615385,0.8615384615384616,False,0.05,0.5,0.7298352,793.7
overthinker,9,6,0.6666666666666666,-0.3492827995619953,0.18461538461538463,0.9846153846153847,False,0.05,0.5,0.3183102,491.0
planner,8,3,0.375,-0.92908776990462,0.015384615384615385,0.8769230769230769,False,0.05,0.5,0.25664085000000003,695.0
rapid,10,6,0.6,-0.7104480710693089,0.18461538461538463,0.9846153846153847,False,0.05,0.5,0.45645765,1201.2
verifier,8,4,0.5,-0.8672255793928867,0.07692307692307693,0.9846153846153847,False,0.05,0.5,0.7442601,745.1999999999999
