arm_id,pulls,successes,mu_hat,log_e,cs_low,cs_high,rejected,alpha,m0,total_cost_usd,total_wallclock_s
algorithmic,5,3,0.6,-0.5753641449035618,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.24029489999999998,229.0
balanced,4,2,0.5,-0.7062973999468238,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.2710515,382.70000000000005
baseline,8,6,0.75,0.8274595181675394,0.26153846153846155,0.9846153846153847,False,0.05,0.5,0.39231119999999997,296.6
cautious,4,3,0.75,-0.3889358061569537,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.30286110000000005,305.0
domain_expert,4,2,0.5,-0.7062973999468238,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.2765112,446.2
exploratory,7,5,0.7142857142857143,0.23556607131276697,0.16923076923076924,0.9846153846153847,False,0.05,0.5,0.2441361,319.8
explorer,4,2,0.5,-0.7062973999468238,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.18317295,194.2
junior_reactive,3,2,0.6666666666666666,-0.6931471805599453,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.25028385000000003,237.7
overthinker,4,1,0.25,-0.6931471805599453,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.17271779999999998,386.5
planner,8,7,0.875,1.7396434680890414,0.3230769230769231,0.9846153846153847,False,0.05,0.5,0.35120535,420.5
rapid,5,3,0.6,-0.6866363555476667,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.2312577,331.5
verifier,4,2,0.5,-0.7062973999468238,0.015384615384615385,0.9846153846153847,False,0.05,0.5,0.32776830000000007,399.4
