run_id,t,task_id,arm_id,success,reward,steps,wallclock_s,tokens_input,tokens_output,tokens_cache_read,tokens_cache_write,tokens_cost_usd,tokens_invocations,global_log_e,global_rejected,policy_type,config_hash
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,1,task_e1,baseline,0,0.0,5,19.7,68800,1488,26624,0,0.0403248,5,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,2,task_e2,cautious,1,1.0,3,11.4,28064,923,13056,0,0.0163887,3,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,3,task_e3,balanced,1,1.0,6,22.1,87001,1755,37888,0,0.04757385,6,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,4,task_e4,rapid,1,1.0,5,17.3,47653,1075,28672,0,0.021223649999999997,5,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,5,task_e5,exploratory,1,1.0,4,11.4,38966,697,20736,0,0.0183642,4,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,6,task_e6,junior_reactive,1,1.0,5,15.2,49424,1006,29952,0,0.0213774,5,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,7,task_e7,planner,1,1.0,3,14.9,35428,1533,13056,0,0.024656700000000004,3,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,8,task_e8,verifier,1,1.0,3,11.2,35260,1045,15104,0,0.0209523,3,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,9,task_e9,explorer,1,1.0,5,16.1,49590,1016,28672,0,0.0224109,5,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,10,task_e10,overthinker,1,1.0,3,11.7,28578,1128,15104,0,0.0163143,3,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,11,task_e11,algorithmic,1,1.0,4,12.8,52344,875,22016,0,0.028334700000000004,4,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,12,task_e12,domain_expert,1,1.0,5,16.7,50187,1322,27904,0,0.024754050000000003,5,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,13,task_e13,baseline,1,1.0,6,18.0,58436,1215,36608,0,0.024584099999999998,6,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,14,task_e14,planner,1,1.0,4,11.9,39174,1006,22016,0,0.0190467,4,0.040821994520255256,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,15,task_e15,cautious,0,0.0,16,88.2,250264,8288,113920,0,0.148098,16,0.0,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,16,task_e16,explorer,1,1.0,3,13.0,35179,1188,13824,0,0.02239905,3,0.040821994520255256,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,17,task_e17,balanced,1,1.0,4,11.7,39395,727,20736,0,0.018820950000000003,4,0.08004270767353638,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,18,task_e18,overthinker,0,0.0,15,72.4,94059,2705,57344,0,0.04400955,9,0.04082199452025481,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z,19,task_e19,rapid,1,1.0,7,32.8,66852,1339,36608,0,0.0314541,6,0.08004270767353638,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,20,task_e20,verifier,1,1.0,7,28.2,71825,1796,44544,0,0.031883550000000004,7,0.11778303565638337,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,21,task_m1,exploratory,1,1.0,5,20.1,47483,1017,28672,0,0.02083515,5,0.15415067982725805,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,22,task_m2,algorithmic,1,1.0,12,61.9,159920,4208,68352,0,0.0927384,10,0.1892419996385284,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,23,task_m3,junior_reactive,0,0.0,30,180.0,325627,10005,185856,0,0.16378995000000002,22,0.15415067982725805,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,24,task_m4,domain_expert,1,1.0,15,69.5,231232,5312,103936,0,0.12717119999999998,15,0.1892419996385284,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,25,task_m5,planner,1,1.0,6,31.2,48101,1569,28672,0,0.023782650000000002,5,0.2396728532654202,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,26,task_m6,explorer,0,0.0,20,101.5,166676,4708,103168,0,0.0765546,14,0.18924199963852817,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,27,task_m7,balanced,0,0.0,33,168.9,285467,11253,211712,0,0.12183315,26,0.1361321743245798,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,28,task_m8,rapid,0,0.0,22,134.4,105747,3462,64256,0,0.05151645,10,0.08004270767353616,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,29,task_m9,verifier,0,0.0,30,180.0,308616,9330,144896,0,0.17564220000000003,18,0.020619287202735537,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,30,task_m10,exploratory,1,1.0,7,27.5,76580,1839,44544,0,0.0356433,7,0.08004270767353638,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,31,task_m11,algorithmic,1,1.0,5,18.6,50393,1223,28672,0,0.023944649999999998,5,0.1361321743245798,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,32,task_m12,domain_expert,0,0.0,30,180.0,146768,5517,102144,0,0.06595530000000001,13,0.08004270767353638,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,33,task_m13,planner,1,1.0,4,18.3,52456,1358,20736,0,0.031456200000000004,4,0.16303962724450427,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,34,task_m14,exploratory,1,1.0,5,20.7,48828,1014,28672,0,0.0218304,5,0.2396728532654202,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,35,task_m15,algorithmic,0,0.0,3,11.4,30286,644,15104,0,0.0154173,3,0.16303962724450427,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,36,task_m16,baseline,1,1.0,5,16.2,46744,851,25600,0,0.021607499999999998,5,0.16303962724450427,False,spruce,b5d7eb1ebd2f
webarena_gmail_adaptive_spruce_60_trial0_2026-06-19T21-46-42Z_resume_from_20,37,task_m17,planner,1,1.0,28,160.8,192513,6469,111104,0,0.09850004999999999,15,0.2758941166997386,False,spruce,b5d7eb1ebd2f
