run_id,t,task_id,arm_id,success,reward,steps,wallclock_s,tokens_input,tokens_output,tokens_cache_read,tokens_cache_write,tokens_cost_usd,tokens_invocations,global_log_e,global_rejected,policy_type,config_hash
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,1,task_e1,balanced,0,0.0,30,180.0,355685,7568,162816,0,0.19091895,20,0.0,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,2,task_e2,balanced,1,1.0,3,11.8,28074,644,13824,0,0.0146223,3,0.0,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,3,task_e3,balanced,1,1.0,4,16.7,52248,895,22016,0,0.028352699999999998,4,0.0,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,4,task_e4,balanced,1,1.0,22,130.9,198967,5134,101120,0,0.10407225,14,0.30421137440299156,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,5,task_e5,balanced,1,1.0,4,17.2,38956,744,20736,0,0.0185682,4,0.7096764825111559,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,6,task_e6,balanced,1,1.0,5,17.0,49480,1000,28672,0,0.0222564,5,1.1151415906193203,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,7,task_e7,balanced,0,0.0,30,180.0,472768,11841,212736,0,0.2642637,26,0.421994410059375,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,8,task_e8,balanced,0,0.0,30,180.0,182557,5872,129024,0,0.07625055,16,-0.2711527705005703,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,9,task_e9,balanced,1,1.0,5,19.0,49454,1053,28672,0,0.022475400000000003,5,-0.0195403884830867,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,10,task_e10,balanced,1,1.0,3,14.2,28451,932,15104,0,0.01533705,3,0.3176715572885423,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,11,task_e11,balanced,1,1.0,4,14.9,52314,833,20736,0,0.028987200000000005,4,0.7231366653967066,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,12,task_e12,balanced,1,1.0,5,16.8,50026,936,29952,0,0.0215139,5,1.128601773504871,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,13,task_e13,balanced,1,1.0,6,20.2,58524,1262,37888,0,0.023997599999999997,6,1.5340668816130354,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,14,task_e14,balanced,1,1.0,5,18.4,39232,929,22016,0,0.0187437,4,1.9395319897211998,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,15,task_e15,balanced,0,0.0,4,23.1,35353,1328,13824,0,0.02315955,3,1.2463848091612544,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,16,task_e16,balanced,0,0.0,5,27.0,69454,2108,28672,0,0.0422229,5,0.5532376286013091,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,17,task_e17,balanced,1,1.0,4,15.6,39357,730,20736,0,0.018805950000000002,4,0.9356542922764126,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,18,task_e18,balanced,0,0.0,19,87.5,154948,4598,97024,0,0.0714108,14,0.24250711171646733,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,19,task_e19,balanced,1,1.0,12,63.9,111963,2259,60416,0,0.05335695,9,0.5792615776175591,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,20,task_e20,balanced,1,1.0,9,51.0,72435,1735,44544,0,0.03206655,7,0.9537989342334832,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,21,task_m1,balanced,1,1.0,5,20.8,47499,1052,28672,0,0.02100465,5,1.3592640423416475,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,22,task_m2,balanced,1,1.0,4,18.2,49345,864,20736,0,0.02689995,4,1.764729150449812,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z,23,task_m3,balanced,0,0.0,30,180.0,182655,6497,101120,0,0.09797175,13,1.0715819698898668,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,24,task_m4,balanced,1,1.0,6,24.9,53846,1063,28672,0,0.0258144,5,1.4706656119907264,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,25,task_m5,balanced,1,1.0,5,22.0,47876,1304,29952,0,0.021557399999999997,5,1.8761307200988908,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,26,task_m6,balanced,0,0.0,30,180.0,97533,3467,60416,0,0.04797045,8,1.1829835395389456,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,27,task_m7,balanced,0,0.0,20,103.6,119580,3532,82176,0,0.05011020000000001,12,0.5329150108395305,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,28,task_m8,balanced,0,0.0,13,96.2,49282,1679,26624,0,0.0265458,5,0.026992349950432093,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,29,task_m9,balanced,0,0.0,20,103.3,221754,3804,96000,0,0.11863349999999999,14,-0.3724211709812436,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,30,task_m10,balanced,1,1.0,8,29.8,59261,1312,37632,0,0.024948150000000002,6,-0.13249982509041905,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,31,task_m11,balanced,1,1.0,5,17.9,50332,1155,28672,0,0.0235929,5,0.13248801468430857,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,32,task_m12,balanced,1,1.0,21,116.6,103517,3450,64256,0,0.04978995,10,0.42125643995717765,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,33,task_m13,balanced,1,1.0,4,17.0,52385,975,20736,0,0.02967945,4,0.7326880613014901,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,34,task_m14,balanced,1,1.0,5,19.8,47656,1112,28672,0,0.0213924,5,1.0658022855363785,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,35,task_m15,balanced,0,0.0,3,11.1,30101,565,15104,0,0.01492305,3,0.5130195084558937,False,uniform,8cb3314cd186
webarena_gmail_pair_balanced_60_trial0_2026-06-18T21-31-55Z_resume_from_24,36,task_m16,balanced,1,1.0,5,17.3,46917,941,29952,0,0.01920465,5,0.8257271481675674,False,uniform,8cb3314cd186
