run_id,t,task_id,arm_id,success,reward,steps,wallclock_s,tokens_input,tokens_output,tokens_cache_read,tokens_cache_write,tokens_cost_usd,tokens_invocations,global_log_e,global_rejected,policy_type,config_hash
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,1,task_e1,verifier,0,0.0,30,180.0,514559,12240,237568,0,0.28064085,29,0.0,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,2,task_e2,verifier,1,1.0,3,10.9,28186,822,13824,0,0.015507299999999998,3,0.0,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,3,task_e3,verifier,1,1.0,4,15.0,52384,1121,22016,0,0.0294717,4,0.0,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,4,task_e4,verifier,1,1.0,6,22.2,65292,1704,36608,0,0.03192659999999999,6,0.30421137440299156,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,5,task_e5,verifier,1,1.0,4,11.6,39150,828,20736,0,0.019091700000000003,4,0.7096764825111559,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,6,task_e6,verifier,1,1.0,5,15.8,49715,1190,29952,0,0.02242365,5,1.1151415906193203,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,7,task_e7,verifier,0,0.0,4,18.9,52944,1845,20736,0,0.0340137,4,0.421994410059375,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,8,task_e8,verifier,0,0.0,7,46.0,70018,2291,28672,0,0.04346939999999999,5,-0.2711527705005703,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,9,task_e9,verifier,1,1.0,7,29.9,49964,1137,28672,0,0.023235899999999997,5,-0.0195403884830867,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,10,task_e10,verifier,1,1.0,4,15.6,52305,1181,20736,0,0.03054645,4,0.3176715572885423,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,11,task_e11,verifier,1,1.0,4,14.7,52373,1040,22016,0,0.02909895,4,0.7231366653967066,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,12,task_e12,verifier,1,1.0,5,16.5,50123,1092,28672,0,0.023152650000000004,5,1.128601773504871,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,13,task_e13,verifier,1,1.0,7,23.2,68221,1898,45824,0,0.028775550000000004,7,1.5340668816130354,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,14,task_e14,verifier,1,1.0,4,13.2,39214,964,20736,0,0.0197517,4,1.9395319897211998,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,15,task_e15,verifier,0,0.0,30,180.0,473684,12278,209664,0,0.26899080000000003,25,1.2463848091612544,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,16,task_e16,verifier,1,1.0,5,23.9,52363,1709,21760,0,0.032274750000000005,4,1.6518499172694188,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,17,task_e17,verifier,1,1.0,4,14.3,39550,1082,22016,0,0.0196707,4,2.057315025377583,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,18,task_e18,verifier,0,0.0,30,180.0,264176,10069,183808,0,0.1193721,22,1.3641678448176378,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,19,task_e19,verifier,1,1.0,11,50.7,78199,2316,45568,0,0.03831285,7,1.7696329529258021,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z,20,task_e20,verifier,1,1.0,6,21.2,61265,1648,36608,0,0.028654350000000002,6,2.1750980610339665,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,21,task_m1,verifier,1,1.0,5,22.1,47355,1284,28672,0,0.02194065,5,2.580563169142131,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,22,task_m2,verifier,1,1.0,4,19.4,49468,1225,22016,0,0.0277527,4,2.9860282772502957,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,23,task_m3,verifier,0,0.0,30,180.0,150466,6317,102144,0,0.0723288,13,2.2928810966903503,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,24,task_m4,verifier,1,1.0,5,21.0,54362,1359,28672,0,0.0275334,5,2.698346204798515,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,25,task_m5,verifier,1,1.0,6,28.6,58333,2065,36608,0,0.02833185,6,3.1038113129066796,True,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,26,task_m6,verifier,0,0.0,16,95.3,104881,4224,58368,0,0.05827035000000001,9,2.410664132346734,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,27,task_m7,verifier,0,0.0,30,180.0,230377,8341,167936,0,0.09696045,20,1.7175169517867888,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,28,task_m8,verifier,1,1.0,21,107.5,153713,4952,96000,0,0.07276875,14,2.1229820598949534,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,29,task_m9,verifier,0,0.0,30,180.0,203363,7811,136960,0,0.09522375000000002,18,1.429834879335008,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,30,task_m10,verifier,1,1.0,6,23.0,58963,1338,38144,0,0.02449605,6,1.8132479619834625,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,31,task_m11,verifier,1,1.0,5,21.2,50327,1394,31488,0,0.022763850000000002,5,2.218713070091627,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,32,task_m12,verifier,0,0.0,30,180.0,215984,7958,160000,0,0.08979900000000002,19,1.5255658895316815,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,33,task_m13,verifier,1,1.0,5,22.8,69707,1536,22784,0,0.04381305,5,1.9035075029696364,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,34,task_m14,verifier,1,1.0,5,21.6,47710,1052,30208,0,0.0201261,5,2.3025458795735814,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,35,task_m15,verifier,0,0.0,3,14.9,30198,634,16128,0,0.0146151,3,1.609398699013636,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,36,task_m16,verifier,1,1.0,5,18.6,47063,1171,30464,0,0.020003550000000002,5,1.982762885595757,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,37,task_m17,verifier,0,0.0,30,180.0,322225,12575,218880,0,0.15051225000000001,25,1.3269903402408088,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_21,38,task_m18,verifier,1,1.0,27,215.9,214511,7789,145152,0,0.09795615,18,1.6780550413124975,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_39,39,task_m19,verifier,1,1.0,5,35.8,50124,1297,28672,0,0.0240759,5,2.047540036023518,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_39,40,task_m20,verifier,1,1.0,23,142.1,299559,9522,153856,0,0.16366545000000002,20,2.4348531467291883,False,uniform,236715d02e05
webarena_gmail_pair_verifier_60_trial0_2026-06-19T02-40-25Z_resume_from_41,41,task_h1,verifier,0,0.0,8,100.4,99563,2663,45568,0,0.055897350000000005,7,1.74429256957667,False,uniform,236715d02e05
