arm_id,pulls,successes,mu_hat,log_e,cs_low,cs_high,rejected,alpha,m0,total_cost_usd,total_wallclock_s
algorithmic,10,6,0.6,-0.8476114286187442,0.15384615384615385,0.9846153846153847,False,0.05,0.5,0.28526505,651.4
balanced,10,6,0.6,-1.115103058068758,0.13846153846153847,0.9692307692307693,False,0.05,0.5,0.45500205000000005,877.0
baseline,10,7,0.7,0.19317873810118436,0.24615384615384617,0.9846153846153847,False,0.05,0.5,0.4787658,547.1
cautious,10,5,0.5,-0.3057413308839202,0.1076923076923077,0.9384615384615385,False,0.05,0.5,0.61366005,743.1
domain_expert,10,6,0.6,-0.8476114286187442,0.15384615384615385,0.9846153846153847,False,0.05,0.5,0.423186,1069.5
exploratory,10,6,0.6,-0.8476114286187442,0.15384615384615385,0.9846153846153847,False,0.05,0.5,0.371499,539.3
explorer,10,4,0.4,-0.8668154466618367,0.015384615384615385,0.8307692307692308,False,0.05,0.5,0.50123655,727.8
junior_reactive,10,5,0.5,-1.1746665149957354,0.06153846153846154,0.9076923076923078,False,0.05,0.5,0.5366136,751.5
overthinker,10,4,0.4,-1.132513840343791,0.015384615384615385,0.8307692307692308,False,0.05,0.5,0.3510849,845.8
planner,10,6,0.6,-1.09511030838105,0.13846153846153847,0.9692307692307693,False,0.05,0.5,0.33929355,536.8
rapid,10,6,0.6,-0.7693592396281235,0.16923076923076924,0.9846153846153847,False,0.05,0.5,0.36386430000000003,691.2
verifier,10,3,0.3,0.0,0.015384615384615385,0.7692307692307693,False,0.05,0.5,0.7038108,1139.0
