policy,replicate,budget,timestep,best_arm_pull_share
uniform,0,160,1,0.0
uniform,0,160,2,0.0
uniform,0,160,3,0.0
uniform,0,160,4,0.0
uniform,0,160,5,0.0
uniform,0,160,6,0.0
uniform,0,160,7,0.0
uniform,0,160,8,0.0
uniform,0,160,9,0.0
uniform,0,160,10,0.0
uniform,0,160,11,0.0
uniform,0,160,12,0.0
uniform,0,160,13,0.0
uniform,0,160,14,0.0
uniform,0,160,15,0.0
uniform,0,160,16,0.0
uniform,0,160,17,0.0
uniform,0,160,18,0.05555555555555555
uniform,0,160,19,0.05263157894736842
uniform,0,160,20,0.05
uniform,0,160,21,0.047619047619047616
uniform,0,160,22,0.045454545454545456
uniform,0,160,23,0.043478260869565216
uniform,0,160,24,0.041666666666666664
uniform,0,160,25,0.04
uniform,0,160,26,0.038461538461538464
uniform,0,160,27,0.037037037037037035
uniform,0,160,28,0.03571428571428571
uniform,0,160,29,0.034482758620689655
uniform,0,160,30,0.03333333333333333
uniform,0,160,31,0.03225806451612903
uniform,0,160,32,0.03125
uniform,0,160,33,0.030303030303030304
uniform,0,160,34,0.029411764705882353
uniform,0,160,35,0.02857142857142857
uniform,0,160,36,0.05555555555555555
uniform,0,160,37,0.05405405405405406
uniform,0,160,38,0.05263157894736842
uniform,0,160,39,0.05128205128205128
uniform,0,160,40,0.05
uniform,0,160,41,0.04878048780487805
uniform,0,160,42,0.047619047619047616
uniform,0,160,43,0.046511627906976744
uniform,0,160,44,0.045454545454545456
uniform,0,160,45,0.044444444444444446
uniform,0,160,46,0.043478260869565216
uniform,0,160,47,0.0425531914893617
uniform,0,160,48,0.041666666666666664
uniform,0,160,49,0.04081632653061224
uniform,0,160,50,0.04
uniform,0,160,51,0.0392156862745098
uniform,0,160,52,0.038461538461538464
uniform,0,160,53,0.03773584905660377
uniform,0,160,54,0.05555555555555555
uniform,0,160,55,0.05454545454545454
uniform,0,160,56,0.05357142857142857
uniform,0,160,57,0.05263157894736842
uniform,0,160,58,0.05172413793103448
uniform,0,160,59,0.05084745762711865
uniform,0,160,60,0.05
uniform,0,160,61,0.04918032786885246
uniform,0,160,62,0.04838709677419355
uniform,0,160,63,0.047619047619047616
uniform,0,160,64,0.046875
uniform,0,160,65,0.046153846153846156
uniform,0,160,66,0.045454545454545456
uniform,0,160,67,0.04477611940298507
uniform,0,160,68,0.04411764705882353
uniform,0,160,69,0.043478260869565216
uniform,0,160,70,0.04285714285714286
uniform,0,160,71,0.04225352112676056
uniform,0,160,72,0.05555555555555555
uniform,0,160,73,0.0547945205479452
uniform,0,160,74,0.05405405405405406
uniform,0,160,75,0.05333333333333334
uniform,0,160,76,0.05263157894736842
uniform,0,160,77,0.05194805194805195
uniform,0,160,78,0.05128205128205128
uniform,0,160,79,0.05063291139240506
uniform,0,160,80,0.05
uniform,0,160,81,0.04938271604938271
uniform,0,160,82,0.04878048780487805
uniform,0,160,83,0.04819277108433735
uniform,0,160,84,0.047619047619047616
uniform,0,160,85,0.047058823529411764
uniform,0,160,86,0.046511627906976744
uniform,0,160,87,0.04597701149425287
uniform,0,160,88,0.045454545454545456
uniform,0,160,89,0.0449438202247191
uniform,0,160,90,0.05555555555555555
uniform,0,160,91,0.054945054945054944
uniform,0,160,92,0.05434782608695652
uniform,0,160,93,0.053763440860215055
uniform,0,160,94,0.05319148936170213
uniform,0,160,95,0.05263157894736842
uniform,0,160,96,0.052083333333333336
uniform,0,160,97,0.05154639175257732
uniform,0,160,98,0.05102040816326531
uniform,0,160,99,0.050505050505050504
uniform,0,160,100,0.05
uniform,0,160,101,0.04950495049504951
uniform,0,160,102,0.049019607843137254
uniform,0,160,103,0.04854368932038835
uniform,0,160,104,0.04807692307692308
uniform,0,160,105,0.047619047619047616
uniform,0,160,106,0.04716981132075472
uniform,0,160,107,0.04672897196261682
uniform,0,160,108,0.05555555555555555
uniform,0,160,109,0.05504587155963303
uniform,0,160,110,0.05454545454545454
uniform,0,160,111,0.05405405405405406
uniform,0,160,112,0.05357142857142857
uniform,0,160,113,0.05309734513274336
uniform,0,160,114,0.05263157894736842
uniform,0,160,115,0.05217391304347826
uniform,0,160,116,0.05172413793103448
uniform,0,160,117,0.05128205128205128
uniform,0,160,118,0.05084745762711865
uniform,0,160,119,0.05042016806722689
uniform,0,160,120,0.05
uniform,0,160,121,0.049586776859504134
uniform,0,160,122,0.04918032786885246
uniform,0,160,123,0.04878048780487805
uniform,0,160,124,0.04838709677419355
uniform,0,160,125,0.048
uniform,0,160,126,0.05555555555555555
uniform,0,160,127,0.05511811023622047
uniform,0,160,128,0.0546875
uniform,0,160,129,0.05426356589147287
uniform,0,160,130,0.05384615384615385
uniform,0,160,131,0.05343511450381679
uniform,0,160,132,0.05303030303030303
uniform,0,160,133,0.05263157894736842
uniform,0,160,134,0.05223880597014925
uniform,0,160,135,0.05185185185185185
uniform,0,160,136,0.051470588235294115
uniform,0,160,137,0.051094890510948905
uniform,0,160,138,0.050724637681159424
uniform,0,160,139,0.050359712230215826
uniform,0,160,140,0.05
uniform,0,160,141,0.04964539007092199
uniform,0,160,142,0.04929577464788732
uniform,0,160,143,0.04895104895104895
uniform,0,160,144,0.05555555555555555
uniform,0,160,145,0.05517241379310345
uniform,0,160,146,0.0547945205479452
uniform,0,160,147,0.05442176870748299
uniform,0,160,148,0.05405405405405406
uniform,0,160,149,0.053691275167785234
uniform,0,160,150,0.05333333333333334
uniform,0,160,151,0.052980132450331126
uniform,0,160,152,0.05263157894736842
uniform,0,160,153,0.05228758169934641
uniform,0,160,154,0.05194805194805195
uniform,0,160,155,0.05161290322580645
uniform,0,160,156,0.05128205128205128
uniform,0,160,157,0.050955414012738856
uniform,0,160,158,0.05063291139240506
uniform,0,160,159,0.050314465408805034
uniform,0,160,160,0.05
spruce,0,160,1,0.0
spruce,0,160,2,0.0
spruce,0,160,3,0.0
spruce,0,160,4,0.0
spruce,0,160,5,0.0
spruce,0,160,6,0.0
spruce,0,160,7,0.0
spruce,0,160,8,0.0
spruce,0,160,9,0.0
spruce,0,160,10,0.0
spruce,0,160,11,0.0
spruce,0,160,12,0.0
spruce,0,160,13,0.0
spruce,0,160,14,0.0
spruce,0,160,15,0.0
spruce,0,160,16,0.0
spruce,0,160,17,0.0
spruce,0,160,18,0.05555555555555555
spruce,0,160,19,0.05263157894736842
spruce,0,160,20,0.05
spruce,0,160,21,0.047619047619047616
spruce,0,160,22,0.045454545454545456
spruce,0,160,23,0.043478260869565216
spruce,0,160,24,0.041666666666666664
spruce,0,160,25,0.04
spruce,0,160,26,0.038461538461538464
spruce,0,160,27,0.037037037037037035
spruce,0,160,28,0.03571428571428571
spruce,0,160,29,0.034482758620689655
spruce,0,160,30,0.03333333333333333
spruce,0,160,31,0.03225806451612903
spruce,0,160,32,0.03125
spruce,0,160,33,0.030303030303030304
spruce,0,160,34,0.029411764705882353
spruce,0,160,35,0.02857142857142857
spruce,0,160,36,0.05555555555555555
spruce,0,160,37,0.05405405405405406
spruce,0,160,38,0.05263157894736842
spruce,0,160,39,0.05128205128205128
spruce,0,160,40,0.05
spruce,0,160,41,0.04878048780487805
spruce,0,160,42,0.047619047619047616
spruce,0,160,43,0.046511627906976744
spruce,0,160,44,0.06818181818181818
spruce,0,160,45,0.06666666666666667
spruce,0,160,46,0.06521739130434782
spruce,0,160,47,0.06382978723404255
spruce,0,160,48,0.0625
spruce,0,160,49,0.061224489795918366
spruce,0,160,50,0.06
spruce,0,160,51,0.058823529411764705
spruce,0,160,52,0.057692307692307696
spruce,0,160,53,0.05660377358490566
spruce,0,160,54,0.05555555555555555
spruce,0,160,55,0.05454545454545454
spruce,0,160,56,0.07142857142857142
spruce,0,160,57,0.07017543859649122
spruce,0,160,58,0.06896551724137931
spruce,0,160,59,0.06779661016949153
spruce,0,160,60,0.06666666666666667
spruce,0,160,61,0.06557377049180328
spruce,0,160,62,0.06451612903225806
spruce,0,160,63,0.06349206349206349
spruce,0,160,64,0.0625
spruce,0,160,65,0.06153846153846154
spruce,0,160,66,0.06060606060606061
spruce,0,160,67,0.07462686567164178
spruce,0,160,68,0.07352941176470588
spruce,0,160,69,0.07246376811594203
spruce,0,160,70,0.07142857142857142
spruce,0,160,71,0.07042253521126761
spruce,0,160,72,0.06944444444444445
spruce,0,160,73,0.0684931506849315
spruce,0,160,74,0.06756756756756757
spruce,0,160,75,0.08
spruce,0,160,76,0.07894736842105263
spruce,0,160,77,0.07792207792207792
spruce,0,160,78,0.07692307692307693
