policy,replicate,budget,timestep,entropy,normalized_entropy
uniform,0,160,1,-0.0,-0.0
uniform,0,160,2,0.6931471805599453,0.23981246656813146
uniform,0,160,3,1.0986122886681096,0.38009376671593426
uniform,0,160,4,1.3862943611198906,0.4796249331362629
uniform,0,160,5,1.6094379124341005,0.5568273036287807
uniform,0,160,6,1.791759469228055,0.6199062332840658
uniform,0,160,7,1.9459101490553132,0.6732387083908185
uniform,0,160,8,2.0794415416798357,0.7194373997043944
uniform,0,160,9,2.1972245773362196,0.7601875334318686
uniform,0,160,10,2.3025850929940455,0.7966397701969121
uniform,0,160,11,2.3978952727983707,0.8296148293891938
uniform,0,160,12,2.4849066497880004,0.8597186998521973
uniform,0,160,13,2.564949357461537,0.8874115761940966
uniform,0,160,14,2.6390573296152584,0.9130511749589498
uniform,0,160,15,2.70805020110221,0.9369210703447151
uniform,0,160,16,2.772588722239781,0.9592498662725258
uniform,0,160,17,2.833213344056216,0.9802245459658266
uniform,0,160,18,2.8903717578961645,1.0
uniform,0,160,19,2.8714761180548676,0.9934625572680482
uniform,0,160,20,2.8571028374420018,0.9884897434514174
uniform,0,160,21,2.8464803861348673,0.9848146275158581
uniform,0,160,22,2.8389889331546994,0.9822227626598229
uniform,0,160,23,2.8341258765552606,0.9805402605435627
uniform,0,160,24,2.831480240067973,0.979624933136263
uniform,0,160,25,2.8307134037546313,0.9793596259794078
uniform,0,160,26,2.8315444269076697,0.9796471402587624
uniform,0,160,27,2.833738745631032,0.9804063224357151
uniform,0,160,28,2.837099381203814,0.9815690225498446
uniform,0,160,29,2.8414600378375496,0.9830777062068249
uniform,0,160,30,2.846679637214199,0.9848835636583414
uniform,0,160,31,2.852637956273579,0.9869450005801154
uniform,0,160,32,2.859232119809774,0.9892264245935422
uniform,0,160,33,2.866373760957439,0.9916972628613722
uniform,0,160,34,2.873986707618566,0.994331161646305
uniform,0,160,35,2.882005086088324,0.9971053302105573
uniform,0,160,36,2.8903717578961645,1.0
uniform,0,160,37,2.884895182778212,0.9981052350435575
uniform,0,160,38,2.8804181726230462,0.9965562958308299
uniform,0,160,39,2.876845594467817,0.9953202686154833
uniform,0,160,40,2.8740927411215416,0.9943678467207028
uniform,0,160,41,2.8720839929340585,0.993672867543026
uniform,0,160,42,2.8707516771056385,0.9932119179005516
uniform,0,160,43,2.870035091638932,0.9929639963434894
uniform,0,160,44,2.869879667117499,0.9929102231494328
uniform,0,160,45,2.8702362443454756,0.9930335904038361
uniform,0,160,46,2.8710604497716514,0.9933187459115745
uniform,0,160,47,2.872312153755019,0.9937518057696872
uniform,0,160,48,2.873954999266822,0.9943201913094765
uniform,0,160,49,2.875955990689081,0.9950124868305603
uniform,0,160,50,2.8782851340573425,0.9958183151334071
uniform,0,160,51,2.8809151214807063,0.9967282283361565
uniform,0,160,52,2.8838210536139455,0.9977336118565637
uniform,0,160,53,2.886980195001301,0.9988265997667608
uniform,0,160,54,2.8903717578961645,1.0
uniform,0,160,55,2.8877985640224133,0.9991097360169253
uniform,0,160,56,2.8856419631453565,0.9983636033192316
uniform,0,160,57,2.8838743323344866,0.9977520450288349
uniform,0,160,58,2.882470150167473,0.9972662313395829
uniform,0,160,59,2.8814058086437857,0.9968979944438341
uniform,0,160,60,2.8806594445732787,0.9966397701969123
uniform,0,160,61,2.880210788150286,0.9964845457273377
uniform,0,160,62,2.8800410267244496,0.9964258123047692
uniform,0,160,63,2.8801326820366913,0.9964575228665651
uniform,0,160,64,2.880469499409199,0.9965740536801491
uniform,0,160,65,2.88103634756786,0.9967701696839512
uniform,0,160,66,2.8818191279388388,0.9970409931061771
uniform,0,160,67,2.882804692402071,0.9973819750094702
uniform,0,160,68,2.8839807686065306,0.997788869451767
