policy,replicate,budget,timestep,best_arm_pull_share
uniform,0,160,1,0.0
uniform,0,160,2,0.0
uniform,0,160,3,0.0
uniform,0,160,4,0.0
uniform,0,160,5,0.0
uniform,0,160,6,0.0
uniform,0,160,7,0.0
uniform,0,160,8,0.0
uniform,0,160,9,0.0
uniform,0,160,10,0.0
uniform,0,160,11,0.0
uniform,0,160,12,0.0
uniform,0,160,13,0.07692307692307693
uniform,0,160,14,0.07142857142857142
uniform,0,160,15,0.06666666666666667
uniform,0,160,16,0.0625
uniform,0,160,17,0.058823529411764705
uniform,0,160,18,0.05555555555555555
uniform,0,160,19,0.05263157894736842
uniform,0,160,20,0.05
uniform,0,160,21,0.047619047619047616
uniform,0,160,22,0.045454545454545456
uniform,0,160,23,0.043478260869565216
uniform,0,160,24,0.041666666666666664
uniform,0,160,25,0.04
uniform,0,160,26,0.07692307692307693
uniform,0,160,27,0.07407407407407407
uniform,0,160,28,0.07142857142857142
uniform,0,160,29,0.06896551724137931
uniform,0,160,30,0.06666666666666667
uniform,0,160,31,0.06451612903225806
uniform,0,160,32,0.0625
uniform,0,160,33,0.06060606060606061
uniform,0,160,34,0.058823529411764705
uniform,0,160,35,0.05714285714285714
uniform,0,160,36,0.05555555555555555
uniform,0,160,37,0.05405405405405406
uniform,0,160,38,0.05263157894736842
uniform,0,160,39,0.07692307692307693
uniform,0,160,40,0.075
uniform,0,160,41,0.07317073170731707
uniform,0,160,42,0.07142857142857142
uniform,0,160,43,0.06976744186046512
uniform,0,160,44,0.06818181818181818
uniform,0,160,45,0.06666666666666667
uniform,0,160,46,0.06521739130434782
uniform,0,160,47,0.06382978723404255
uniform,0,160,48,0.0625
uniform,0,160,49,0.061224489795918366
uniform,0,160,50,0.06
uniform,0,160,51,0.058823529411764705
uniform,0,160,52,0.07692307692307693
uniform,0,160,53,0.07547169811320754
uniform,0,160,54,0.07407407407407407
uniform,0,160,55,0.07272727272727272
uniform,0,160,56,0.07142857142857142
uniform,0,160,57,0.07017543859649122
uniform,0,160,58,0.06896551724137931
uniform,0,160,59,0.06779661016949153
uniform,0,160,60,0.06666666666666667
uniform,0,160,61,0.06557377049180328
uniform,0,160,62,0.06451612903225806
uniform,0,160,63,0.06349206349206349
uniform,0,160,64,0.0625
uniform,0,160,65,0.07692307692307693
uniform,0,160,66,0.07575757575757576
uniform,0,160,67,0.07462686567164178
uniform,0,160,68,0.07352941176470588
uniform,0,160,69,0.07246376811594203
uniform,0,160,70,0.07142857142857142
uniform,0,160,71,0.07042253521126761
uniform,0,160,72,0.06944444444444445
uniform,0,160,73,0.0684931506849315
uniform,0,160,74,0.06756756756756757
uniform,0,160,75,0.06666666666666667
uniform,0,160,76,0.06578947368421052
uniform,0,160,77,0.06493506493506493
uniform,0,160,78,0.07692307692307693
uniform,0,160,79,0.0759493670886076
uniform,0,160,80,0.075
uniform,0,160,81,0.07407407407407407
uniform,0,160,82,0.07317073170731707
uniform,0,160,83,0.07228915662650602
uniform,0,160,84,0.07142857142857142
uniform,0,160,85,0.07058823529411765
uniform,0,160,86,0.06976744186046512
uniform,0,160,87,0.06896551724137931
uniform,0,160,88,0.06818181818181818
uniform,0,160,89,0.06741573033707865
uniform,0,160,90,0.06666666666666667
uniform,0,160,91,0.07692307692307693
uniform,0,160,92,0.07608695652173914
uniform,0,160,93,0.07526881720430108
uniform,0,160,94,0.07446808510638298
uniform,0,160,95,0.07368421052631578
uniform,0,160,96,0.07291666666666667
uniform,0,160,97,0.07216494845360824
uniform,0,160,98,0.07142857142857142
uniform,0,160,99,0.0707070707070707
uniform,0,160,100,0.07
uniform,0,160,101,0.06930693069306931
uniform,0,160,102,0.06862745098039216
uniform,0,160,103,0.06796116504854369
uniform,0,160,104,0.07692307692307693
uniform,0,160,105,0.0761904761904762
uniform,0,160,106,0.07547169811320754
uniform,0,160,107,0.07476635514018691
uniform,0,160,108,0.07407407407407407
uniform,0,160,109,0.07339449541284404
uniform,0,160,110,0.07272727272727272
uniform,0,160,111,0.07207207207207207
uniform,0,160,112,0.07142857142857142
uniform,0,160,113,0.07079646017699115
uniform,0,160,114,0.07017543859649122
uniform,0,160,115,0.06956521739130435
uniform,0,160,116,0.06896551724137931
uniform,0,160,117,0.07692307692307693
uniform,0,160,118,0.07627118644067797
uniform,0,160,119,0.07563025210084033
uniform,0,160,120,0.075
uniform,0,160,121,0.0743801652892562
uniform,0,160,122,0.07377049180327869
uniform,0,160,123,0.07317073170731707
uniform,0,160,124,0.07258064516129033
uniform,0,160,125,0.072
uniform,0,160,126,0.07142857142857142
uniform,0,160,127,0.07086614173228346
uniform,0,160,128,0.0703125
uniform,0,160,129,0.06976744186046512
uniform,0,160,130,0.07692307692307693
uniform,0,160,131,0.07633587786259542
uniform,0,160,132,0.07575757575757576
uniform,0,160,133,0.07518796992481203
uniform,0,160,134,0.07462686567164178
uniform,0,160,135,0.07407407407407407
uniform,0,160,136,0.07352941176470588
uniform,0,160,137,0.072992700729927
uniform,0,160,138,0.07246376811594203
uniform,0,160,139,0.07194244604316546
uniform,0,160,140,0.07142857142857142
uniform,0,160,141,0.07092198581560284
uniform,0,160,142,0.07042253521126761
uniform,0,160,143,0.07692307692307693
uniform,0,160,144,0.0763888888888889
uniform,0,160,145,0.07586206896551724
uniform,0,160,146,0.07534246575342465
uniform,0,160,147,0.07482993197278912
uniform,0,160,148,0.07432432432432433
uniform,0,160,149,0.0738255033557047
uniform,0,160,150,0.07333333333333333
uniform,0,160,151,0.0728476821192053
uniform,0,160,152,0.07236842105263158
uniform,0,160,153,0.0718954248366013
uniform,0,160,154,0.07142857142857142
uniform,0,160,155,0.07096774193548387
uniform,0,160,156,0.07692307692307693
uniform,0,160,157,0.07643312101910828
uniform,0,160,158,0.0759493670886076
uniform,0,160,159,0.07547169811320754
uniform,0,160,160,0.075
spruce_fast,0,160,1,0.0
spruce_fast,0,160,2,0.0
spruce_fast,0,160,3,0.0
spruce_fast,0,160,4,0.0
spruce_fast,0,160,5,0.0
spruce_fast,0,160,6,0.0
spruce_fast,0,160,7,0.0
spruce_fast,0,160,8,0.0
spruce_fast,0,160,9,0.0
spruce_fast,0,160,10,0.0
spruce_fast,0,160,11,0.0
spruce_fast,0,160,12,0.0
spruce_fast,0,160,13,0.07692307692307693
spruce_fast,0,160,14,0.07142857142857142
spruce_fast,0,160,15,0.06666666666666667
spruce_fast,0,160,16,0.0625
spruce_fast,0,160,17,0.058823529411764705
spruce_fast,0,160,18,0.1111111111111111
spruce_fast,0,160,19,0.10526315789473684
spruce_fast,0,160,20,0.1
spruce_fast,0,160,21,0.09523809523809523
spruce_fast,0,160,22,0.09090909090909091
spruce_fast,0,160,23,0.08695652173913043
spruce_fast,0,160,24,0.08333333333333333
spruce_fast,0,160,25,0.08
spruce_fast,0,160,26,0.07692307692307693
spruce_fast,0,160,27,0.07407407407407407
spruce_fast,0,160,28,0.07142857142857142
spruce_fast,0,160,29,0.06896551724137931
spruce_fast,0,160,30,0.1
spruce_fast,0,160,31,0.0967741935483871
spruce_fast,0,160,32,0.09375
spruce_fast,0,160,33,0.09090909090909091
spruce_fast,0,160,34,0.08823529411764706
spruce_fast,0,160,35,0.08571428571428572
spruce_fast,0,160,36,0.08333333333333333
spruce_fast,0,160,37,0.08108108108108109
spruce_fast,0,160,38,0.07894736842105263
spruce_fast,0,160,39,0.07692307692307693
spruce_fast,0,160,40,0.075
spruce_fast,0,160,41,0.07317073170731707
spruce_fast,0,160,42,0.07142857142857142
spruce_fast,0,160,43,0.06976744186046512
spruce_fast,0,160,44,0.06818181818181818
spruce_fast,0,160,45,0.06666666666666667
spruce_fast,0,160,46,0.06521739130434782
spruce_fast,0,160,47,0.06382978723404255
spruce_fast,0,160,48,0.0625
spruce_fast,0,160,49,0.061224489795918366
spruce_fast,0,160,50,0.06
spruce_fast,0,160,51,0.058823529411764705
spruce_fast,0,160,52,0.057692307692307696
spruce_fast,0,160,53,0.05660377358490566
spruce_fast,0,160,54,0.05555555555555555
spruce_fast,0,160,55,0.05454545454545454
spruce_fast,0,160,56,0.05357142857142857
spruce_fast,0,160,57,0.05263157894736842
spruce_fast,0,160,58,0.05172413793103448
spruce_fast,0,160,59,0.05084745762711865
spruce_fast,0,160,60,0.05
spruce_fast,0,160,61,0.04918032786885246
spruce_fast,0,160,62,0.04838709677419355
spruce_fast,0,160,63,0.047619047619047616
spruce_fast,0,160,64,0.046875
spruce_fast,0,160,65,0.046153846153846156
