policy,replicate,budget,timestep,entropy,normalized_entropy
uniform,0,160,1,-0.0,-0.0
uniform,0,160,2,0.6931471805599453,0.27023815442731974
uniform,0,160,3,1.0986122886681096,0.4283173410313946
uniform,0,160,4,1.3862943611198906,0.5404763088546395
uniform,0,160,5,1.6094379124341005,0.6274735630753034
uniform,0,160,6,1.791759469228055,0.6985554954587144
uniform,0,160,7,1.9459101490553132,0.7586544129592989
uniform,0,160,8,2.0794415416798357,0.8107144632819592
uniform,0,160,9,2.1972245773362196,0.8566346820627895
uniform,0,160,10,2.3025850929940455,0.897711717502623
uniform,0,160,11,2.3978952727983707,0.9348704159880586
uniform,0,160,12,2.4849066497880004,0.9687936498860342
uniform,0,160,13,2.564949357461537,1.0000000000000002
uniform,0,160,14,2.5400363038209806,0.9902871167541444
uniform,0,160,15,2.5232109529528914,0.9837273962594129
uniform,0,160,16,2.5126585295298014,0.9796133097990339
uniform,0,160,17,2.5070264355574183,0.9774175183086488
uniform,0,160,18,2.5052899909184174,0.9767405284749315
uniform,0,160,19,2.5066618124970015,0.9772753622620367
uniform,0,160,20,2.510529247162029,0.978783163830819
uniform,0,160,21,2.516410300153941,0.9810760172841644
uniform,0,160,22,2.523922032900179,0.984004625883935
uniform,0,160,23,2.532757537181371,0.9874493349404664
uniform,0,160,24,2.5426689148346626,0.9913134960883109
uniform,0,160,25,2.5534545315306536,0.9955184979003799
uniform,0,160,26,2.564949357461537,1.0000000000000002
uniform,0,160,27,2.5576380067656985,0.9971495145997448
uniform,0,160,28,2.5521719493063664,0.9950184559714599
uniform,0,160,29,2.5483146503584777,0.9935146060273401
uniform,0,160,30,2.5458641578589445,0.9925592294650681
uniform,0,160,31,2.544647229679315,0.9920847841602946
uniform,0,160,32,2.544514598928939,0.9920330752444868
uniform,0,160,33,2.5453371302922485,0.9923537565713586
uniform,0,160,34,2.547002679509277,0.9930031063186288
uniform,0,160,35,2.549413511817456,0.9939430205127106
uniform,0,160,36,2.552484167806028,0.9951401809867134
uniform,0,160,37,2.556139689717538,0.9965653638663973
uniform,0,160,38,2.5603141399060743,0.9981928619596413
uniform,0,160,39,2.564949357461537,1.0000000000000002
uniform,0,160,40,2.5614989582006484,0.9986547885435434
uniform,0,160,41,2.5588266907285337,0.9976129482965456
uniform,0,160,42,2.5568624517718925,0.9968471480085488
uniform,0,160,43,2.5555433349503716,0.9963328622907105
uniform,0,160,44,2.5548127668629785,0.9960480348007377
uniform,0,160,45,2.5546197624612605,0.9959727879343009
uniform,0,160,46,2.5549182811112057,0.9960891717720858
uniform,0,160,47,2.5556666679683957,0.9963809462880281
uniform,0,160,48,2.5568271679009458,0.9968333918418455
uniform,0,160,49,2.558365501318614,0.9974331438070034
uniform,0,160,50,2.5602504930024694,0.9981680478620765
uniform,0,160,51,2.56245374645454,0.9990270330290394
uniform,0,160,52,2.564949357461537,1.0000000000000002
uniform,0,160,53,2.562946274006362,0.9992190553589889
uniform,0,160,54,2.5613668055713816,0.9986032660334079
uniform,0,160,55,2.5601814919359778,0.9981411463303597
uniform,0,160,56,2.559363204145898,0.9978221194506672
uniform,0,160,57,2.558886928068076,0.9976364331031234
uniform,0,160,58,2.558729571160558,0.9975750841696406
uniform,0,160,59,2.5588697896333317,0.997629751320228
uniform,0,160,60,2.5592878335594036,0.9977927346262555
uniform,0,160,61,2.5599654078216263,0.9980569013476185
uniform,0,160,62,2.5608855470589025,0.9984156371778599
uniform,0,160,63,2.562032503013205,0.9988628023240123
uniform,0,160,64,2.5633916428827095,0.9993926918774065
uniform,0,160,65,2.564949357461537,1.0000000000000002
uniform,0,160,66,2.5636421426110565,0.9994903545184323
uniform,0,160,67,2.5626000997698886,0.999084091978341
uniform,0,160,68,2.561808204178901,0.9987753546581737
uniform,0,160,69,2.5612523984956965,0.998558662004345
uniform,0,160,70,2.5609195195607066,0.9984288820794426
uniform,0,160,71,2.560797231584928,0.9983812055140465
uniform,0,160,72,2.560873965118815,0.9984111217124556
uniform,0,160,73,2.561138861233334,0.9985143970904853
uniform,0,160,74,2.5615817204069136,0.9986870551479597
uniform,0,160,75,2.5621929556670464,0.9989253581999692
uniform,0,160,76,2.562963549583796,0.9992257906098755
uniform,0,160,77,2.563885014755106,0.9995850433836697
uniform,0,160,78,2.564949357461537,1.0000000000000002
uniform,0,160,79,2.564029462241615,0.9996413593051083
uniform,0,160,80,2.563290796476056,0.9993533747632655
uniform,0,160,81,2.5627246943780575,0.9991326678333794
uniform,0,160,82,2.5623229605342077,0.9989760433594181
uniform,0,160,83,2.562077839846205,0.9988804778515497
uniform,0,160,84,2.5619819897016294,0.9988431086363264
uniform,0,160,85,2.5620284541853713,0.9988612238024628
uniform,0,160,86,2.5622106401611915,0.9989322528757232
uniform,0,160,87,2.5625222950688586,0.9990537581626641
uniform,0,160,88,2.5629574862966504,0.9992234267085657
uniform,0,160,89,2.5635105820018502,0.999439062819895
uniform,0,160,90,2.5641762332634355,0.9996985811061524
uniform,0,160,91,2.564949357461537,1.0000000000000002
uniform,0,160,92,2.5642670025481165,0.9997339694402015
uniform,0,160,93,2.5637162012808203,0.9995192278642347
uniform,0,160,94,2.563291511693536,0.9993536536059949
uniform,0,160,95,2.562987747134862,0.9992352245392416
uniform,0,160,96,2.562799962152305,0.9991620125742525
uniform,0,160,97,2.5627234392833573,0.9991321785080457
uniform,0,160,98,2.56275367668696,0.9991439672022415
uniform,0,160,99,2.562886376554333,0.9991957030647788
uniform,0,160,100,2.563117434243122,0.9992857858136319
uniform,0,160,101,2.563442928083354,0.9994126865024447
uniform,0,160,102,2.563859109807801,0.9995749437896058
uniform,0,160,103,2.564362395563117,0.999771160433748
uniform,0,160,104,2.564949357461537,1.0000000000000002
uniform,0,160,105,2.5644231197071403,0.9997948350313952
uniform,0,160,106,2.563996659584921,0.9996285704924955
uniform,0,160,107,2.5636663398594317,0.999499788329788
uniform,0,160,108,2.5634286735589225,0.9994071290732542
uniform,0,160,109,2.5632803166544704,0.9993492889821739
uniform,0,160,110,2.563218061153992,0.9993250173526786
uniform,0,160,111,2.563238828584281,0.999333113976586
uniform,0,160,112,2.563339663836155,0.9993724267417994
uniform,0,160,113,2.5635177293496105,0.9994418493652666
uniform,0,160,114,2.5637702996175147,0.9995403192501279
uniform,0,160,115,2.564094755987919,0.999666815459287
uniform,0,160,116,2.564488581746448,0.9998203567981767
uniform,0,160,117,2.564949357461537,1.0000000000000002
uniform,0,160,118,2.5645311898703076,0.9998369684804838
uniform,0,160,119,2.564191266084919,0.9997044419709838
uniform,0,160,120,2.56392703653137,0.9996014264659094
uniform,0,160,121,2.563736045729009,0.9995269646439614
uniform,0,160,122,2.56361592819301,0.999480134270625
uniform,0,160,123,2.5635644045445756,0.99946004668165
uniform,0,160,124,2.5635792778168187,0.9994658453428203
uniform,0,160,125,2.563658429945073,0.9994967044816272
uniform,0,160,126,2.563799818431097,0.9995518277867376
uniform,0,160,127,2.5640014731713276,0.999630447171422
