policy,replicate,budget,n_arms,task,timestep,selected_arm,reward,cumulative_successes,cumulative_success_rate,instantaneous_regret,cumulative_regret,current_most_pulled_arm,true_best_arm,selected_true_best,entropy,normalized_entropy,best_arm_pull_share,runtime,cost,cumulative_runtime,cumulative_cost,global_log_e,log_path
uniform,0,160,13,task_e1,1,baseline,1.0,1,1.0,0.19999999999999996,0.19999999999999996,baseline,gitlab_oracle_operator,False,-0.0,-0.0,0.0,26.2,0.014571450000000001,26.2,0.014571450000000001,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e2,2,planner,1.0,2,1.0,0.35,0.5499999999999999,,gitlab_oracle_operator,False,0.6931471805599453,0.27023815442731974,0.0,41.4,0.024185250000000002,67.6,0.038756700000000005,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e3,3,cautious,1.0,3,1.0,0.4,0.95,,gitlab_oracle_operator,False,1.0986122886681096,0.4283173410313946,0.0,15.7,0.017341350000000002,83.3,0.05609805000000001,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e4,4,explorer,0.0,3,0.75,0.675,1.625,,gitlab_oracle_operator,False,1.3862943611198906,0.5404763088546395,0.0,178.9,0.03584205,262.2,0.09194010000000001,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e5,5,balanced,1.0,4,0.8,0.32499999999999996,1.95,,gitlab_oracle_operator,False,1.6094379124341005,0.6274735630753034,0.0,26.0,0.02424045,288.2,0.11618055000000001,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e6,6,overthinker,0.0,4,0.6666666666666666,0.32499999999999996,2.275,,gitlab_oracle_operator,False,1.791759469228055,0.6985554954587144,0.0,89.0,0.033282900000000004,377.2,0.14946345,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e7,7,rapid,1.0,5,0.7142857142857143,0.17500000000000004,2.45,,gitlab_oracle_operator,False,1.9459101490553132,0.7586544129592989,0.0,68.4,0.0436974,445.6,0.19316085,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e8,8,verifier,0.0,5,0.625,0.375,2.825,,gitlab_oracle_operator,False,2.0794415416798357,0.8107144632819592,0.0,42.4,0.014585100000000002,488.0,0.20774594999999998,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e9,9,exploratory,1.0,6,0.6666666666666666,0.275,3.1,,gitlab_oracle_operator,False,2.1972245773362196,0.8566346820627895,0.0,22.2,0.0190203,510.2,0.22676624999999997,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
uniform,0,160,13,task_e10,10,algorithmic,0.0,6,0.6,0.45,3.5500000000000003,,gitlab_oracle_operator,False,2.3025850929940455,0.897711717502623,0.0,180.0,0.069996,690.2,0.29676225,0.0,results/gitlab_strong_arm/allocation_160_generic12_oracle_fast/logs/gitlab_strong_allocation_uniform_budget160_rep0_trial0_2026-07-03T19-17-07Z_FULL.jsonl
