policy,replicate,budget,timestep,cumulative_regret
uniform,0,160,1,0.19999999999999996
uniform,0,160,2,0.5499999999999999
uniform,0,160,3,0.95
uniform,0,160,4,1.625
uniform,0,160,5,1.95
uniform,0,160,6,2.275
uniform,0,160,7,2.45
uniform,0,160,8,2.825
uniform,0,160,9,3.1
uniform,0,160,10,3.5500000000000003
uniform,0,160,11,3.8500000000000005
uniform,0,160,12,4.2250000000000005
uniform,0,160,13,4.2250000000000005
uniform,0,160,14,4.425000000000001
uniform,0,160,15,4.775
uniform,0,160,16,5.175000000000001
uniform,0,160,17,5.8500000000000005
uniform,0,160,18,6.175000000000001
uniform,0,160,19,6.500000000000001
uniform,0,160,20,6.675000000000001
uniform,0,160,21,7.050000000000001
uniform,0,160,22,7.325000000000001
uniform,0,160,23,7.775000000000001
uniform,0,160,24,8.075000000000001
uniform,0,160,25,8.450000000000001
uniform,0,160,26,8.450000000000001
uniform,0,160,27,8.65
uniform,0,160,28,9.0
uniform,0,160,29,9.4
uniform,0,160,30,10.075000000000001
uniform,0,160,31,10.4
uniform,0,160,32,10.725
uniform,0,160,33,10.9
uniform,0,160,34,11.275
uniform,0,160,35,11.55
uniform,0,160,36,12.0
uniform,0,160,37,12.3
uniform,0,160,38,12.675
uniform,0,160,39,12.675
uniform,0,160,40,12.875
uniform,0,160,41,13.225
uniform,0,160,42,13.625
uniform,0,160,43,14.3
uniform,0,160,44,14.625
uniform,0,160,45,14.95
uniform,0,160,46,15.125
uniform,0,160,47,15.5
uniform,0,160,48,15.775
uniform,0,160,49,16.225
uniform,0,160,50,16.525000000000002
uniform,0,160,51,16.900000000000002
uniform,0,160,52,16.900000000000002
uniform,0,160,53,17.1
uniform,0,160,54,17.450000000000003
uniform,0,160,55,17.85
uniform,0,160,56,18.525000000000002
uniform,0,160,57,18.85
uniform,0,160,58,19.175
uniform,0,160,59,19.35
uniform,0,160,60,19.725
uniform,0,160,61,20.0
uniform,0,160,62,20.45
uniform,0,160,63,20.75
uniform,0,160,64,21.125
uniform,0,160,65,21.125
uniform,0,160,66,21.325
uniform,0,160,67,21.675
uniform,0,160,68,22.075
uniform,0,160,69,22.75
uniform,0,160,70,23.075
uniform,0,160,71,23.4
uniform,0,160,72,23.575
uniform,0,160,73,23.95
uniform,0,160,74,24.224999999999998
uniform,0,160,75,24.674999999999997
uniform,0,160,76,24.974999999999998
uniform,0,160,77,25.349999999999998
uniform,0,160,78,25.349999999999998
uniform,0,160,79,25.549999999999997
uniform,0,160,80,25.9
uniform,0,160,81,26.299999999999997
uniform,0,160,82,26.974999999999998
uniform,0,160,83,27.299999999999997
uniform,0,160,84,27.624999999999996
uniform,0,160,85,27.799999999999997
uniform,0,160,86,28.174999999999997
uniform,0,160,87,28.449999999999996
uniform,0,160,88,28.899999999999995
uniform,0,160,89,29.199999999999996
uniform,0,160,90,29.574999999999996
uniform,0,160,91,29.574999999999996
uniform,0,160,92,29.774999999999995
uniform,0,160,93,30.124999999999996
uniform,0,160,94,30.524999999999995
uniform,0,160,95,31.199999999999996
uniform,0,160,96,31.524999999999995
uniform,0,160,97,31.849999999999994
uniform,0,160,98,32.02499999999999
uniform,0,160,99,32.39999999999999
uniform,0,160,100,32.67499999999999
uniform,0,160,101,33.12499999999999
uniform,0,160,102,33.42499999999999
uniform,0,160,103,33.79999999999999
uniform,0,160,104,33.79999999999999
uniform,0,160,105,33.99999999999999
uniform,0,160,106,34.349999999999994
uniform,0,160,107,34.74999999999999
uniform,0,160,108,35.42499999999999
uniform,0,160,109,35.74999999999999
uniform,0,160,110,36.074999999999996
uniform,0,160,111,36.24999999999999
uniform,0,160,112,36.62499999999999
uniform,0,160,113,36.89999999999999
uniform,0,160,114,37.349999999999994
uniform,0,160,115,37.64999999999999
uniform,0,160,116,38.02499999999999
uniform,0,160,117,38.02499999999999
uniform,0,160,118,38.224999999999994
uniform,0,160,119,38.574999999999996
uniform,0,160,120,38.974999999999994
uniform,0,160,121,39.64999999999999
uniform,0,160,122,39.974999999999994
uniform,0,160,123,40.3
uniform,0,160,124,40.474999999999994
uniform,0,160,125,40.849999999999994
uniform,0,160,126,41.12499999999999
uniform,0,160,127,41.574999999999996
uniform,0,160,128,41.87499999999999
uniform,0,160,129,42.24999999999999
uniform,0,160,130,42.24999999999999
uniform,0,160,131,42.449999999999996
uniform,0,160,132,42.8
uniform,0,160,133,43.199999999999996
uniform,0,160,134,43.87499999999999
uniform,0,160,135,44.199999999999996
uniform,0,160,136,44.525
uniform,0,160,137,44.699999999999996
uniform,0,160,138,45.074999999999996
uniform,0,160,139,45.349999999999994
uniform,0,160,140,45.8
uniform,0,160,141,46.099999999999994
uniform,0,160,142,46.474999999999994
uniform,0,160,143,46.474999999999994
uniform,0,160,144,46.675
uniform,0,160,145,47.025
uniform,0,160,146,47.425
uniform,0,160,147,48.099999999999994
uniform,0,160,148,48.425
uniform,0,160,149,48.75
uniform,0,160,150,48.925
uniform,0,160,151,49.3
uniform,0,160,152,49.574999999999996
uniform,0,160,153,50.025
uniform,0,160,154,50.324999999999996
uniform,0,160,155,50.699999999999996
uniform,0,160,156,50.699999999999996
uniform,0,160,157,50.9
uniform,0,160,158,51.25
uniform,0,160,159,51.65
uniform,0,160,160,52.324999999999996
spruce_fast,0,160,1,0.19999999999999996
spruce_fast,0,160,2,0.5499999999999999
spruce_fast,0,160,3,0.95
spruce_fast,0,160,4,1.625
spruce_fast,0,160,5,1.95
spruce_fast,0,160,6,2.275
spruce_fast,0,160,7,2.45
spruce_fast,0,160,8,2.825
spruce_fast,0,160,9,3.1
spruce_fast,0,160,10,3.5500000000000003
spruce_fast,0,160,11,3.8500000000000005
spruce_fast,0,160,12,4.2250000000000005
spruce_fast,0,160,13,4.2250000000000005
spruce_fast,0,160,14,4.425000000000001
spruce_fast,0,160,15,5.1000000000000005
spruce_fast,0,160,16,5.275
spruce_fast,0,160,17,5.7250000000000005
spruce_fast,0,160,18,5.7250000000000005
spruce_fast,0,160,19,6.050000000000001
spruce_fast,0,160,20,6.3500000000000005
spruce_fast,0,160,21,6.675000000000001
spruce_fast,0,160,22,7.075000000000001
spruce_fast,0,160,23,7.350000000000001
spruce_fast,0,160,24,7.725000000000001
spruce_fast,0,160,25,8.075000000000001
spruce_fast,0,160,26,8.450000000000001
spruce_fast,0,160,27,8.825000000000001
spruce_fast,0,160,28,9.200000000000001
spruce_fast,0,160,29,9.4
spruce_fast,0,160,30,9.4
spruce_fast,0,160,31,9.725
spruce_fast,0,160,32,10.1
spruce_fast,0,160,33,10.275
