[2026-07-03T12:16:56-0700] watchdog starting interval=60s stale=600s
[2026-07-03T12:16:56-0700] runner active pids=[23022, 23024, 23029]; freshness=0s; completed=0/2; current=top-level
[2026-07-03T12:17:56-0700] runner active pids=[23022, 23024, 23029]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:18:56-0700] runner active pids=[23022, 23024, 23029]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:19:56-0700] runner active pids=[23022, 23024, 23029]; freshness=8s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:20:56-0700] runner active pids=[23022, 23024, 23029]; freshness=5s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:21:57-0700] runner active pids=[23022, 23024, 23029]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:22:57-0700] runner active pids=[23022, 23024, 23029]; freshness=7s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:23:57-0700] runner active pids=[23022, 23024, 23029]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:24:57-0700] runner active pids=[23022, 23024, 23029]; freshness=1s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:25:57-0700] runner active pids=[23022, 23024, 23029]; freshness=2s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:26:57-0700] runner active pids=[23022, 23024, 23029]; freshness=3s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:27:57-0700] runner active pids=[23022, 23024, 23029]; freshness=8s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
[2026-07-03T12:28:57-0700] runner active pids=[23022, 23024, 23029]; freshness=0s; completed=0/2; current=gitlab_strong_allocation_uniform_budget160_rep0
