arm_id,task,timestep,reward,success,runtime,cost,steps,log_path
baseline,task_e1,1,1.0,1,16.1,0.01462095,4,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e2,2,1.0,1,23.9,0.019729049999999998,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e3,3,1.0,1,19.4,0.0269751,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e4,4,0.0,0,90.6,0.012645450000000003,9,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e5,5,1.0,1,100.6,0.06787544999999999,26,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e6,6,1.0,1,172.1,0.12207554999999998,34,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e7,7,1.0,1,23.2,0.02116485,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e8,8,1.0,1,19.7,0.018749099999999998,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e9,9,1.0,1,18.4,0.0167079,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e10,10,0.0,0,180.0,0.12034065000000002,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e11,11,1.0,1,124.4,0.053588550000000006,16,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e12,12,1.0,1,43.6,0.0214401,8,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e13,13,1.0,1,52.1,0.030168,8,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e14,14,1.0,1,13.6,0.0176574,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e15,15,1.0,1,23.2,0.02273235,7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e16,16,1.0,1,16.3,0.01834785,6,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e17,17,0.0,0,51.2,0.030687450000000005,11,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e18,18,1.0,1,26.5,0.027303450000000007,9,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e19,19,0.0,0,180.0,0.0945045,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_e20,20,1.0,1,15.4,0.017319150000000002,5,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m1,21,0.0,0,180.0,0.12223665,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m2,22,1.0,1,56.2,0.049924050000000005,15,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m3,23,1.0,1,14.0,0.0163287,4,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
baseline,task_m4,24,0.0,0,180.0,0.07600169999999999,30,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
