arm_id,tasks,successes,success_rate,standard_error,bootstrap_ci_low,bootstrap_ci_high,total_runtime,total_token_cost,cost_per_success,average_runtime,average_interaction_steps,log_path
gitlab_oracle_operator,40,35,0.875,0.05229125165837972,0.75,0.975,1543.8,1.0228432500000002,0.029224092857142864,38.595,7.7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_gitlab_oracle_operator_trial0_2026-07-01T18-24-06Z_FULL.jsonl
rapid,40,28,0.7,0.07245688373094719,0.55,0.825,2144.9,1.2472503000000001,0.044544653571428575,53.6225,10.825,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_rapid_trial0_2026-06-30T19-33-04Z_FULL.jsonl
baseline,40,27,0.675,0.07405656621799311,0.525,0.825,2841.3999999999996,1.8857760000000001,0.06984355555555556,71.035,14.375,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_baseline_trial0_2026-06-29T17-36-48Z_FULL.jsonl
gitlab_super_operator,40,26,0.65,0.07541551564499178,0.5,0.8,3009.0,1.4941422000000002,0.0574670076923077,75.225,13.7,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_gitlab_super_operator_trial0_2026-07-01T16-50-10Z_FULL.jsonl
exploratory,40,24,0.6,0.07745966692414834,0.45,0.75,3500.5,1.63658985,0.06819124375,87.5125,16.2,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_exploratory_trial0_2026-06-30T21-35-26Z_FULL.jsonl
gitlab_rapid_executor,40,24,0.6,0.07745966692414834,0.45,0.75,3285.4,1.5792993000000002,0.06580413750000001,82.135,14.4,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_gitlab_rapid_executor_trial0_2026-07-01T03-11-28Z_FULL.jsonl
junior_reactive,40,23,0.575,0.07816249100431741,0.425,0.725,3076.7,1.44930765,0.06301337608695652,76.91749999999999,13.625,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_junior_reactive_trial0_2026-06-30T23-49-50Z_FULL.jsonl
balanced,40,22,0.55,0.07866066361276136,0.4,0.7,3294.4,1.3959830999999998,0.06345377727272726,82.36,14.475,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_balanced_trial0_2026-06-30T17-22-40Z_FULL.jsonl
overthinker,40,22,0.55,0.07866066361276136,0.4,0.7,3120.1000000000004,1.131639,0.051438136363636366,78.00250000000001,13.9,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_overthinker_trial0_2026-06-30T18-29-52Z_FULL.jsonl
gitlab_auditor,40,21,0.525,0.07895805848676878,0.375,0.675,3519.9,1.2276034500000002,0.05845730714285715,87.9975,14.55,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_gitlab_auditor_trial0_2026-07-01T04-17-40Z_FULL.jsonl
planner,40,21,0.525,0.07895805848676878,0.375,0.675,3951.2000000000003,1.39793505,0.06656833571428572,98.78,17.25,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_planner_trial0_2026-06-29T21-10-26Z_FULL.jsonl
domain_expert,40,20,0.5,0.07905694150420949,0.35,0.65,3631.5,1.2005020499999999,0.0600251025,90.7875,14.35,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_domain_expert_trial0_2026-07-01T00-53-02Z_FULL.jsonl
verifier,40,20,0.5,0.07905694150420949,0.35,0.65,3593.1,1.4452894500000002,0.07226447250000001,89.8275,15.475,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_verifier_trial0_2026-06-30T20-22-13Z_FULL.jsonl
cautious,40,19,0.475,0.07895805848676878,0.325,0.625,3697.6000000000004,1.82000085,0.09578951842105263,92.44000000000001,15.65,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_cautious_trial0_2026-06-30T15-13-00Z_FULL.jsonl
gitlab_domain_expert,40,19,0.475,0.07895805848676878,0.325,0.625,3052.2,1.0788202500000001,0.05678001315789474,76.30499999999999,12.475,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_gitlab_domain_expert_trial0_2026-07-01T02-07-16Z_FULL.jsonl
gitlab_planner,40,18,0.45,0.07866066361276136,0.3,0.6,4073.6,1.31468325,0.07303795833333333,101.84,16.975,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_gitlab_planner_trial0_2026-07-01T05-29-53Z_FULL.jsonl
algorithmic,40,17,0.425,0.07816249100431741,0.275,0.575,3037.9,1.17027675,0.06883980882352941,75.9475,13.075,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_algorithmic_trial0_2026-06-30T22-45-38Z_FULL.jsonl
explorer,40,8,0.2,0.0632455532033676,0.075,0.325,3303.4,1.94804955,0.24350619375,82.58500000000001,15.275,results/gitlab_strong_arm/paired/logs/gitlab_strong_paired_explorer_trial0_2026-06-30T16-22-42Z_FULL.jsonl
