column,prefix,group,availability_class,deployed_in
f_t,f_,CLOCK,a,"clock_k16,clock_quality_k16,clock_quality_cs_k16,clock_quality_evidence_k16,all71_k16,clock_quality_evidence_k1,clock_quality_evidence_k4,clock_quality_evidence_k16_hgb,clock_quality_evidence_k16_weighted,clock_quality_evidence_k16_noambig,clock_quality_evidence_k16_notrunc,clock_quality_evidence_k16_lucb,clock_quality_evidence_k16_nopolicy,clock_quality_evidence_k16_famA_only,clock_quality_evidence_k16_famB_only,clock_quality_evidence_k16_noT1000,clock_quality_evidence_k16_noT200,legacy_E_k16_weighted"
f_T,f_,CLOCK,e,"clock_k16,clock_quality_k16,clock_quality_cs_k16,clock_quality_evidence_k16,all71_k16,clock_quality_evidence_k1,clock_quality_evidence_k4,clock_quality_evidence_k16_hgb,clock_quality_evidence_k16_weighted,clock_quality_evidence_k16_noambig,clock_quality_evidence_k16_notrunc,clock_quality_evidence_k16_lucb,clock_quality_evidence_k16_nopolicy,clock_quality_evidence_k16_famA_only,clock_quality_evidence_k16_famB_only,clock_quality_evidence_k16_noT1000,clock_quality_evidence_k16_noT200,legacy_E_k16_weighted"
f_remaining_budget,f_,CLOCK,e,"clock_k16,clock_quality_k16,clock_quality_cs_k16,clock_quality_evidence_k16,all71_k16,clock_quality_evidence_k1,clock_quality_evidence_k4,clock_quality_evidence_k16_hgb,clock_quality_evidence_k16_weighted,clock_quality_evidence_k16_noambig,clock_quality_evidence_k16_notrunc,clock_quality_evidence_k16_lucb,clock_quality_evidence_k16_nopolicy,clock_quality_evidence_k16_famA_only,clock_quality_evidence_k16_famB_only,clock_quality_evidence_k16_noT1000,clock_quality_evidence_k16_noT200,legacy_E_k16_weighted"
f_remaining_frac,f_,CLOCK,e,"clock_k16,clock_quality_k16,clock_quality_cs_k16,clock_quality_evidence_k16,all71_k16,clock_quality_evidence_k1,clock_quality_evidence_k4,clock_quality_evidence_k16_hgb,clock_quality_evidence_k16_weighted,clock_quality_evidence_k16_noambig,clock_quality_evidence_k16_notrunc,clock_quality_evidence_k16_lucb,clock_quality_evidence_k16_nopolicy,clock_quality_evidence_k16_famA_only,clock_quality_evidence_k16_famB_only,clock_quality_evidence_k16_noT1000,clock_quality_evidence_k16_noT200,clock_sf_quality_cs_k16,clock_sf_quality_cs_k16_noT1000,reservoir_rule_k16,legacy_E_k16_weighted"
f_t_over_T,f_,CLOCK,e,"clock_k16,clock_quality_k16,clock_quality_cs_k16,clock_quality_evidence_k16,all71_k16,clock_quality_evidence_k1,clock_quality_evidence_k4,clock_quality_evidence_k16_hgb,clock_quality_evidence_k16_weighted,clock_quality_evidence_k16_noambig,clock_quality_evidence_k16_notrunc,clock_quality_evidence_k16_lucb,clock_quality_evidence_k16_nopolicy,clock_quality_evidence_k16_famA_only,clock_quality_evidence_k16_famB_only,clock_quality_evidence_k16_noT1000,clock_quality_evidence_k16_noT200,clock_sf_quality_cs_k16,clock_sf_quality_cs_k16_noT1000,legacy_E_k16_weighted"
f_K,f_,CLOCK,a+d,"clock_k16,clock_quality_k16,clock_quality_cs_k16,clock_quality_evidence_k16,all71_k16,clock_quality_evidence_k1,clock_quality_evidence_k4,clock_quality_evidence_k16_hgb,clock_quality_evidence_k16_weighted,clock_quality_evidence_k16_noambig,clock_quality_evidence_k16_notrunc,clock_quality_evidence_k16_lucb,clock_quality_evidence_k16_nopolicy,clock_quality_evidence_k16_famA_only,clock_quality_evidence_k16_famB_only,clock_quality_evidence_k16_noT1000,clock_quality_evidence_k16_noT200,legacy_E_k16_weighted"
f_K_over_t,f_,CLOCK,a+d,"clock_k16,clock_quality_k16,clock_quality_cs_k16,clock_quality_evidence_k16,all71_k16,clock_quality_evidence_k1,clock_quality_evidence_k4,clock_quality_evidence_k16_hgb,clock_quality_evidence_k16_weighted,clock_quality_evidence_k16_noambig,clock_quality_evidence_k16_notrunc,clock_quality_evidence_k16_lucb,clock_quality_evidence_k16_nopolicy,clock_quality_evidence_k16_famA_only,clock_quality_evidence_k16_famB_only,clock_quality_evidence_k16_noT1000,clock_quality_evidence_k16_noT200,legacy_E_k16_weighted"
f_K_over_T,f_,CLOCK,e+d,"clock_k16,clock_quality_k16,clock_quality_cs_k16,clock_quality_evidence_k16,all71_k16,clock_quality_evidence_k1,clock_quality_evidence_k4,clock_quality_evidence_k16_hgb,clock_quality_evidence_k16_weighted,clock_quality_evidence_k16_noambig,clock_quality_evidence_k16_notrunc,clock_quality_evidence_k16_lucb,clock_quality_evidence_k16_nopolicy,clock_quality_evidence_k16_famA_only,clock_quality_evidence_k16_famB_only,clock_quality_evidence_k16_noT1000,clock_quality_evidence_k16_noT200,clock_sf_quality_cs_k16,clock_sf_quality_cs_k16_noT1000,legacy_E_k16_weighted"
f_log_t,f_,CLOCK,a,"clock_k16,clock_quality_k16,clock_quality_cs_k16,clock_quality_evidence_k16,all71_k16,clock_quality_evidence_k1,clock_quality_evidence_k4,clock_quality_evidence_k16_hgb,clock_quality_evidence_k16_weighted,clock_quality_evidence_k16_noambig,clock_quality_evidence_k16_notrunc,clock_quality_evidence_k16_lucb,clock_quality_evidence_k16_nopolicy,clock_quality_evidence_k16_famA_only,clock_quality_evidence_k16_famB_only,clock_quality_evidence_k16_noT1000,clock_quality_evidence_k16_noT200,clock_sf_quality_cs_k16,clock_sf_quality_cs_k16_noT1000,legacy_E_k16_weighted"
f_log_K,f_,CLOCK,a+d,"clock_k16,clock_quality_k16,clock_quality_cs_k16,clock_quality_evidence_k16,all71_k16,clock_quality_evidence_k1,clock_quality_evidence_k4,clock_quality_evidence_k16_hgb,clock_quality_evidence_k16_weighted,clock_quality_evidence_k16_noambig,clock_quality_evidence_k16_notrunc,clock_quality_evidence_k16_lucb,clock_quality_evidence_k16_nopolicy,clock_quality_evidence_k16_famA_only,clock_quality_evidence_k16_famB_only,clock_quality_evidence_k16_noT1000,clock_quality_evidence_k16_noT200,clock_sf_quality_cs_k16,clock_sf_quality_cs_k16_noT1000,reservoir_rule_k16,legacy_E_k16_weighted"
