diagnostic,key,value
simpson_n,T=50|pooled|q1,6084.0
simpson_p_search,T=50|pooled|q1,0.5984549638395792
simpson_n,T=50|pooled|q2,6033.0
simpson_p_search,T=50|pooled|q2,0.562572517818664
simpson_n,T=50|pooled|q3,6336.0
simpson_p_search,T=50|pooled|q3,0.5400883838383839
simpson_slope_q3_minus_q1,T=50|pooled,-0.05836658000119532
simpson_n,T=50|aggressive|q1,3.0
simpson_p_search,T=50|aggressive|q1,1.0
simpson_n,T=50|aggressive|q2,326.0
simpson_p_search,T=50|aggressive|q2,0.4785276073619632
simpson_n,T=50|aggressive|q3,2084.0
simpson_p_search,T=50|aggressive|q3,0.44097888675623803
simpson_slope_q3_minus_q1,T=50|aggressive,-0.5590211132437619
simpson_n,T=50|bracket|q1,1259.0
simpson_p_search,T=50|bracket|q1,0.6338363780778395
simpson_n,T=50|bracket|q2,448.0
simpson_p_search,T=50|bracket|q2,0.6361607142857143
simpson_n,T=50|bracket|q3,472.0
simpson_p_search,T=50|bracket|q3,0.6271186440677966
simpson_slope_q3_minus_q1,T=50|bracket,-0.006717734010042942
simpson_n,T=50|cbrt|q1,1134.0
simpson_p_search,T=50|cbrt|q1,0.5661375661375662
simpson_n,T=50|cbrt|q2,791.0
simpson_p_search,T=50|cbrt|q2,0.5853350189633375
simpson_n,T=50|cbrt|q3,312.0
simpson_p_search,T=50|cbrt|q3,0.7051282051282052
simpson_slope_q3_minus_q1,T=50|cbrt,0.13899063899063901
simpson_n,T=50|conservative|q1,1664.0
simpson_p_search,T=50|conservative|q1,0.6712740384615384
simpson_n,T=50|conservative|q2,234.0
simpson_p_search,T=50|conservative|q2,0.6410256410256411
simpson_n,T=50|conservative|q3,288.0
simpson_p_search,T=50|conservative|q3,0.7708333333333334
simpson_slope_q3_minus_q1,T=50|conservative,0.09955929487179493
simpson_n,T=50|epsilon|q1,636.0
simpson_p_search,T=50|epsilon|q1,0.529874213836478
simpson_n,T=50|epsilon|q2,1346.0
simpson_p_search,T=50|epsilon|q2,0.524517087667162
simpson_n,T=50|epsilon|q3,370.0
simpson_p_search,T=50|epsilon|q3,0.7081081081081081
simpson_slope_q3_minus_q1,T=50|epsilon,0.17823389427163006
simpson_n,T=50|random|q1,6.0
simpson_p_search,T=50|random|q1,0.3333333333333333
simpson_n,T=50|random|q2,260.0
simpson_p_search,T=50|random|q2,0.5153846153846153
simpson_n,T=50|random|q3,2170.0
simpson_p_search,T=50|random|q3,0.4645161290322581
simpson_slope_q3_minus_q1,T=50|random,0.13118279569892477
simpson_n,T=50|sqrt|q1,1264.0
simpson_p_search,T=50|sqrt|q1,0.5403481012658228
simpson_n,T=50|sqrt|q2,768.0
simpson_p_search,T=50|sqrt|q2,0.6536458333333334
simpson_n,T=50|sqrt|q3,272.0
simpson_p_search,T=50|sqrt|q3,0.7941176470588235
simpson_slope_q3_minus_q1,T=50|sqrt,0.2537695457930007
simpson_n,T=50|t23|q1,118.0
simpson_p_search,T=50|t23|q1,0.5
simpson_n,T=50|t23|q2,1860.0
simpson_p_search,T=50|t23|q2,0.5365591397849462
simpson_n,T=50|t23|q3,368.0
simpson_p_search,T=50|t23|q3,0.7581521739130435
simpson_slope_q3_minus_q1,T=50|t23,0.25815217391304346
simpson_n,T=100|pooled|q1,6209.0
simpson_p_search,T=100|pooled|q1,0.6437429537767756
simpson_n,T=100|pooled|q2,6262.0
simpson_p_search,T=100|pooled|q2,0.5868732034493772
simpson_n,T=100|pooled|q3,6333.0
simpson_p_search,T=100|pooled|q3,0.5278698878888363
simpson_slope_q3_minus_q1,T=100|pooled,-0.11587306588793933
simpson_n,T=100|aggressive|q1,0.0
simpson_p_search,T=100|aggressive|q1,
simpson_n,T=100|aggressive|q2,60.0
simpson_p_search,T=100|aggressive|q2,0.5666666666666667
simpson_n,T=100|aggressive|q3,2374.0
simpson_p_search,T=100|aggressive|q3,0.4625105307497894
simpson_slope_q3_minus_q1,T=100|aggressive,
simpson_n,T=100|bracket|q1,1610.0
simpson_p_search,T=100|bracket|q1,0.7018633540372671
simpson_n,T=100|bracket|q2,360.0
simpson_p_search,T=100|bracket|q2,0.7083333333333334
simpson_n,T=100|bracket|q3,288.0
simpson_p_search,T=100|bracket|q3,0.75
simpson_slope_q3_minus_q1,T=100|bracket,0.04813664596273293
simpson_n,T=100|cbrt|q1,1460.0
simpson_p_search,T=100|cbrt|q1,0.6458904109589041
simpson_n,T=100|cbrt|q2,576.0
simpson_p_search,T=100|cbrt|q2,0.7204861111111112
simpson_n,T=100|cbrt|q3,256.0
simpson_p_search,T=100|cbrt|q3,0.79296875
simpson_slope_q3_minus_q1,T=100|cbrt,0.1470783390410959
simpson_n,T=100|conservative|q1,1798.0
simpson_p_search,T=100|conservative|q1,0.6713014460511679
simpson_n,T=100|conservative|q2,283.0
simpson_p_search,T=100|conservative|q2,0.8197879858657244
simpson_n,T=100|conservative|q3,194.0
simpson_p_search,T=100|conservative|q3,0.7628865979381443
simpson_slope_q3_minus_q1,T=100|conservative,0.09158515188697636
simpson_n,T=100|epsilon|q1,164.0
simpson_p_search,T=100|epsilon|q1,0.5
simpson_n,T=100|epsilon|q2,1894.0
simpson_p_search,T=100|epsilon|q2,0.542766631467793
simpson_n,T=100|epsilon|q3,310.0
simpson_p_search,T=100|epsilon|q3,0.7516129032258064
simpson_slope_q3_minus_q1,T=100|epsilon,0.25161290322580643
simpson_n,T=100|random|q1,0.0
simpson_p_search,T=100|random|q1,
simpson_n,T=100|random|q2,52.0
simpson_p_search,T=100|random|q2,0.6346153846153846
simpson_n,T=100|random|q3,2383.0
simpson_p_search,T=100|random|q3,0.4326479227864037
simpson_slope_q3_minus_q1,T=100|random,
simpson_n,T=100|sqrt|q1,1177.0
simpson_p_search,T=100|sqrt|q1,0.5395072217502124
simpson_n,T=100|sqrt|q2,902.0
simpson_p_search,T=100|sqrt|q2,0.6574279379157428
simpson_n,T=100|sqrt|q3,256.0
simpson_p_search,T=100|sqrt|q3,0.7890625
simpson_slope_q3_minus_q1,T=100|sqrt,0.24955527824978763
simpson_n,T=100|t23|q1,0.0
simpson_p_search,T=100|t23|q1,
simpson_n,T=100|t23|q2,2135.0
simpson_p_search,T=100|t23|q2,0.5081967213114754
simpson_n,T=100|t23|q3,272.0
simpson_p_search,T=100|t23|q3,0.7794117647058824
simpson_slope_q3_minus_q1,T=100|t23,
simpson_n,T=200|pooled|q1,5784.0
simpson_p_search,T=200|pooled|q1,0.6780774550484094
simpson_n,T=200|pooled|q2,5792.0
simpson_p_search,T=200|pooled|q2,0.5925414364640884
simpson_n,T=200|pooled|q3,5799.0
simpson_p_search,T=200|pooled|q3,0.5840662183135024
simpson_slope_q3_minus_q1,T=200|pooled,-0.09401123673490708
simpson_n,T=200|aggressive|q1,0.0
simpson_p_search,T=200|aggressive|q1,
simpson_n,T=200|aggressive|q2,1.0
simpson_p_search,T=200|aggressive|q2,1.0
simpson_n,T=200|aggressive|q3,1570.0
simpson_p_search,T=200|aggressive|q3,0.44140127388535033
simpson_slope_q3_minus_q1,T=200|aggressive,
simpson_n,T=200|bracket|q1,1802.0
simpson_p_search,T=200|bracket|q1,0.7613762486126526
simpson_n,T=200|bracket|q2,326.0
simpson_p_search,T=200|bracket|q2,0.8282208588957055
simpson_n,T=200|bracket|q3,216.0
simpson_p_search,T=200|bracket|q3,0.7870370370370371
simpson_slope_q3_minus_q1,T=200|bracket,0.025660788424384462
simpson_n,T=200|cbrt|q1,1438.0
simpson_p_search,T=200|cbrt|q1,0.6223922114047288
simpson_n,T=200|cbrt|q2,600.0
simpson_p_search,T=200|cbrt|q2,0.735
simpson_n,T=200|cbrt|q3,312.0
simpson_p_search,T=200|cbrt|q3,0.8205128205128205
simpson_slope_q3_minus_q1,T=200|cbrt,0.1981206091080917
simpson_n,T=200|conservative|q1,1691.0
simpson_p_search,T=200|conservative|q1,0.7131874630396215
simpson_n,T=200|conservative|q2,525.0
simpson_p_search,T=200|conservative|q2,0.7923809523809524
simpson_n,T=200|conservative|q3,155.0
