variant,grouping,k,estimator,feature_set,n_features,row_filter,subset,n_groups,n_splits,n_rows,n_pos,class_balance,auc,auc_fold_mean,bal_acc_05,bal_acc_05_fold_mean,tau_off,bal_acc_tau_off,ess,n_cells
clock_k16,meta_env,16,logit,clock,11,decided,{},30,5,82738,52254.0,0.6315598636660301,0.6758740555849885,0.6776460701269068,0.5864503682458239,0.5872822456294978,0.64,0.6326922875743255,,
clock_k16,within_regime,16,logit,clock,11,decided,{},30,5,82663,,,0.5167916949853835,,,,,,,522.0
clock_k16,meta_horizon,16,logit,clock,11,decided,{},5,5,82738,52254.0,0.6315598636660301,0.6646672912288927,0.6554974074510707,0.5805543267360681,0.5654363404227365,0.64,0.6260273060238442,,
clock_k16,meta_policy,16,logit,clock,11,decided,{},8,5,82738,52254.0,0.6315598636660301,0.6778519128705386,0.6475494787258914,0.583814075842342,0.5571463608602503,0.63,0.6340178852284557,,
clock_k16,meta_family,16,logit,clock,11,decided,{},2,2,82738,52254.0,0.6315598636660301,0.6596483938634972,0.6841019716584712,0.5667308520506008,0.5882047739548426,0.69,0.6176476159242088,,
clock_quality_k16,meta_env,16,logit,clock_quality,35,decided,{},30,5,82738,52254.0,0.6315598636660301,0.7495152607201386,0.7533129340145799,0.6577700838887329,0.6561057945508464,0.63,0.6873825336082695,,
clock_quality_k16,within_regime,16,logit,clock_quality,35,decided,{},30,5,82663,,,0.689559990230025,,,,,,,522.0
clock_quality_k16,meta_horizon,16,logit,clock_quality,35,decided,{},5,5,82738,52254.0,0.6315598636660301,0.7375285996529815,0.7348167964283666,0.6479076988394786,0.6354702578949604,0.63,0.6832189536804084,,
clock_quality_k16,meta_policy,16,logit,clock_quality,35,decided,{},8,5,82738,52254.0,0.6315598636660301,0.7521155721414421,0.7378714865606002,0.6597549669908224,0.6363589471347939,0.64,0.6908223379791021,,
clock_quality_k16,meta_family,16,logit,clock_quality,35,decided,{},2,2,82738,52254.0,0.6315598636660301,0.7418453657976518,0.7468731784820353,0.6291172709985086,0.6453232205253041,0.69,0.6819334430132884,,
clock_quality_cs_k16,meta_env,16,logit,clock_quality_cs,61,decided,{},30,5,82738,52254.0,0.6315598636660301,0.7502229409014491,0.7540856046179212,0.6576866165730185,0.6562692324747808,0.64,0.6860851076484793,,
clock_quality_cs_k16,within_regime,16,logit,clock_quality_cs,61,decided,{},30,5,82663,,,0.6884996561936514,,,,,,,522.0
clock_quality_cs_k16,meta_horizon,16,logit,clock_quality_cs,61,decided,{},5,5,82738,52254.0,0.6315598636660301,0.7382264654123764,0.7347548292621564,0.6478079142272899,0.6329787321352442,0.65,0.6835190206767467,,
clock_quality_cs_k16,meta_policy,16,logit,clock_quality_cs,61,decided,{},8,5,82738,52254.0,0.6315598636660301,0.7533323567438925,0.7387715956964207,0.659271101896685,0.6354076226660379,0.65,0.6902343641138766,,
clock_quality_cs_k16,meta_family,16,logit,clock_quality_cs,61,decided,{},2,2,82738,52254.0,0.6315598636660301,0.7425924854093662,0.7473208280902902,0.6329266534711016,0.6475465171108046,0.7,0.6803160876786145,,
clock_quality_evidence_k16,meta_env,16,logit,clock_quality_evidence,62,decided,{},30,5,82738,52254.0,0.6315598636660301,0.7501474319716768,0.754021126126131,0.6576538124790676,0.6562451147657453,0.63,0.6862784367248516,,
clock_quality_evidence_k16,within_regime,16,logit,clock_quality_evidence,62,decided,{},30,5,82663,,,0.688418326467483,,,,,,,522.0
clock_quality_evidence_k16,meta_horizon,16,logit,clock_quality_evidence,62,decided,{},5,5,82738,52254.0,0.6315598636660301,0.7382088825084192,0.7348941215376905,0.6475659910969436,0.6326486911051881,0.65,0.6833809897328748,,
