scope,horizon,n_undefined,tau,n_states,n_decided,p_search_given_decided,tie_frac,mean_abs_A,mean_se,phi_search_rate,phi_agree_frac,phi_bal_acc,phi_auc
onpolicy,all,3675,0.5,11301,9436,0.5597710894446799,0.16502964339438989,0.010892217352191785,0.0011393267436876182,0.5034952659056721,0.6399957609156423,0.6484644025903874,0.6969672849005087
onpolicy,50,0,0.5,2912,2839,0.5456146530468475,0.02506868131868132,0.02629779911941745,0.0022447696258336472,0.42032967032967034,0.697076435364565,0.7052922365517138,0.7683476711656934
onpolicy,100,92,0.5,2820,2746,0.5837581937363437,0.02624113475177305,0.011633173501151069,0.0014524560226799568,0.4269503546099291,0.6616897305171158,0.6777185057108036,0.729057885231595
onpolicy,200,527,0.5,2481,2111,0.5736617716721932,0.14913341394598953,0.00459111805713196,0.0006618010261389424,0.42241031841999194,0.5973472288015159,0.6195169281585466,0.6615097715386733
onpolicy,500,1136,0.5,1936,1321,0.5177895533686601,0.31766528925619836,0.0011684928284637877,0.00027745593822657235,0.5878099173553719,0.5647236941710825,0.5654934038392685,0.5815167497498325
onpolicy,1000,1920,0.5,1152,419,0.5608591885441527,0.6362847222222222,4.81267122217509e-05,5.534145292652288e-05,0.9340277777777778,0.5632458233890215,0.5086147086031453,0.4907146160962072
corpus_schedule,all,0,0.5,49144,46174,0.6748819682072161,0.06043464105485919,0.02335498662123073,0.0009898453874883641,0.8021935536382875,0.7211634253042838,0.6305559685490809,0.7446489859008114
corpus_schedule,50,0,0.5,9984,9066,0.600154423119347,0.09194711538461539,0.04630985522111657,0.001574632961928056,0.7408854166666666,0.657180675049636,0.6124666738492544,0.7035854970878832
corpus_schedule,100,0,0.5,9984,9292,0.6337709857942316,0.06931089743589744,0.033413286279909894,0.0013560464072953542,0.7535056089743589,0.6969436074042187,0.6397130836630072,0.7374247059682388
corpus_schedule,200,0,0.5,9984,9439,0.6607691492742875,0.054587339743589744,0.02089549117275055,0.0010272443377857309,0.7791466346153846,0.714694353215383,0.6386744015309496,0.7569718280732229
corpus_schedule,500,0,0.5,9984,9584,0.7391485809682805,0.04006410256410257,0.009586473722915946,0.0005789509163600928,0.8324318910256411,0.7829716193656093,0.6591920948616601,0.8016120553359685
corpus_schedule,1000,0,0.5,9208,8793,0.7404753781417036,0.04506950477845352,0.005155265014029156,0.0003636843487195634,0.9136620330147698,0.7523029682702149,0.5688964175908875,0.6828815349362927
corpus_all,all,879,0.5,87148,82738,0.6315598636660301,0.050603570936797175,0.025230335127968934,0.0010725506971274795,0.7207738559691559,0.7091179385530227,0.661818833165447,0.7567080272716517
corpus_all,50,0,0.5,19968,18453,0.5666829241857693,0.07587139423076923,0.04680542771482332,0.0016266844391023727,0.6569511217948718,0.6678046930038476,0.6490888649833189,0.7276591401275851
corpus_all,100,0,0.5,19968,18804,0.585779621357158,0.05829326923076923,0.033008351824699037,0.0013981072765457837,0.6434294871794872,0.6875132950436077,0.6682044647039102,0.7493092584272885
corpus_all,200,334,0.5,18127,17375,0.6181870503597122,0.0414850775086887,0.020314312586712433,0.001029652961691115,0.695095713576433,0.7086618705035971,0.6722562659255471,0.769749502756225
corpus_all,500,398,0.5,15763,15305,0.7047370140476968,0.029055382858592906,0.01007521254958461,0.0005926366471885795,0.7856372517921716,0.7549166938908853,0.6653982892841306,0.7915114119189444
corpus_all,1000,147,0.5,13322,12801,0.7229903913756738,0.03910824200570485,0.00585486985502295,0.00038022492636201506,0.8905569734274134,0.7462698226701039,0.5893358051302584,0.6946033043220187
