split,env,T,cap,base_seed,n_replicates,policy,name,alpha,c,K0,recommender,mean_regret,se,mean_q,mean_regret_disc,mean_regret_sel,mean_mu_star,mean_k_final,mean_search_frac,cap_hit_frac,mean_n_demoted,mean_regret_posterior_mean_shrunk,mean_regret_lcb,mean_regret_posterior_mean,mean_regret_empirical,mean_regret_oracle_prior,seconds
val,tail_b1.0_mu0.9_c2.0,50,64,5271000,500,power,power_a0.2500_c9.38768,0.25,9.38768368,-1,posterior_mean_shrunk,0.0965003783106804,0.004093918730544417,0.7940800608992576,0.009705783843994141,0.08679459446668625,0.890580439209938,25.0,0.47916666666666674,0.0,-1.0,0.0965003783106804,0.0965003783106804,0.0965003783106804,0.10147892218828201,0.0965003783106804,0.02358458295930177
val,tail_b1.0_mu0.9_c2.0,50,64,5271000,500,power,power_a0.3333_c5.50804,0.3333333333333333,5.5080378048,-1,posterior_mean_shrunk,0.09195654875040055,0.003956735728470721,0.7986238904595375,0.013733124732971192,0.07822342401742935,0.890580439209938,21.0,0.3958333333333333,0.0,-1.0,0.09195654875040055,0.09195654875040055,0.09220339399576187,0.10884020555019379,0.09195654875040055,0.02567662496585399
val,tail_b1.0_mu0.9_c2.0,50,64,5271000,500,power,power_a0.5000_c2.90485,0.5,2.9048457122,-1,posterior_mean_shrunk,0.09585072666406631,0.004003917066292022,0.7947297125458718,0.013733124732971192,0.08211760193109513,0.890580439209938,21.0,0.3958333333333333,0.0,-1.0,0.09585072666406631,0.09585072666406631,0.09562768393754958,0.11027282679080963,0.09585072666406631,0.02464933297596872
val,tail_b1.0_mu0.9_c2.0,50,64,5271000,500,power,power_a0.6667_c1.53197,0.6666666666666666,1.5319663573,-1,posterior_mean_shrunk,0.09573090046644211,0.004130383022828599,0.794849538743496,0.013733124732971192,0.08199777573347092,0.890580439209938,21.0,0.3958333333333333,0.0,-1.0,0.09573090046644211,0.09573090046644211,0.09555896788835526,0.11059968811273575,0.09578201061487197,0.023729917011223733
val,tail_b1.0_mu0.9_c2.0,50,64,5271000,500,refine_after_init,refine_after_init_K8,0.0,8.0,8,posterior_mean_shrunk,0.09244824814796447,0.0039206301863066294,0.7981321910619735,0.04655411636829376,0.045894131779670715,0.890580439209938,8.0,0.125,0.0,-1.0,0.09244824814796447,0.09221983194351197,0.09244824814796447,0.09278007328510285,0.09244824814796447,0.0165154580026865
val,tail_b2.0_mu1.0_c1.0,50,64,5361000,500,power,power_a0.2500_c9.38768,0.25,9.38768368,-1,posterior_mean_shrunk,0.1427977964282036,0.006458991208653801,0.7367817000746727,0.05065896141529083,0.09213883501291276,0.8795794965028763,25.0,0.47916666666666674,0.0,-1.0,0.1427977964282036,0.1427977964282036,0.1427977964282036,0.14503494076430798,0.1427977964282036,0.02614016702864319
val,tail_b2.0_mu1.0_c1.0,50,64,5361000,500,power,power_a0.3333_c5.50804,0.3333333333333333,5.5080378048,-1,posterior_mean_shrunk,0.15688072502613068,0.007092404387436281,0.7226987714767457,0.06562669241428375,0.09125403261184692,0.8795794965028763,21.0,0.3958333333333333,0.0,-1.0,0.15688072502613068,0.15688072502613068,0.15897692599892616,0.1683974550664425,0.15492325192689896,0.021229124977253377
val,tail_b2.0_mu1.0_c1.0,50,64,5361000,500,power,power_a0.5000_c2.90485,0.5,2.9048457122,-1,posterior_mean_shrunk,0.1565840285420418,0.007130146071289072,0.7229954679608345,0.06562669241428375,0.09095733612775803,0.8795794965028763,21.0,0.3958333333333333,0.0,-1.0,0.1565840285420418,0.1565840285420418,0.15884833469986914,0.1715578187853098,0.15524997985363007,0.03098808298818767
val,tail_b2.0_mu1.0_c1.0,50,64,5361000,500,power,power_a0.6667_c1.53197,0.6666666666666666,1.5319663573,-1,posterior_mean_shrunk,0.16040221443772315,0.007181544490338411,0.7191772820651531,0.06562669241428375,0.0947755220234394,0.8795794965028763,21.0,0.3958333333333333,0.0,-1.0,0.16040221443772315,0.1604134900867939,0.16221311268210412,0.17273483695089817,0.15886326667666434,0.02627899998333305
val,tail_b2.0_mu1.0_c1.0,50,64,5361000,500,refine_after_init,refine_after_init_K8,0.0,8.0,8,posterior_mean_shrunk,0.2287087962925434,0.008485216555703046,0.6508707002103329,0.18370112425088883,0.04500767204165459,0.8795794965028763,8.0,0.125,0.0,-1.0,0.2287087962925434,0.2290031575858593,0.22913590416312218,0.22913590416312218,0.2287087962925434,0.018233791925013065
val,tail_b0.5_mu1.0_c1.0,50,64,5196000,500,power,power_a0.2500_c9.38768,0.25,9.38768368,-1,posterior_mean_shrunk,0.04540981364250183,0.0031258720735228033,0.953818259358406,0.0022172162532806397,0.04319259738922119,0.9992280730009079,25.0,0.47916666666666674,0.0,-1.0,0.04540981364250183,0.04540981364250183,0.04540981364250183,0.05853340050578117,0.04540981364250183,0.02784637501463294
val,tail_b0.5_mu1.0_c1.0,50,64,5196000,500,power,power_a0.3333_c5.50804,0.3333333333333333,5.5080378048,-1,posterior_mean_shrunk,0.03675048828125,0.002474740592763233,0.9624775847196579,0.0032885369062423705,0.03346195137500763,0.9992280730009079,21.0,0.3958333333333333,0.0,-1.0,0.03675048828125,0.03675048828125,0.03675048828125,0.05743585687875748,0.03675048828125,0.02326762501616031
val,tail_b0.5_mu1.0_c1.0,50,64,5196000,500,power,power_a0.5000_c2.90485,0.5,2.9048457122,-1,posterior_mean_shrunk,0.03873453485965729,0.00249989506200627,0.9604935381412506,0.0032885369062423705,0.035445997953414916,0.9992280730009079,21.0,0.3958333333333333,0.0,-1.0,0.03873453485965729,0.03873453485965729,0.03873453485965729,0.05797747248411179,0.03873453485965729,0.025574041064828634
val,tail_b0.5_mu1.0_c1.0,50,64,5196000,500,power,power_a0.6667_c1.53197,0.6666666666666666,1.5319663573,-1,posterior_mean_shrunk,0.04462285542488098,0.0029868452054527942,0.9546052175760269,0.0032885369062423705,0.04133431851863861,0.9992280730009079,21.0,0.3958333333333333,0.0,-1.0,0.04462285542488098,0.04462285542488098,0.04462285542488098,0.06300540947914124,0.04462285542488098,0.02926287497393787
