level,split,env_id,horizon,cap,base_seed,alpha,c,b,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,50,64,5001000,0.5,1.0,0.0,1,2000,0.09461859734356404,0.0018572422649983126,8.0,0.125,False
env,val,beta_good_common,50,64,5001000,0.5,1.0,1.0,1,2000,0.09172415834665298,0.0018069533730631464,14.0,0.25,False
env,val,beta_good_common,50,64,5001000,0.5,2.0,0.0,1,2000,0.09143470966815949,0.001826313291979826,15.0,0.27083333333333337,False
env,val,beta_good_common,50,64,5001000,0.5,1.0,2.0,1,2000,0.09584584076702594,0.001897442959264853,21.0,0.39583333333333326,False
env,val,beta_good_common,50,64,5001000,0.5,3.0,0.0,1,2000,0.098389080286026,0.0019430792092283878,22.0,0.41666666666666674,False
env,val,beta_good_common,50,64,5001000,0.5,2.0,1.0,1,2000,0.10632130886614323,0.002026291077016198,28.0,0.5416666666666667,False
env,val,beta_good_common,50,64,5001000,0.5,1.0,4.0,1,2000,0.12342956879734993,0.002248716250428872,35.0,0.6875,False
env,val,beta_good_common,50,64,5001000,0.5,1.0,8.0,1,2000,0.18730742841959,0.0029300029699964895,48.6675,0.9722395833333333,False
env,val,beta_good_common,50,64,5001000,0.5,2.0,2.0,1,2000,0.14959097389876844,0.002597248408062652,42.0,0.8333333333333335,False
env,val,beta_good_common,50,64,5001000,0.5,2.0,4.0,1,2000,0.18743822540342808,0.0029705229624435127,48.6885,0.9726770833333332,False
env,val,beta_good_common,50,64,5001000,0.5,3.0,1.0,1,2000,0.1499011809527874,0.0025823484394726214,42.0,0.8333333333333335,False
env,val,beta_good_common,50,64,5001000,0.5,2.0,8.0,1,2000,0.19895977346599103,0.003092044456463768,49.1605,0.9825104166666665,False
env,val,beta_good_common,50,64,5001000,0.5,3.0,2.0,1,2000,0.18626524871587755,0.002977181675188297,48.686,0.9726249999999997,False
env,val,beta_good_common,50,64,5001000,0.5,4.0,0.0,1,2000,0.10834444585442543,0.0020565559420318846,29.0,0.5625,False
env,val,beta_good_common,50,64,5001000,0.5,3.0,4.0,1,2000,0.19634275195002557,0.003056415050649192,49.031,0.9798124999999999,False
env,val,beta_good_common,50,64,5001000,0.5,3.0,8.0,1,2000,0.21422759087383747,0.0032013374701112267,49.964,0.99925,False
env,val,beta_good_common,50,64,5001000,0.5,4.0,1.0,1,2000,0.18727056546509266,0.002967394605511954,48.6855,0.9726145833333333,False
env,val,beta_good_common,50,64,5001000,0.5,4.0,2.0,1,2000,0.1915897336900234,0.002979593812712143,48.917,0.9774374999999998,False
env,val,beta_good_common,50,64,5001000,0.5,4.0,4.0,1,2000,0.21422104811668397,0.003194062659302158,49.955,0.9990625,False
env,val,beta_good_common,50,64,5001000,0.5,6.0,0.0,1,2000,0.15254334343969822,0.0025620961648164836,43.0,0.8541666666666665,False
env,val,beta_good_common,50,64,5001000,0.5,4.0,8.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.5,6.0,1.0,1,2000,0.215544745400548,0.003211639565146815,49.9865,0.99971875,False
env,val,beta_good_common,50,64,5001000,0.5,6.0,4.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.5,6.0,2.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,1.0,0.0,1,2000,0.09370254738628864,0.0018471033919935606,19.0,0.3541666666666667,False
env,val,beta_good_common,50,64,5001000,0.5,6.0,8.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,1.0,1.0,1,2000,0.13466775713860987,0.0024209537111341208,38.0,0.75,False
env,val,beta_good_common,50,64,5001000,0.75,1.0,2.0,1,2000,0.1876040273308754,0.0029672808584211875,48.682,0.9725416666666665,False
env,val,beta_good_common,50,64,5001000,0.75,1.0,4.0,1,2000,0.1883406404852867,0.002957148121074955,48.78,0.9745833333333332,False
env,val,beta_good_common,50,64,5001000,0.75,2.0,0.0,1,2000,0.1336657459884882,0.002410658145527297,38.0,0.75,False
env,val,beta_good_common,50,64,5001000,0.75,1.0,8.0,1,2000,0.21562895381450653,0.003195827193854956,49.901,0.9979375,False
env,val,beta_good_common,50,64,5001000,0.75,2.0,1.0,1,2000,0.20029670000076294,0.003076389912616649,49.324,0.9859166666666666,False
env,val,beta_good_common,50,64,5001000,0.75,2.0,2.0,1,2000,0.215544745400548,0.003211639565146815,49.9865,0.99971875,False
env,val,beta_good_common,50,64,5001000,0.75,3.0,0.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,2.0,4.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,2.0,8.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,3.0,1.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,3.0,2.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,3.0,4.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,3.0,8.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,4.0,0.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,4.0,1.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,4.0,2.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,4.0,4.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,6.0,0.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,4.0,8.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,6.0,1.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,6.0,2.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,6.0,4.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,50,64,5001000,0.75,6.0,8.0,1,2000,0.21569142806529998,0.003222281222372662,50.0,1.0,False
env,val,beta_good_common,100,64,5004000,0.5,1.0,0.0,1,2000,0.08149040646851063,0.0015610340937868678,10.0,0.08163265306122448,False
env,val,beta_good_common,100,64,5004000,0.5,1.0,1.0,1,2000,0.06940038800239563,0.0013912756766534052,20.0,0.1836734693877551,False
env,val,beta_good_common,100,64,5004000,0.5,1.0,2.0,1,2000,0.07303891196846962,0.0014953896257631886,30.0,0.2857142857142856,False
env,val,beta_good_common,100,64,5004000,0.5,2.0,0.0,1,2000,0.06938054537773132,0.0013914855425271638,20.0,0.1836734693877551,False
env,val,beta_good_common,100,64,5004000,0.5,1.0,4.0,1,2000,0.08919613167643548,0.0017362797149826298,50.0,0.48979591836734687,False
env,val,beta_good_common,100,64,5004000,0.5,2.0,1.0,1,2000,0.07924045747518539,0.0016377893283273702,40.0,0.38775510204081615,False
env,val,beta_good_common,100,64,5004000,0.5,1.0,8.0,1,2000,0.10265454295277596,0.001869457303188267,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,2.0,2.0,1,2000,0.09818032976984978,0.0018148955495785933,60.0,0.5918367346938778,False
env,val,beta_good_common,100,64,5004000,0.5,2.0,4.0,1,2000,0.10261695379018784,0.00186822744993314,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,3.0,0.0,1,2000,0.07311346065998077,0.0014955983748234601,30.0,0.2857142857142856,False
env,val,beta_good_common,100,64,5004000,0.5,2.0,8.0,1,2000,0.10234859672188759,0.0018684319530329402,64.0,0.6326530612244898,False
env,val,beta_good_common,100,64,5004000,0.5,3.0,1.0,1,2000,0.09804755449295044,0.0018159449335409376,60.0,0.5918367346938778,False
