level,split,env_id,horizon,cap,base_seed,theta,alpha,c,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,50,64,5001000,0.55,0.5,3.0,1,2000,0.1429498648196459,0.0022353978993488064,2.536,0.011166666666666667,False
env,val,beta_good_common,50,64,5001000,0.55,0.5,4.0,1,2000,0.1429498648196459,0.0022353978993488064,2.536,0.011166666666666667,False
env,val,beta_good_common,50,64,5001000,0.55,0.75,1.0,1,2000,0.1429498648196459,0.0022353978993488064,2.536,0.011166666666666667,False
env,val,beta_good_common,50,64,5001000,0.55,0.75,1.5,1,2000,0.1429498648196459,0.0022353978993488064,2.536,0.011166666666666667,False
env,val,beta_good_common,50,64,5001000,0.55,0.5,6.0,1,2000,0.1429498648196459,0.0022353978993488064,2.536,0.011166666666666667,False
env,val,beta_good_common,50,64,5001000,0.55,0.5,8.0,1,2000,0.1429498648196459,0.0022353978993488064,2.536,0.011166666666666667,False
env,val,beta_good_common,50,64,5001000,0.55,0.75,2.0,1,2000,0.1429498648196459,0.0022353978993488064,2.536,0.011166666666666667,False
env,val,beta_good_common,50,64,5001000,0.6,0.5,4.0,1,2000,0.13701137135922908,0.0021583495408047577,2.656,0.013666666666666666,False
env,val,beta_good_common,50,64,5001000,0.55,0.75,3.0,1,2000,0.1429498648196459,0.0022353978993488064,2.536,0.011166666666666667,False
env,val,beta_good_common,50,64,5001000,0.6,0.5,6.0,1,2000,0.13701137135922908,0.0021583495408047577,2.656,0.013666666666666666,False
env,val,beta_good_common,50,64,5001000,0.6,0.5,3.0,1,2000,0.13701137135922908,0.0021583495408047577,2.656,0.013666666666666666,False
env,val,beta_good_common,50,64,5001000,0.6,0.5,8.0,1,2000,0.13701137135922908,0.0021583495408047577,2.656,0.013666666666666666,False
env,val,beta_good_common,50,64,5001000,0.6,0.75,1.0,1,2000,0.13701137135922908,0.0021583495408047577,2.656,0.013666666666666666,False
env,val,beta_good_common,50,64,5001000,0.6,0.75,2.0,1,2000,0.13701137135922908,0.0021583495408047577,2.656,0.013666666666666666,False
env,val,beta_good_common,50,64,5001000,0.6,0.75,1.5,1,2000,0.13701137135922908,0.0021583495408047577,2.656,0.013666666666666666,False
env,val,beta_good_common,50,64,5001000,0.625,0.5,3.0,1,2000,0.12647874526679515,0.002079875643217087,2.9775,0.020364583333333332,False
