test,cell,env_id,family,horizon,cap,policy,group,n,cap_hit_frac,n_demoted_mean,n_demoted_max,frac_episodes_demoted,k_final_mean,search_frac_mean,t_cap_hit_q00,t_cap_hit_q25,t_cap_hit_q50,t_cap_hit_q75,t_cap_hit_q100,t_cap_hit_frac_of_T_median,n_decisions,n_search_decided,frac_decisions_search,n_committed_steps,n_guard_vetoes,n_cap_demoted_counter
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,always_search,baseline,2000,1.0,,,,64.0,0.062124248496993974,64.0,64.0,64.0,64.0,64.0,0.064,,,,,,
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,cp0,reference,2000,0.0,,,,30.97,0.029028056112224438,,,,,,,,,,,,
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,fixed_K16,baseline,2000,0.0,,,,16.0,0.014028056112224454,,,,,,,,,,,,
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,p3_star,reference,2000,1.0,,,,64.0,0.062124248496993974,272.0,272.0,272.0,272.0,272.0,0.272,,,,,,
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k1,learned,2000,1.0,936.0,936.0,1.0,64.0,0.062124248496993974,64.0,64.0,64.0,64.0,64.0,0.064,1996000.0,1996000.0,1.0,0.0,0.0,1872000.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16,learned,2000,1.0,357.875,850.0,1.0,64.0,0.062124248496993974,80.0,80.0,80.0,80.0,128.0,0.08,126000.0,52485.0,0.41654761904761906,1870000.0,0.0,715750.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_all71,learned,2000,1.0,267.032,578.0,1.0,64.0,0.062124248496993974,80.0,80.0,80.0,80.0,112.0,0.08,126000.0,41129.0,0.32642063492063494,1870000.0,0.0,534064.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_clock,learned,2000,1.0,936.0,936.0,1.0,64.0,0.062124248496993974,64.0,64.0,64.0,64.0,64.0,0.064,126000.0,126000.0,1.0,1870000.0,0.0,1872000.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_cs,learned,2000,1.0,359.435,850.0,1.0,64.0,0.062124248496993974,80.0,80.0,80.0,80.0,128.0,0.08,126000.0,52680.0,0.4180952380952381,1870000.0,0.0,718870.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_famA_only,learned,2000,0.9875,6.106,178.0,0.9875,63.825,0.061948897795591165,80.0,80.0,96.0,128.0,992.0,0.096,126000.0,8492.0,0.0673968253968254,1870000.0,0.0,12212.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_famB_only,learned,2000,1.0,335.035,770.0,1.0,64.0,0.062124248496993974,80.0,80.0,80.0,80.0,144.0,0.08,126000.0,49630.0,0.3938888888888889,1870000.0,0.0,670070.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_guard,learned,2000,1.0,357.7995,791.0,1.0,64.0,0.062124248496993974,80.0,80.0,80.0,80.0,128.0,0.08,126000.0,52485.0,0.41654761904761906,1870000.0,151.0,715599.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_hgb,learned,2000,1.0,715.382,872.0,1.0,64.0,0.062124248496993974,64.0,64.0,64.0,64.0,848.0,0.064,126000.0,98414.0,0.781063492063492,1870000.0,0.0,1430764.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_lucb,learned,2000,1.0,302.098,904.0,1.0,64.0,0.062124248496993974,80.0,80.0,96.0,128.0,208.0,0.096,126000.0,45521.0,0.36127777777777775,1870000.0,0.0,604196.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_noT1000,learned,2000,1.0,879.895,936.0,1.0,64.0,0.062124248496993974,64.0,64.0,64.0,64.0,64.0,0.064,126000.0,117960.0,0.9361904761904762,1870000.0,0.0,1759790.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_noT200,learned,2000,1.0,417.856,882.0,1.0,64.0,0.062124248496993974,80.0,80.0,80.0,80.0,96.0,0.08,126000.0,59982.0,0.47604761904761905,1870000.0,0.0,835712.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_noambig,learned,2000,1.0,727.234,936.0,1.0,64.0,0.062124248496993974,64.0,64.0,64.0,64.0,80.0,0.064,126000.0,98683.0,0.7831984126984127,1870000.0,0.0,1454468.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_nopolicy,learned,2000,1.0,631.767,936.0,1.0,64.0,0.062124248496993974,64.0,64.0,80.0,80.0,80.0,0.08,126000.0,86764.0,0.6886031746031746,1870000.0,0.0,1263534.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_notrunc,learned,2000,1.0,655.191,936.0,1.0,64.0,0.062124248496993974,64.0,64.0,64.0,64.0,80.0,0.064,126000.0,89687.0,0.7118015873015873,1870000.0,0.0,1310382.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_onpolicy_only,learned,2000,0.3245,39.101,456.0,0.3245,29.097,0.02715130260521042,80.0,784.0,864.0,928.0,992.0,0.864,126000.0,8681.0,0.0688968253968254,1870000.0,0.0,78202.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_onpolicy_union,learned,2000,1.0,394.062,920.0,1.0,64.0,0.062124248496993974,80.0,80.0,80.0,96.0,192.0,0.08,126000.0,57019.0,0.452531746031746,1870000.0,0.0,788124.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_perstep,learned,2000,1.0,359.75,828.0,1.0,64.0,0.062124248496993974,65.0,68.0,72.0,75.0,100.0,0.072,1996000.0,843500.0,0.42259519038076154,0.0,0.0,719500.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_quality,learned,2000,1.0,324.496,834.0,1.0,64.0,0.062124248496993974,80.0,80.0,80.0,80.0,112.0,0.08,126000.0,48312.0,0.38342857142857145,1870000.0,0.0,648992.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_tau05,learned,2000,1.0,357.875,850.0,1.0,64.0,0.062124248496993974,80.0,80.0,80.0,80.0,128.0,0.08,126000.0,52485.0,0.41654761904761906,1870000.0,0.0,715750.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k16_weighted,learned,2000,0.9755,75.463,808.0,0.9755,63.657,0.06178056112224447,80.0,112.0,128.0,160.0,592.0,0.128,126000.0,17155.0,0.13615079365079366,1870000.0,0.0,150926.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_k4,learned,2000,1.0,893.994,932.0,1.0,64.0,0.062124248496993974,68.0,68.0,72.0,72.0,96.0,0.072,500000.0,478997.0,0.957994,1496000.0,0.0,1787988.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_reservoir_rule,learned,2000,1.0,800.67,920.0,1.0,64.0,0.062124248496993974,80.0,80.0,80.0,80.0,96.0,0.08,126000.0,107935.0,0.8566269841269841,1870000.0,0.0,1601340.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_sf_k16,learned,2000,1.0,731.366,920.0,1.0,64.0,0.062124248496993974,80.0,80.0,80.0,80.0,112.0,0.08,126000.0,99272.0,0.7878730158730158,1870000.0,0.0,1462732.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,phi_sf_k16_noT1000,learned,2000,0.9235,149.677,722.0,0.9235,62.897,0.061019038076152284,96.0,144.0,176.0,240.0,608.0,0.176,126000.0,26323.0,0.2089126984126984,1870000.0,0.0,299354.0
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,power_a0.25,baseline,2000,1.0,,,,64.0,0.062124248496993974,272.0,272.0,272.0,272.0,272.0,0.272,,,,,,
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,power_a0.33,baseline,2000,1.0,,,,64.0,0.062124248496993974,393.0,393.0,393.0,393.0,393.0,0.393,,,,,,
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,power_a0.5,baseline,2000,1.0,,,,64.0,0.062124248496993974,87.0,87.0,87.0,87.0,87.0,0.087,,,,,,
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,power_a0.67,baseline,2000,1.0,,,,64.0,0.062124248496993974,480.0,480.0,480.0,480.0,480.0,0.48,,,,,,
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,refine_after_init,baseline,2000,0.0,,,,8.0,0.006012024048096194,,,,,,,,,,,,
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,rule_reservoir,rule,2000,1.0,321.174,900.0,1.0,64.0,0.062124248496993974,64.0,64.0,64.0,64.0,64.0,0.064,,,,,,
A,beta_good_common_T1000_cap64,beta_good_common,A,1000,64,uniform,baseline,2000,1.0,,,,64.0,0.062124248496993974,92.0,118.0,125.0,133.0,167.0,0.125,,,,,,
A,beta_good_common_T100_cap64,beta_good_common,A,100,64,always_search,baseline,2000,1.0,,,,64.0,0.6326530612244898,64.0,64.0,64.0,64.0,64.0,0.64,,,,,,
A,beta_good_common_T100_cap64,beta_good_common,A,100,64,cp0,reference,2000,0.0,,,,9.0,0.0714285714285714,,,,,,,,,,,,
A,beta_good_common_T100_cap64,beta_good_common,A,100,64,fixed_K16,baseline,2000,0.0,,,,16.0,0.1428571428571428,,,,,,,,,,,,
A,beta_good_common_T100_cap64,beta_good_common,A,100,64,p3_star,reference,2000,0.0,,,,36.0,0.34693877551020413,,,,,,,,,,,,
