policy,reference,level,test,family,horizon,cell,env_id,cap,source_test,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,regret,regret_ref,k_final,k_final_deployed,k_final_ref,search_frac,search_frac_ref
phi_k4,always_search,cell,A,A,100,beta_good_common_T100_cap26,beta_good_common,26,capmatch,-0.00023426860570907593,-0.0012192011602222919,0.0007322668619453905,0.0004972087118307863,0.5005,1,2000,1,,,,,,,,,,,,False,none,0.07270541149377822,0.0729396800994873,25.149,25.891,26.0,0.23621428571428565,0.24489795918367344
phi_k4,always_search,cell,A,A,200,beta_good_common_T200_cap56,beta_good_common,56,capmatch,-0.000577185720205307,-0.0015748152047395706,0.00045744699835777235,0.0005182210736349747,0.50125,1,2000,1,,,,,,,,,,,,False,none,0.056220812261104584,0.05679799798130989,54.091,56.325,56.0,0.26308585858585853,0.2727272727272726
phi_k4,always_search,cell,A,A,50,beta_good_common_T50_cap14,beta_good_common,14,capmatch,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.09195775637030601,0.09195775637030601,14.0,14.488,14.0,0.25,0.25
phi_k4,always_search,cell,A,A,100,beta_mostly_mediocre_T100_cap37,beta_mostly_mediocre,37,capmatch,0.0017985626310110091,-0.0001348225686699149,0.0037708084911108005,0.0009973258462850282,0.495,1,2000,1,,,,,,,,,,,,False,none,0.14266326108574867,0.14086469845473767,34.8795,36.708,37.0,0.3355051020408163,0.35714285714285704
phi_k4,always_search,cell,A,A,200,beta_mostly_mediocre_T200_cap64,beta_mostly_mediocre,64,A,0.00013990823924541474,-9.840276837348938e-05,0.00045851560756564135,0.00014160547848403258,0.5,1,2000,1,,,,,,,,,,,,False,none,0.13280165995657445,0.13266175171732902,63.943,63.943,64.0,0.31284343434343437,0.31313131313131315
phi_k4,always_search,cell,A,A,50,beta_mostly_mediocre_T50_cap20,beta_mostly_mediocre,20,capmatch,-0.0019422056972980498,-0.0043315391857177005,0.00045569079183041896,0.0012265271847028436,0.50725,1,2000,1,,,,,,,,,,,,False,none,0.14624635244905948,0.14818855814635754,18.5,19.538,20.0,0.34375,0.375
phi_k4,always_search,cell,A,A,100,beta_rare_excellent_T100_cap64,beta_rare_excellent,64,A,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.17039122610958293,0.17039122610958293,63.998,63.998,64.0,0.6326326530612246,0.6326530612244898
phi_k4,always_search,cell,A,A,200,beta_rare_excellent_T200_cap64,beta_rare_excellent,64,A,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.17293234672769905,0.17293234672769905,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k4,always_search,cell,A,A,50,beta_rare_excellent_T50_cap36,beta_rare_excellent,36,capmatch,0.002047304129577242,0.00020315754194743965,0.003893952361389528,0.0009559625711743625,0.4955,1,2000,1,,,,,,,,,,,,False,none,0.16496387964578754,0.16291657551621028,34.049,35.78,36.0,0.6676875,0.7083333333333334
phi_k4,always_search,cell,A,A,100,beta_skewed_T100_cap63,beta_skewed,63,capmatch,-0.0020947573333978653,-0.003984922824427486,-0.0003074942559003832,0.0009286107033670994,0.505,1,2000,1,,,,,,,,,,,,False,none,0.16573202516324817,0.16782678249664604,62.0165,62.842,63.0,0.6124132653061225,0.6224489795918368
phi_k4,always_search,cell,A,A,200,beta_skewed_T200_cap64,beta_skewed,64,A,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.15335274867713453,0.15335274867713453,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k4,always_search,cell,A,A,50,beta_skewed_T50_cap33,beta_skewed,33,capmatch,0.003954651582986116,0.0006510972241871066,0.007223374303244053,0.0016784602677032596,0.49424999999999997,1,2000,1,,,,,,,,,,,,False,none,0.17946471072128042,0.17551005913829432,30.8185,32.536,33.0,0.6003854166666668,0.6458333333333334
phi_k4,always_search,cell,A,B,100,tail_b0.5_mu1.0_c1.0_T100_cap25,tail_b0.5_mu1.0_c1.0,25,capmatch,-0.00013851439952850342,-0.0007803118348121643,0.00048618075400590877,0.0003272984903764304,0.49425,1,2000,1,,,,,,,,,,,,False,none,0.01927367478609085,0.019412189185619353,24.0475,25.466,25.0,0.2249744897959183,0.23469387755102036
phi_k4,always_search,cell,A,B,200,tail_b0.5_mu1.0_c1.0_T200_cap55,tail_b0.5_mu1.0_c1.0,55,capmatch,-2.4447768926620484e-05,-0.0004941169016063212,0.000433831615000963,0.00023920419625342038,0.49875,1,2000,1,,,,,,,,,,,,False,none,0.010508348494768142,0.010532796263694763,52.4605,54.781,55.0,0.2548510101010101,0.26767676767676774
phi_k4,always_search,cell,A,B,50,tail_b0.5_mu1.0_c1.0_T50_cap14,tail_b0.5_mu1.0_c1.0,14,capmatch,0.0,0.0,0.0,0.0,0.5,1,2000,1,,,,,,,,,,,,False,none,0.03237907806038857,0.03237907806038857,14.0,14.3,14.0,0.25,0.25
phi_k4,always_search,cell,A,B,100,tail_b1.0_mu0.9_c2.0_T100_cap28,tail_b1.0_mu0.9_c2.0,28,capmatch,-0.002187823235988617,-0.0036492843873798847,-0.0007036536127328876,0.0007551892119143553,0.51,1,2000,1,,,,,,,,,,,,False,none,0.06445953071117401,0.06664735394716263,26.754,28.035,28.0,0.2525918367346939,0.2653061224489796
phi_k4,always_search,cell,A,B,200,tail_b1.0_mu0.9_c2.0_T200_cap60,tail_b1.0_mu0.9_c2.0,60,capmatch,-0.0013113251328468322,-0.0023981978289783,-0.0003278782576322556,0.0005280379568185014,0.50725,1,2000,1,,,,,,,,,,,,False,none,0.0505035996735096,0.05181492480635643,58.116,59.828,60.0,0.2834141414141414,0.2929292929292929
