test,horizon,cap,policy,reference,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method
capp,200,32,phi_k4,level_star,0.00010014235973358154,-5.198752395808694e-05,0.00025523173585534093,7.806467643039801e-05,0.4994375,8,16000,8,-1.8023834389040594e-05,0.00021830855385620367,4.997250368341893e-05,0.08512208777950744,0.25,-5.354002169752147e-06,0.000230767209260732,2.7710065245628355e-05,0.00019571475684642794,,,False,env_mean_t
capp,200,32,level_star,p3_star,-9.915084764361381e-05,-0.0002563347790390252,5.30335453338921e-05,7.890332395924539e-05,0.500625,8,16000,8,-0.00021579829731936507,1.749660203213745e-05,4.933022639735631e-05,0.0843730997756769,0.25,-0.00022633170912689308,8.174136569902922e-06,-0.00019472661325707985,0.0,,,False,env_mean_t
capp,200,32,level_star,fixed_K_star,-0.00010014235973358154,-0.00025463131889700885,5.072790533304211e-05,7.80963825820644e-05,0.5005625,8,16000,8,-0.00021830855385620367,1.8023834389040594e-05,4.997250368341893e-05,0.08512208777950744,0.25,-0.000230767209260732,5.354002169752147e-06,-0.00019665664434432981,-2.7710065245628355e-05,,,False,env_mean_t
capp,200,32,phi_k4,p3_star,9.915120899677276e-07,-4.5541018247604365e-06,7.405001390725373e-06,3.0592709194164846e-06,0.50009375,8,16000,8,-1.3530414437174067e-06,3.336065623652862e-06,9.915120899677274e-07,0.3506166628202074,1.0,-3.6315131933267376e-07,9.915120899677276e-07,0.0,2.974536269903183e-06,,,False,env_mean_t
capp,200,32,phi_k16,p3_star,-5.582921206951142e-05,-0.00011507923826575279,-3.890944551676519e-06,2.8537486387329635e-05,0.5005312500000001,8,16000,8,-0.00014322765827269032,3.156923413366749e-05,3.6960817831546935e-05,0.17466565733350245,0.25,-0.0006396368252847383,1.918327872871259e-06,-0.00012810848653316498,-3.324095159769058e-06,,,False,env_mean_t
capp,200,32,phi_k16,always_search,-5.682072415947914e-05,-0.00011639630934223533,-6.255278270691674e-06,2.861045424825976e-05,0.5004375000000001,8,16000,8,-0.00014398536659537486,3.034391827641658e-05,3.6861942178416975e-05,0.1671097467298759,0.25,-0.0005052954049163972,2.3722710851532166e-06,-0.0001334156058728695,-4.315607249736786e-06,,,False,env_mean_t
capp,200,32,phi_k4,cp0,-0.031218186267302373,-0.03282168871585163,-0.02959669674625329,0.0008224433057971646,0.5866250000000001,8,16000,8,-0.05694306537122357,-0.005493307163381183,0.010879055768202158,0.024006842616964962,0.0078125,-0.08008718672370696,-0.01132737030557893,-0.05247903367970139,-0.013200894868862818,,,False,env_mean_t
capp,200,32,p3_star,always_search,-9.915120899677276e-07,-7.459330186247825e-06,4.6225018799304944e-06,3.0768063428296216e-06,0.49990625,8,16000,8,-3.336065623652862e-06,1.3530414437174067e-06,9.915120899677274e-07,0.3506166628202074,1.0,-9.915120899677276e-07,3.6315131933267376e-07,-2.974536269903183e-06,0.0,,,False,env_mean_t
capp,200,48,phi_k4,level_star,0.0005565981902182103,0.00018239944465458396,0.0009245205682702361,0.00019393497573719803,0.4988125,8,16000,8,-0.0002271581777889731,0.0013403545582253936,0.0003314507019367893,0.13699044023823984,0.25,-4.101917905823113e-05,0.0027144824826655614,6.4134895801544094e-06,0.0012144636400043965,,,False,env_mean_t
capp,200,48,level_star,p3_star,-0.0005782643370330334,-0.0009559209811501203,-0.00020199454287067077,0.00019380725999719272,0.50184375,8,16000,8,-0.0013412772974149545,0.00018474862334888769,0.0003226783113080077,0.11622410136325421,0.1875,-0.0020826534600784596,1.8988177860020062e-05,-0.0012320711240172385,-3.4832790493965155e-05,,,False,env_mean_t
capp,200,48,level_star,fixed_K_star,-0.0005433647073805332,-0.0009195770210586488,-0.00016572965607047097,0.00019268217906879848,0.50140625,8,16000,8,-0.0013046987572732814,0.0002179693425122148,0.00032196829977529075,0.13533882990094764,0.25,-0.002475939213667804,4.232596714941737e-05,-0.0011926252655684948,-9.900592267513275e-06,,,False,env_mean_t
capp,200,48,phi_k4,p3_star,-2.166614681482315e-05,-7.072959644719957e-05,3.14624475315213e-05,2.5864052142590364e-05,0.5006875,8,16000,8,-0.0001000128702625885,5.668057663294221e-05,3.3132842731775206e-05,0.5340496887223454,0.75,-0.0001590644201152294,3.308994386595768e-05,-9.03441458940506e-05,3.0019506812095643e-05,,,False,env_mean_t
capp,200,48,phi_k16,p3_star,-0.0002414366640150547,-0.0005675253316760064,8.140505673363803e-05,0.0001658686103485842,0.5006875000000001,8,16000,8,-0.0005591849180989445,7.631159006883515e-05,0.00013437579094008624,0.11543598083415571,0.0625,-0.0010822356430461805,-2.9978950171484438e-05,-0.0005091949209570883,-3.7988066673278805e-05,,,False,env_mean_t
