test,horizon,cap,reference_cap,policy,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method
capp,200,32,64,always_search,0.008568255471342127,0.006925068864213609,0.010224510898910376,0.0008457294590348917,0.48334375,8,16000,8,-0.005734803870113546,0.022871314812797798,0.006048766239211703,0.1995484650426591,0.265625,-0.0017986045347345263,0.051909515926333985,-0.0012136615988554685,0.020610103455199716,,,False,env_mean_t
capp,200,48,64,always_search,0.001587329161047819,0.00026265702617929475,0.0028732860147167227,0.0006668146481996546,0.503,8,16000,8,-0.0037183204598291004,0.006892978781924738,0.0022437601311511095,0.5021584356501232,0.5,-0.002694595941388491,0.011039953359787406,-0.002306538408955746,0.005892701277974993,,,False,env_mean_t
capp,200,96,64,always_search,0.008664002925434032,0.007084873939747922,0.010278683594166069,0.0008128205860629621,0.4655625,8,16000,8,0.0012893174025006724,0.01603868844836739,0.0031187557676302506,0.02737568714355748,0.03125,0.0007655737860074868,0.015567006366803741,0.002907290256713168,0.014131409349749446,,,False,env_mean_t
capp,200,128,64,always_search,0.011764656980682048,0.009904271573866573,0.013661531378300423,0.0009497781722238066,0.447125,8,16000,8,0.0003159393550158495,0.023213374606348244,0.004841664639933584,0.0454286415380345,0.0546875,-0.002624402268539338,0.020462008270219427,0.0021211466780561767,0.019860828796401622,,,False,env_mean_t
capp,200,160,64,always_search,0.026178144728110055,0.024122919352835743,0.028289264145750715,0.0010537701877925694,0.405625,8,16000,8,0.00784225633186729,0.04451403312435282,0.007754250335499147,0.011823483786458054,0.015625,0.007384569951992319,0.04491052798982595,0.01229622933538524,0.040113238064665345,,,False,env_mean_t
capp,200,200,64,always_search,0.19668613213927527,0.19376850600422157,0.19964386308686236,0.0015011687737617654,0.147375,8,16000,8,0.129971438702716,0.26340082557583455,0.028213655252677466,0.00021702634198555507,0.0078125,0.14567755677106645,0.3633051161184623,0.15012733103539722,0.25294306314061393,,,False,env_mean_t
capp,200,32,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,48,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,96,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,128,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,160,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,200,64,cp0,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,32,64,fixed_K_star,0.008568255471342127,0.006914630658083479,0.010231540181442325,0.0008381659750609219,0.48334375,8,16000,8,-0.005734803870113546,0.022871314812797798,0.006048766239211703,0.1995484650426591,0.265625,-0.0018496192705776942,0.04872251095505873,-0.001100141014161636,0.020482867886588794,,,False,env_mean_t
capp,200,48,64,fixed_K_star,0.001587329161047819,0.0003001582228356708,0.0028547140204049346,0.000660241832379447,0.503,8,16000,8,-0.0037183204598291004,0.006892978781924738,0.0022437601311511095,0.5021584356501232,0.5,-0.002694595941388491,0.011090862862098073,-0.002194474116986384,0.005906543654099367,,,False,env_mean_t
capp,200,96,64,fixed_K_star,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,128,64,fixed_K_star,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,160,64,fixed_K_star,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,200,64,fixed_K_star,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,200,32,64,level_star,0.009706067927458208,0.008089142413995068,0.011357461052106733,0.0008354730760837272,0.47846875,8,16000,8,-0.003802802817333197,0.023214938672249615,0.005712903745993463,0.1331275340058848,0.1015625,3.7555088728762065e-05,0.06903517368350072,0.0006173191897541982,0.021156654765845804,,,False,env_mean_t
capp,200,48,64,level_star,0.0022819192695169477,0.000982988706728793,0.003587430609348303,0.0006605075393364951,0.49740625,8,16000,8,-0.0025143539714901565,0.007078192510524052,0.002028344773076056,0.2976731195778139,0.3671875,-0.0015357190132048544,0.012154697920615205,-0.0010736095291929814,0.006292206386424368,,,False,env_mean_t
