level,split,env_id,family,horizon,cap,base_seed,K,n_envs,n_episodes,regret,regret_se,regret_disc,regret_sel,k_final,search_frac,k_star,is_argmin
env,val,beta_good_common,A,50,64,5001000,4,1,2000,0.1212188158929348,0.0020934728648654382,0.09868735560774804,0.022531460285186766,4.0,0.04166666666666666,12,False
env,val,beta_good_common,A,50,64,5001000,6,1,2000,0.10364199955761433,0.0019238443001049336,0.07254457414150238,0.031097425416111945,6.0,0.08333333333333331,12,False
env,val,beta_good_common,A,50,64,5001000,8,1,2000,0.09461859734356404,0.0018572422649983126,0.056702530682086943,0.03791606666147709,8.0,0.125,12,False
env,val,beta_good_common,A,50,64,5001000,10,1,2000,0.09198188146948814,0.001819198317427731,0.04675529369711876,0.04522658777236938,10.0,0.16666666666666663,12,False
env,val,beta_good_common,A,50,64,5001000,12,1,2000,0.08880281415581703,0.0017827048372398395,0.03894427379965782,0.04985854035615921,12.0,0.20833333333333337,12,True
env,val,beta_good_common,A,50,64,5001000,14,1,2000,0.09152751177549362,0.0018064231282824389,0.0330944909453392,0.05843302083015442,14.0,0.25,12,False
env,val,beta_good_common,A,50,64,5001000,16,1,2000,0.0916176788508892,0.001812340306546234,0.02885907506942749,0.06275860378146171,16.0,0.2916666666666667,12,False
env,val,beta_good_common,A,50,64,5001000,18,1,2000,0.09350284872949123,0.001874191972228698,0.02481166386604309,0.06869118486344815,18.0,0.33333333333333326,12,False
env,val,beta_good_common,A,50,64,5001000,20,1,2000,0.09597090923786164,0.0019255499090720207,0.02176810085773468,0.07420280838012695,20.0,0.375,12,False
env,val,beta_good_common,A,50,64,5001000,24,1,2000,0.09952438816428184,0.0019695520644676385,0.016340314656496047,0.0831840735077858,24.0,0.4583333333333332,12,False
env,val,beta_good_common,A,50,64,5001000,28,1,2000,0.10621078450977803,0.0020205017632211,0.012525271773338318,0.0936855127364397,28.0,0.5416666666666667,12,False
env,val,beta_good_common,A,50,64,5001000,32,1,2000,0.11829180280864239,0.0021897594926016907,0.009112603843212127,0.10917919896543025,32.0,0.625,12,False
env,val,beta_good_common,A,50,64,5001000,36,1,2000,0.12695337015390395,0.0023027009652399947,0.006625248342752457,0.1203281218111515,36.0,0.7083333333333334,12,False
env,val,beta_good_common,A,50,64,5001000,40,1,2000,0.14093047672510148,0.0024829551625492165,0.004262636184692383,0.1366678405404091,40.0,0.7916666666666665,12,False
env,val,beta_good_common,A,50,64,5001000,48,1,2000,0.18960068232566119,0.0029963685638197224,0.0007359300553798676,0.18886475227028132,48.0,0.9583333333333336,12,False
env,val,beta_good_common,A,100,64,5004000,4,1,2000,0.12478733430802823,0.0020063305637275076,0.11141007897257806,0.013377255335450172,4.0,0.02040816326530612,20,False
env,val,beta_good_common,A,100,64,5004000,6,1,2000,0.10096240854263305,0.0017455804362238544,0.08353579065203667,0.01742661789059639,6.0,0.04081632653061224,20,False
env,val,beta_good_common,A,100,64,5004000,8,1,2000,0.08927790784835815,0.0016348560812464701,0.06829349169135093,0.02098441615700722,8.0,0.06122448979591836,20,False
