level,split,env_id,family,horizon,cap,base_seed,K,n_envs,n_episodes,regret,regret_se,regret_disc,regret_sel,k_final,search_frac,k_star,is_argmin
env,val,beta_good_common,A,200,32,5006000,4,1,500,0.12457030785083771,0.003581838928999759,0.11779820644855499,0.006772101402282715,4.0,0.0101010101010101,32,False
env,val,beta_good_common,A,200,32,5006000,6,1,500,0.09935769879817963,0.0031040073325598865,0.09048622286319732,0.0088714759349823,6.0,0.0202020202020202,32,False
env,val,beta_good_common,A,200,32,5006000,8,1,500,0.08470529174804688,0.0028501642521467424,0.0731305911540985,0.011574700593948365,8.0,0.030303030303030293,32,False
env,val,beta_good_common,A,200,32,5006000,10,1,500,0.07543286538124085,0.002580952628932839,0.06178195202350616,0.01365091335773468,10.0,0.0404040404040404,32,False
env,val,beta_good_common,A,200,32,5006000,12,1,500,0.06924381363391877,0.0023911452968209666,0.05529692280292511,0.013946890830993652,12.0,0.050505050505050504,32,False
env,val,beta_good_common,A,200,32,5006000,14,1,500,0.0654346477985382,0.0022733011219932897,0.050201371550559995,0.01523327624797821,14.0,0.06060606060606059,32,False
env,val,beta_good_common,A,200,32,5006000,16,1,500,0.06190459179878235,0.0022567244936566367,0.04450901794433594,0.01739557385444641,16.0,0.07070707070707072,32,False
env,val,beta_good_common,A,200,32,5006000,18,1,500,0.05910958230495453,0.0022046321573164084,0.040516069889068605,0.018593512415885926,18.0,0.0808080808080808,32,False
env,val,beta_good_common,A,200,32,5006000,20,1,500,0.05916365718841553,0.0023289454137994615,0.03821031534671784,0.020953341841697695,20.0,0.09090909090909091,32,False
env,val,beta_good_common,A,200,32,5006000,24,1,500,0.05563254916667938,0.0022812046734328596,0.03258968019485474,0.023042868971824646,24.0,0.11111111111111115,32,False
env,val,beta_good_common,A,200,32,5006000,28,1,500,0.05472113680839539,0.002238633434727078,0.029148086071014403,0.025573050737380983,28.0,0.1313131313131313,32,False
env,val,beta_good_common,A,200,32,5006000,32,1,500,0.05224506175518036,0.002110007201403793,0.02630024290084839,0.02594481885433197,32.0,0.15151515151515152,32,True
env,val,beta_good_common,A,1000,32,5012000,4,1,500,0.1295083308815956,0.0033768728412106475,0.12843785947561265,0.0010704714059829711,4.0,0.0020040080160320635,32,False
env,val,beta_good_common,A,1000,32,5012000,6,1,500,0.09937292981147766,0.0027004988844472,0.0974715416431427,0.001901388168334961,6.0,0.004008016032064127,32,False
env,val,beta_good_common,A,1000,32,5012000,8,1,500,0.08377315378189087,0.0022478235773142155,0.08176337087154388,0.0020097829103469847,8.0,0.006012024048096194,32,False
env,val,beta_good_common,A,1000,32,5012000,10,1,500,0.07660120129585266,0.0020956748019644216,0.07444207501411439,0.002159126281738281,10.0,0.008016032064128254,32,False
env,val,beta_good_common,A,1000,32,5012000,12,1,500,0.06840708017349244,0.0018907789387055261,0.06615026247501374,0.002256817698478699,12.0,0.010020040080160319,32,False
env,val,beta_good_common,A,1000,32,5012000,14,1,500,0.06289203488826751,0.0017724236189732938,0.060262479186058045,0.002629555702209473,14.0,0.012024048096192388,32,False
env,val,beta_good_common,A,1000,32,5012000,16,1,500,0.05803930902481079,0.0016036112832820163,0.05572023546695709,0.0023190735578536986,16.0,0.014028056112224454,32,False
env,val,beta_good_common,A,1000,32,5012000,18,1,500,0.05469796586036682,0.001547794957448237,0.052111735343933104,0.002586230516433716,18.0,0.016032064128256508,32,False
env,val,beta_good_common,A,1000,32,5012000,20,1,500,0.05225431251525879,0.001497946817246641,0.049403460025787355,0.0028508524894714357,20.0,0.018036072144288574,32,False
env,val,beta_good_common,A,1000,32,5012000,24,1,500,0.04752533662319183,0.0014077821541273565,0.04426927125453949,0.0032560653686523437,24.0,0.02204408817635271,32,False
env,val,beta_good_common,A,1000,32,5012000,28,1,500,0.04247435224056244,0.0013277246591782241,0.039108657240867616,0.003365694999694824,28.0,0.026052104208416835,32,False
env,val,beta_good_common,A,1000,32,5012000,32,1,500,0.04002037513256073,0.0012595015081378561,0.035995189905166626,0.004025185227394104,32.0,0.030060120240480957,32,True
env,val,beta_mostly_mediocre,A,200,32,5036000,4,1,500,0.19421721869707106,0.00423904364343967,0.18222168600559235,0.01199553269147873,4.0,0.0101010101010101,18,False
env,val,beta_mostly_mediocre,A,200,32,5036000,6,1,500,0.16968012630939483,0.004061222122265332,0.15296034675836562,0.016719779551029205,6.0,0.0202020202020202,18,False
env,val,beta_mostly_mediocre,A,200,32,5036000,8,1,500,0.1566293250322342,0.0037937340639208517,0.13444643646478652,0.022182888567447663,8.0,0.030303030303030293,18,False
env,val,beta_mostly_mediocre,A,200,32,5036000,10,1,500,0.1453966233730316,0.003658374756240773,0.12123036444187164,0.02416625893115997,10.0,0.0404040404040404,18,False
env,val,beta_mostly_mediocre,A,200,32,5036000,12,1,500,0.14165624487400055,0.003761340117631755,0.10981455397605897,0.03184169089794159,12.0,0.050505050505050504,18,False
env,val,beta_mostly_mediocre,A,200,32,5036000,14,1,500,0.13896743029356004,0.0037026971484756346,0.10240594840049744,0.03656148189306259,14.0,0.06060606060606059,18,False
env,val,beta_mostly_mediocre,A,200,32,5036000,16,1,500,0.13291260755062104,0.003676534303093691,0.09512224864959717,0.03779035890102386,16.0,0.07070707070707072,18,False
env,val,beta_mostly_mediocre,A,200,32,5036000,18,1,500,0.13115022265911103,0.0037707299166813784,0.08774996089935302,0.043400261759757995,18.0,0.0808080808080808,18,True
env,val,beta_mostly_mediocre,A,200,32,5036000,20,1,500,0.1321444252729416,0.0038782750884888495,0.08311876916885376,0.04902565610408783,20.0,0.09090909090909091,18,False
env,val,beta_mostly_mediocre,A,200,32,5036000,24,1,500,0.1336211389899254,0.003977044190137016,0.07539264857769012,0.05822849041223526,24.0,0.11111111111111115,18,False
env,val,beta_mostly_mediocre,A,200,32,5036000,28,1,500,0.13500837314128875,0.0042940214455621725,0.06661495971679687,0.06839341342449189,28.0,0.1313131313131313,18,False
env,val,beta_mostly_mediocre,A,200,32,5036000,32,1,500,0.13161227107048035,0.004275881754709876,0.06124058985710144,0.0703716812133789,32.0,0.15151515151515152,18,False
env,val,beta_mostly_mediocre,A,1000,32,5042000,4,1,500,0.2286912458539009,0.0039036266431257804,0.22547890716791152,0.00321233868598938,4.0,0.0020040080160320635,32,False
env,val,beta_mostly_mediocre,A,1000,32,5042000,6,1,500,0.20736656802892686,0.0035956265627715483,0.20214180642366408,0.005224761605262756,6.0,0.004008016032064127,32,False
env,val,beta_mostly_mediocre,A,1000,32,5042000,8,1,500,0.1897058631181717,0.0035046847193261157,0.18283088266849518,0.006874980449676514,8.0,0.006012024048096194,32,False
