level,split,env_id,horizon,cap,base_seed,alpha,c,b,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,50,64,5001000,0.5,3.0,0.0,1,2000,0.098389080286026,0.0019430792092283878,22.0,0.41666666666666674,False
env,val,beta_good_common,50,64,5001000,0.5,4.0,0.0,1,2000,0.10834444585442543,0.0020565559420318846,29.0,0.5625,False
env,val,beta_good_common,50,64,5001000,0.5,3.0,2.0,1,2000,0.09450939260423183,0.0019123903171522252,19.262,0.359625,False
env,val,beta_good_common,50,64,5001000,0.5,3.0,8.0,1,2000,0.08737678600847722,0.0017964462695488248,13.5805,0.24126041666666664,False
env,val,beta_good_common,50,64,5001000,0.5,3.0,6.0,1,2000,0.0907184422314167,0.0018581978734742623,15.336,0.2778333333333334,False
env,val,beta_good_common,50,64,5001000,0.5,3.0,4.0,1,2000,0.09227513580024242,0.0018591563919783064,17.243,0.3175625,False
env,val,beta_good_common,50,64,5001000,0.5,4.0,2.0,1,2000,0.10028724151849747,0.001957918970501141,25.3765,0.48701041666666667,False
env,val,beta_good_common,50,64,5001000,0.5,4.0,4.0,1,2000,0.09757161271572114,0.0019364088497242,22.5195,0.42748958333333337,False
env,val,beta_good_common,50,64,5001000,0.5,4.0,6.0,1,2000,0.0939632381349802,0.0018673621077532553,19.9195,0.3733229166666666,False
env,val,beta_good_common,50,64,5001000,0.5,6.0,0.0,1,2000,0.15254334343969822,0.0025620961648164836,43.0,0.8541666666666665,False
env,val,beta_good_common,50,64,5001000,0.5,4.0,8.0,1,2000,0.09233675326406955,0.001847603506895532,17.611,0.3252291666666666,False
env,val,beta_good_common,50,64,5001000,0.5,6.0,2.0,1,2000,0.13052838376164436,0.0023785637823798634,37.5635,0.74090625,False
env,val,beta_good_common,50,64,5001000,0.5,6.0,4.0,1,2000,0.12040332095324993,0.0022164884479862904,32.916,0.6440833333333332,False
env,val,beta_good_common,50,64,5001000,0.75,1.0,0.0,1,2000,0.09370254738628864,0.0018471033919935606,19.0,0.3541666666666667,False
env,val,beta_good_common,50,64,5001000,0.5,6.0,6.0,1,2000,0.11145213612914086,0.0021351872219832484,28.9955,0.56240625,False
