level,split,env_id,horizon,cap,base_seed,alpha,c,b,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,1000,1000,5014000,0.5,3.0,0.0,1,500,0.026264169931411743,0.0010193737890666493,95.0,0.09318637274549096,False
env,val,beta_good_common,1000,1000,5014000,0.5,4.0,0.0,1,500,0.025921459317207338,0.0011324297081043452,127.0,0.125250501002004,False
env,val,beta_good_common,1000,1000,5014000,0.5,6.0,0.0,1,500,0.026055540800094604,0.0011444565328677374,190.0,0.18837675350701402,False
env,val,beta_good_common,1000,1000,5014000,0.5,3.0,2.0,1,500,0.027962871074676515,0.0010646042931239483,83.596,0.08175951903807616,False
env,val,beta_good_common,1000,1000,5014000,0.5,3.0,4.0,1,500,0.028213922262191774,0.0010211620054866102,73.332,0.07147494989979959,False
env,val,beta_good_common,1000,1000,5014000,0.5,3.0,6.0,1,500,0.029490128874778747,0.0010772895700512178,64.52,0.06264529058116233,False
env,val,beta_good_common,1000,1000,5014000,0.5,4.0,2.0,1,500,0.026434208631515504,0.00110997341981353,111.048,0.10926653306613225,False
env,val,beta_good_common,1000,1000,5014000,0.5,3.0,8.0,1,500,0.030757103562355042,0.0010612174135331527,57.02,0.05513026052104209,False
env,val,beta_good_common,1000,1000,5014000,0.5,4.0,4.0,1,500,0.026215261220932005,0.0010551135301934001,97.356,0.09554709418837676,False
env,val,beta_good_common,1000,1000,5014000,0.5,4.0,6.0,1,500,0.0268714656829834,0.0010359368355711972,85.426,0.08359318637274549,False
env,val,beta_good_common,1000,1000,5014000,0.5,4.0,8.0,1,500,0.02909021532535553,0.0010622427934914957,74.798,0.07294388777555111,False
env,val,beta_good_common,1000,1000,5014000,0.5,6.0,2.0,1,500,0.02467975068092346,0.0010890162921281708,165.962,0.16429058116232464,False
env,val,beta_good_common,1000,1000,5014000,0.5,8.0,0.0,1,500,0.02886457931995392,0.0012576529336997086,253.0,0.2515030060120241,False
env,val,beta_good_common,1000,1000,5014000,0.75,1.0,0.0,1,500,0.024882683873176575,0.0010739861080296521,178.0,0.17635270541082168,False
env,val,beta_good_common,1000,1000,5014000,0.5,6.0,4.0,1,500,0.02452509355545044,0.001070903110192604,144.796,0.1430821643286573,False
env,val,beta_good_common,1000,1000,5014000,0.5,6.0,6.0,1,500,0.025309665083885192,0.0010994201870090487,126.454,0.12470340681362724,False
env,val,beta_good_common,1000,1000,5014000,0.5,6.0,8.0,1,500,0.02680517041683197,0.0010808187495436215,110.774,0.10899198396793587,False
env,val,beta_good_common,1000,1000,5014000,0.5,8.0,2.0,1,500,0.02815864086151123,0.0012080399315895476,220.918,0.2193567134268537,False
