test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned
A,empirical,family_horizon,A,50,,,,,always_search,baseline,4,4,8000,4,True,True,0.2485155931076624,0.24507206175476312,0.2519003261812031,0.0017259678675226404,0.4463966514041058,0.0,0.2485155931076624,50.0,1.0,1.0,50.0,0.02000000000000001,0.0,,,0.6949122445117683,0.6949122445117683,0.6949122445117683,0.0,0.055539325004136116,0.05131679022451863,0.059731084143277255,0.0021343628232562807,0.37525,0.01951294691799194,0.0915657030902803,4,False,True,0,0.08989734607664286,0.08574084937572479,0.0940625098068267,0.002122290194291008,0.32443750000000005,0.05546049770407262,0.11935318888217444,4,False,True,0
A,empirical,family_horizon,A,50,,,,,cp0,reference,4,4,8000,4,True,True,0.1929762681035263,0.18992636017501355,0.19603902515955268,0.001546928060170662,0.5019359764082418,0.15542827374837362,0.0375479943551527,6.0,0.08333333333333331,12.626750000000001,0.133125,0.207555,0.013625,,,0.6949122445117683,0.6949122445117683,0.5394839707633946,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,False,True,0,0.034358021072506746,0.030667873400670943,0.03798172390597756,0.0018394065050077813,0.4430625,0.0033126485534012316,0.0829930092108134,4,False,True,0
A,empirical,family_horizon,A,50,,,,,fixed_K16,baseline,4,4,8000,4,True,True,0.15657099414312142,0.15361515562981368,0.1595282543450594,0.0014851704947367293,0.5383412503686468,0.07311713118012994,0.08345386296299148,16.0,0.2916666666666667,6.584250000000001,3.48325,0.092775,0.0,,,0.6949122445117683,0.6949122445117683,0.6217951133316383,0.0,-0.03640527396040488,-0.03979056968237273,-0.03302807562868111,0.0016935801625954682,0.56325,-0.07683074888871125,-0.013035802870988846,4,False,True,0,-0.0020472528878981394,-0.004606008219343492,0.0004995699018763843,0.001291353268661059,0.508125,-0.011149336114631297,0.006591790540345756,4,False,True,0
A,empirical,family_horizon,A,50,,,,,p3_star,reference,4,4,8000,4,True,True,0.15861824703101957,0.1557405604980886,0.16152353482320905,0.0014968372569070932,0.5362939974807487,0.054684982635080814,0.10393326439593875,21.0,0.39583333333333326,5.256625,6.307874999999999,0.0714926,0.0,,,0.6949122445117683,0.6949122445117683,0.6402272618766873,0.0,-0.034358021072506746,-0.03798172390597756,-0.030667873400670943,0.0018394065050077813,0.5569375,-0.0829930092108134,-0.0033126485534012316,4,False,True,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k1,learned,4,4,8000,4,True,True,0.1471647398595196,0.144409933546558,0.15001321309246124,0.0014421618116773882,0.5477475046522486,0.034359679440036414,0.1128050604194832,25.63275,0.49234895833333336,5.493375,15.809750000000001,0.07392040000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6605525650717318,0.0,-0.045811528244006694,-0.04956664615310728,-0.04196370932040736,0.0019125542622526492,0.5726249999999999,-0.10664408222337261,-0.01133310589939356,4,False,True,0,-0.011453507171499951,-0.014263330898756976,-0.008671391643656535,0.001437095279376014,0.5203125,-0.02365107301255921,-0.0017019599244667916,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16,learned,4,4,8000,4,True,True,0.16420401986041908,0.1612655706703663,0.16719881896860897,0.0015341134560303365,0.5307082246513491,0.03292927322536707,0.13127474663505198,26.606,0.5126249999999999,5.075125,17.17,0.0705718,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6619829712864012,0.0,-0.028772248243107243,-0.032610682505764994,-0.02486262799357064,0.0019762971752827164,0.5456875,-0.06648823025076309,-0.008933578508414938,4,False,True,0,0.0055857728293995015,0.0023688588065851946,0.008850126244760757,0.0016770888794265576,0.49024999999999996,-0.00597274799272418,0.017144293651523184,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_all71,learned,4,4,8000,4,True,True,0.16446183404983822,0.161496392916888,0.1674885567743331,0.0015376548469744054,0.53045041046193,0.032753079442307355,0.13170875460753087,26.65,0.5135416666666666,5.062374999999999,17.232625,0.0704745,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6621591650694608,0.0,-0.02851443405368809,-0.03238727590651251,-0.024593177530914546,0.001985351814740761,0.545125,-0.06551391206773587,-0.009111910191804781,4,False,True,0,0.005843587018818653,0.0025930810474164906,0.009141920114416278,0.0016860098715440034,0.4899375,-0.006084121137857437,0.018001704445370706,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_clock,learned,4,4,8000,4,True,True,0.16403024551552514,0.16111295130103825,0.16692270608618856,0.0014964815914245318,0.5308819989962431,0.023006441174075007,0.14102380434145018,34.0,0.6666666666666665,3.740125,25.325875,0.0435747,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6719058033376932,0.0,-0.028946022588001143,-0.03286078227101825,-0.025040566094685347,0.0019793021176302793,0.5305,-0.09927879100335303,0.02241795942932367,4,False,True,0,0.005411998484505603,0.0022757319080483284,0.008549075602059019,0.001606040390158636,0.474,-0.016285781792539637,0.025730607982724904,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_cs,learned,4,4,8000,4,True,True,0.16420658846670633,0.16126793627627195,0.16720390333794058,0.001534134979523221,0.5307056560450619,0.03291072650253773,0.13129586196416856,26.608,0.5126666666666666,5.0745000000000005,17.172625,0.07056720000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6620015180092305,0.0,-0.02876967963682,-0.032608113918104205,-0.024861536285607146,0.0019763146431152406,0.5456875,-0.06648052443190136,-0.008933578508414938,4,False,True,0,0.005588341435686744,0.0023738966930977774,0.008850949261977801,0.0016770825360790437,0.49018749999999994,-0.00597274799272418,0.01714943086409767,4,False,True,0
A,empirical,family_horizon,A,50,,,,,phi_k16_famA_only,learned,4,4,8000,4,True,True,0.15128019412467986,0.1484827933833003,0.15414423909969627,0.0014436461302176603,0.5436320503870884,0.05151998895592987,0.09976020516874996,21.024,0.39633333333333326,5.9327499999999995,8.71025,0.07967120000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6433922555558385,0.0,-0.04169607397884647,-0.045259133650688455,-0.038075805897824465,0.00181943270743429,0.56825,-0.09262875496405651,-0.011680249713361263,4,False,True,0,-0.007338052906339725,-0.009850768791511654,-0.004846461190754781,0.0012852088470889542,0.5138125,-0.011478581926901824,-0.0031975238857776273,4,False,True,0
