test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned
A,posterior_mean_shrunk,family_horizon,A,50,,,,,always_search,baseline,4,4,8000,4,True,True,0.2485155931076624,0.24507206175476312,0.2519003261812031,0.0017259678675226404,0.4463966514041058,0.0,0.2485155931076624,50.0,1.0,1.0,50.0,0.02000000000000001,0.0,,,0.6949122445117683,0.6949122445117683,0.6949122445117683,0.0,0.05548804162225679,0.05125752313178964,0.05967400913941674,0.002133073252188456,0.375,0.01951294691799194,0.09146313632652164,4,False,True,0,0.09389673683381988,0.08974057901650667,0.09802767829969525,0.0021061385908642217,0.3138125,0.058623534054699125,0.12436164349911269,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,cp0,reference,4,4,8000,4,True,True,0.19302755148540562,0.18999453536234795,0.19610211518593132,0.0015460538511752222,0.5018846930263625,0.15542827374837362,0.03759927773703202,6.0,0.08333333333333331,12.63975,0.133125,0.207555,0.013625,,,0.6949122445117683,0.6949122445117683,0.5394839707633946,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,False,True,0,0.0384086952115631,0.03478383441979531,0.0419656427053269,0.0018059348229849492,0.4365625,0.011182328570634127,0.08404917050177937,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,fixed_K16,baseline,4,4,8000,4,True,True,0.15520710809224147,0.15226947590708734,0.15814905585721134,0.0014767641986402126,0.5397051364195268,0.07311713118012994,0.08208997691211153,16.0,0.2916666666666667,6.678999999999999,3.48325,0.092775,0.0,,,0.6949122445117683,0.6949122445117683,0.6217951133316383,0.0,-0.03782044339316417,-0.04118096972815692,-0.03447292341152206,0.0016836775456893541,0.5674999999999999,-0.07825399834946802,-0.01472132371904445,4,False,True,0,0.0005882518183989304,-0.0018438188119034742,0.0030459960762527767,0.0012369989791847628,0.5008125,-0.005841597738315614,0.007507716187477854,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,p3_star,reference,4,4,8000,4,True,True,0.15461885627384253,0.15177249647676944,0.1574825101532042,0.0014674005312945273,0.5402933882379257,0.054684982635080814,0.09993387363876173,21.0,0.39583333333333326,5.5665,6.307874999999999,0.0714926,0.0,,,0.6949122445117683,0.6949122445117683,0.6402272618766873,0.0,-0.0384086952115631,-0.0419656427053269,-0.03478383441979531,0.0018059348229849492,0.5634375,-0.08404917050177937,-0.011182328570634127,4,False,True,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k1,learned,4,4,8000,4,True,True,0.14329807291482213,0.14057890246622265,0.14610836496576668,0.0014110049594877174,0.551614171596946,0.034359679440036414,0.1089383934747857,25.63275,0.49234895833333336,5.743375,15.809750000000001,0.07392040000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6605525650717318,0.0,-0.04972947857058352,-0.05344050772255286,-0.04594978628447279,0.0018850684319614169,0.5836250000000001,-0.10900208879479215,-0.01862092250585556,4,False,True,0,-0.011320783359020425,-0.01396990548382746,-0.008659367287327772,0.0013639112307028717,0.5193125000000001,-0.024446922505332626,-0.0020768336365072173,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16,learned,4,4,8000,4,True,True,0.1502596689408201,0.14752129572443665,0.15306981848552823,0.0014284286407352756,0.544652575570948,0.03292927322536707,0.11733039571545305,26.606,0.5126249999999999,5.467,17.17,0.0705718,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6619829712864012,0.0,-0.042767882544585516,-0.04640988189494237,-0.039086646743817254,0.0018602361697656127,0.57125,-0.09707042435866788,-0.01339721090867897,4,False,True,0,-0.004359187333022419,-0.006925576486992213,-0.001825965101306793,0.0013205628759112244,0.5020625,-0.01173371168138692,0.0018986290312750496,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_all71,learned,4,4,8000,4,True,True,0.15008496622662276,0.1473422986920923,0.15289356056600809,0.0014269717997960293,0.5448272782851454,0.032753079442307355,0.11733188678431544,26.65,0.5135416666666666,5.460875,17.232625,0.0704745,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6621591650694608,0.0,-0.042942585258782855,-0.04657760451664217,-0.03925747346947901,0.0018608172476855234,0.57175,-0.09733872961004271,-0.01361483179274728,4,False,True,0,-0.004533890047219756,-0.007086499438992177,-0.0020187866277410656,0.001322292838417653,0.50275,-0.012068193559593054,0.0017280937704636018,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_clock,learned,4,4,8000,4,True,True,0.15701708787028473,0.15419179550372064,0.15979798384942115,0.0014588514862761883,0.5378951566414836,0.023006441174075007,0.13401064669620974,34.0,0.6666666666666665,4.036875,25.325875,0.0435747,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6719058033376932,0.0,-0.03601046361512089,-0.03978836447386129,-0.03222420304955449,0.0019388709019697676,0.5465625000000001,-0.10186513905455831,0.008617490760982036,4,False,True,0,0.0023982315964421992,-0.0006331808464892655,0.005402849792153574,0.0015445022945734662,0.48043749999999996,-0.017815968552778942,0.01979981933161616,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_cs,learned,4,4,8000,4,True,True,0.1502596689408201,0.14752129572443665,0.15306981848552823,0.0014284286407352756,0.544652575570948,0.03291072650253773,0.1173489424382824,26.608,0.5126666666666666,5.4665,17.172625,0.07056720000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6620015180092305,0.0,-0.042767882544585516,-0.04640988189494237,-0.039086646743817254,0.0018602361697656127,0.57125,-0.09707042435866788,-0.01339721090867897,4,False,True,0,-0.004359187333022419,-0.006925576486992213,-0.001825965101306793,0.0013205628759112244,0.5020625,-0.01173371168138692,0.0018986290312750496,4,False,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,phi_k16_famA_only,learned,4,4,8000,4,True,True,0.14900384147372825,0.14615884348750113,0.15186338149942458,0.0014283606597277078,0.54590840303804,0.05151998895592987,0.09748385251779837,21.024,0.39633333333333326,6.051125,8.71025,0.07967120000000001,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6433922555558385,0.0,-0.044023710011677396,-0.04760131972143426,-0.04047780410037376,0.0018027067371753276,0.5740000000000001,-0.09483395274444956,-0.015024802312254906,4,False,True,0,-0.005615014800114296,-0.007983775589673314,-0.003281962837854736,0.0012122979288940782,0.507625,-0.00999234122260168,-0.0021040069790542477,4,False,True,0
