test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,stratum_empty_common_support,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_cluster_se,d_regret_vs_cp0_cluster_p,d_regret_vs_cp0_cluster_p_sign,d_regret_vs_cp0_cluster_boot_t_lo,d_regret_vs_cp0_cluster_boot_t_hi,d_regret_vs_cp0_cluster_pct_lo,d_regret_vs_cp0_cluster_pct_hi,d_regret_vs_cp0_cluster_min_env,d_regret_vs_cp0_cluster_max_env,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_cluster_method,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_cluster_se,d_regret_vs_p3_star_cluster_p,d_regret_vs_p3_star_cluster_p_sign,d_regret_vs_p3_star_cluster_boot_t_lo,d_regret_vs_p3_star_cluster_boot_t_hi,d_regret_vs_p3_star_cluster_pct_lo,d_regret_vs_p3_star_cluster_pct_hi,d_regret_vs_p3_star_cluster_min_env,d_regret_vs_p3_star_cluster_max_env,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_cluster_method,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,always_search,baseline,False,4,4,8000,4,True,True,0.12952401967626065,0.12708179058972746,0.13194122505374253,0.001230866316594812,0.6324634884307161,0.05312722467817366,0.07639679499808699,64.0,0.31313131313131315,13.7025,17.532375000000002,0.03162238750000001,0.002125,,64.0,0.7619875081069767,0.7088602834288031,0.7088602834288031,1.0,-0.04618839930160903,-0.049221402371767906,-0.04319270862033591,0.0015443458919053759,0.5995625,4,-0.138800712285008,0.04642391368178996,0.029100982106010052,0.2106694912742684,0.125,-2.56795982669865,0.007225953081972027,-0.10176070159580561,-0.010107459239661692,,,False,env_mean_t,True,0,0.0,0.0,0.0,0.0,0.5,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,cp0,reference,False,4,4,8000,4,True,True,0.17571241897786968,0.1732024135068059,0.17827880941331387,0.0013039567890032549,0.5862750891291071,0.1503674700120464,0.025344948965823278,13.9845,0.06052777777777775,37.791124999999994,0.4235,0.12620083125,0.323875,,,0.7619875081069767,0.7088602834288031,0.6116200380949304,0.0,0.0,0.0,0.0,0.0,0.5,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,0,0.04618839930160903,0.04319270862033591,0.049221402371767906,0.0015443458919053759,0.4004375,4,-0.04642391368178996,0.138800712285008,0.029100982106010052,0.2106694912742684,0.125,-0.0072259530819720474,2.56795982669865,0.010107459239661692,0.10176070159580561,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,p3_star,reference,False,4,4,8000,4,True,True,0.12952401967626065,0.12708179058972746,0.13194122505374253,0.001230866316594812,0.6324634884307161,0.05312722467817366,0.07639679499808699,64.0,0.31313131313131315,13.7025,17.532375000000002,0.03162238750000001,0.002125,,70.0,0.7619875081069767,0.7088602834288031,0.7088602834288031,1.0,-0.04618839930160903,-0.049221402371767906,-0.04319270862033591,0.0015443458919053759,0.5995625,4,-0.138800712285008,0.04642391368178996,0.029100982106010052,0.2106694912742684,0.125,-2.56795982669865,0.0072259530819720474,-0.10176070159580561,-0.010107459239661692,,,False,env_mean_t,True,0,0.0,0.0,0.0,0.0,0.5,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,phi_k16,learned,False,4,4,8000,4,True,True,0.12921232543792577,0.12680440568365156,0.1316187048330903,0.0012188979140821152,0.632775182669051,0.0632658978048712,0.06594642763305456,47.76575,0.23114015151515155,19.75725,3.493,0.056069625000000005,0.002875,49.228750000000005,100.2221661841163,0.7619875081069767,0.7088602834288031,0.6987216103021056,0.515125,-0.046500093539943915,-0.049525669933063905,-0.04359768628200982,0.001493048050138588,0.602375,4,-0.1387990525782918,0.04579886549840398,0.02900251887521466,0.2071972467255657,0.125,-1.2331891839810467,0.007463618248544079,-0.10218016530107707,-0.010696965649724006,,,False,env_mean_t,True,0,-0.0003116942383348942,-0.001504479836376049,0.0008954445786002905,0.0006221090707373279,0.500375,4,-0.003640404083286537,0.003017015606616748,0.0010459594681692188,0.7851507594338853,0.75,-0.016418187408744525,0.0024083501444206313,-0.002340782627463341,0.0014395819790661334,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,phi_k16_clock,learned,False,4,4,8000,4,True,True,0.13160549276694655,0.12917534448206425,0.13409170743543655,0.00124011767699615,0.6303820153400302,0.0660726024042815,0.06553289036266506,50.0,0.24242424242424232,16.215625,9.74625,0.0393624625,0.032125,0.0,,0.7619875081069767,0.7088602834288031,0.6959149057026952,0.0,-0.04410692621092312,-0.04708915216615424,-0.04119890118017793,0.0014849135989665398,0.60325,4,-0.12622469620526372,0.0380108437834175,0.02580334815327544,0.18591733922921544,0.125,-1.3716215033229286,0.0027857119791394047,-0.09287757337931543,-0.011108999468386173,,,False,env_mean_t,True,0,0.002081473090685904,0.00010400467708677757,0.004035639001813251,0.0010058292334092056,0.5052500000000001,4,-0.009139214005512741,0.013302160186884548,0.003525805628698061,0.5964734671641445,0.875,-0.004481285915934583,0.058386526900914636,-0.0025385895017534495,0.008743766156025231,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,phi_k16_cs,learned,False,4,4,8000,4,True,True,0.12924707757961007,0.12682849778793753,0.13164737506303936,0.001219608293056262,0.6327404305273666,0.0632823476139456,0.06596472996566445,47.72425,0.23093055555555558,19.776374999999998,3.456125,0.05615982500000001,0.003,49.385999999999996,100.35470554132542,0.7619875081069767,0.7088602834288031,0.6987051604930311,0.514875,-0.04646534139825963,-0.049487194383982566,-0.04357066759839654,0.00149350198187293,0.6025,4,-0.13881228024029488,0.045881597443775624,0.029017595265854058,0.20763068497889975,0.125,-1.182433580748224,0.0075653290716087215,-0.10218204202037305,-0.01062746136635542,,,False,env_mean_t,True,0,-0.00027694209665060036,-0.0014694145376779482,0.0009313758526332093,0.0006232939804164611,0.5005,4,-0.0036956233132980926,0.003141739119996892,0.0010742306039764353,0.8132305503431464,0.75,-0.014615143437905667,0.0025653822740397546,-0.002346412785351276,0.0015494685620069506,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,phi_k16_noT1000,learned,False,4,4,8000,4,True,True,0.12772028048243375,0.12528669398743658,0.1301055936841294,0.0012158229652674297,0.6342672276245429,0.05856406181491912,0.06915621866751462,52.833,0.25673232323232326,17.546125,7.966500000000001,0.04693016875000001,0.002125,61.236999999999995,95.40339942252166,0.7619875081069767,0.7088602834288031,0.7034234462920577,0.6305,-0.04799213849543594,-0.05102181714610197,-0.04504765468882397,0.0015126588296944562,0.6095,4,-0.13827712819191446,0.042292851201042585,0.028369682010528006,0.18928688466138227,0.125,-1.2955594703836184,0.005294819971660078,-0.10283782739471645,-0.01371493762731552,,,False,env_mean_t,True,0,-0.0018037391938269137,-0.002760150875838008,-0.0008157913107424976,0.000497606857457156,0.506625,4,-0.006307722315782848,0.002700243928129021,0.0014152581661717666,0.29224820367666204,0.5,-0.008492647199925285,0.0007273327934770777,-0.004466238208115101,0.0,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,phi_k16_noT200,learned,False,4,4,8000,4,True,True,0.12813755444344135,0.1256988627370447,0.13052549960557372,0.0012155332743964042,0.6338499536635354,0.060343252690508956,0.06779430175293237,50.97625,0.24735479797979798,18.610875,6.728375,0.051611925,0.002125,57.76625,91.32939559983396,0.7619875081069767,0.7088602834288031,0.7016442554164678,0.601125,-0.04757486453442834,-0.05061637674807571,-0.04467395240208134,0.0015021361713339378,0.6062500000000001,4,-0.13837748750143714,0.04322775843258046,0.028532334643400672,0.1940257262970218,0.125,-3.665481204385817,0.005161852275861731,-0.10238386122416707,-0.012880389705300331,,,False,env_mean_t,True,0,-0.0013864652328193189,-0.002403106936253607,-0.00035839750926243175,0.0005298045282705695,0.50525,4,-0.004491333858062123,0.001718403392423486,0.0009756232556344774,0.25039827683392896,0.5,-0.004257086314114437,0.00032844317432673717,-0.0031043396964669226,0.0,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,phi_sf_k16,learned,False,4,4,8000,4,True,True,0.1281273133037612,0.12573293547611683,0.13050345198716967,0.0012235911415239208,0.6338601948032156,0.054962238507345315,0.07316507479641586,58.98525,0.28780429292929294,14.69325,12.41075,0.0353394625,0.002125,67.61625,81.7629463781563,0.7619875081069767,0.7088602834288031,0.7070252695996314,0.74475,-0.047585105674108494,-0.0506358981016092,-0.04458459815068636,0.0015315753988950072,0.60875,4,-0.13837965522182782,0.04320944387361085,0.028529797783854588,0.19392531609208621,0.125,-2.1691047713940073,0.0054106281163864706,-0.10248336357902735,-0.012900871984660625,,,False,env_mean_t,True,0,-0.001396706372499466,-0.0020535360232315724,-0.0007606402105011513,0.00032474599071943117,0.5065,4,-0.0048199013571649345,0.002026488612166003,0.0010756489367886755,0.2849257096881158,0.5,-0.0060460103529902005,0.0005057326094954763,-0.0034028467610478404,0.0,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,phi_sf_k16_noT1000,learned,False,4,4,8000,4,True,True,0.12888908259849996,0.126464113779366,0.1312775953207165,0.0012196821640290327,0.6330984255084768,0.061578053319826714,0.06731102927867323,49.49875,0.23989267676767678,18.953875,4.9517500000000005,0.052741706250000006,0.0022500000000000003,46.25875,98.98641154936892,0.7619875081069767,0.7088602834288031,0.70040945478715,0.548625,-0.04682333637936972,-0.04985818703426048,-0.043944478395860645,0.001502362832597459,0.60475,4,-0.13863531336855212,0.04498864060981268,0.02884949758201736,0.20304270182417947,0.125,-1.0322336970096875,0.007210093129194746,-0.102376471134834,-0.011377333395183086,,,False,env_mean_t,True,0,-0.0006349370777606965,-0.0017659527376963522,0.0005110428610350933,0.0005807558711896247,0.5020625000000001,4,-0.004504391680037338,0.0032345175245159456,0.0012158742775494177,0.6376346301196704,1.0,-0.006249685116319337,0.002261263409073738,-0.003082169428467751,0.0011773581951856613,,,False,env_mean_t,True,0
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,refine_after_init,baseline,False,4,4,8000,4,True,True,0.21026513745973352,0.20760128451511264,0.21292103799059986,0.0013847123662257671,0.5517223706472432,0.1950767947207205,0.015188342739013025,8.0,0.03030303030303029,57.03525,0.116875,0.2176834,0.2985,,,0.7619875081069767,0.7088602834288031,0.5669107133862562,0.0,0.03455271848186385,0.0324812165403273,0.03665738607523963,0.0010684630511454075,0.4045,4,-0.008588802032327612,0.07769423899605532,0.013556087479799757,0.08402566387042044,0.125,0.009582494455039864,1.0536282604294642,0.017807373069226744,0.06048950789507944,,,False,env_mean_t,True,0,0.08074111778347287,0.07753479968523606,0.08398518193280324,0.0016572406372553053,0.3275,4,-0.055012464902318786,0.21649470046926453,0.042656990774802575,0.15472643063265473,0.125,0.0023567841324844963,3.606722134918626,0.027914832308888436,0.16225020949088503,,,False,env_mean_t,True,0
