test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,stratum_empty_common_support,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_cluster_se,d_regret_vs_cp0_cluster_p,d_regret_vs_cp0_cluster_p_sign,d_regret_vs_cp0_cluster_boot_t_lo,d_regret_vs_cp0_cluster_boot_t_hi,d_regret_vs_cp0_cluster_pct_lo,d_regret_vs_cp0_cluster_pct_hi,d_regret_vs_cp0_cluster_min_env,d_regret_vs_cp0_cluster_max_env,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_cluster_method,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_cluster_se,d_regret_vs_p3_star_cluster_p,d_regret_vs_p3_star_cluster_p_sign,d_regret_vs_p3_star_cluster_boot_t_lo,d_regret_vs_p3_star_cluster_boot_t_hi,d_regret_vs_p3_star_cluster_pct_lo,d_regret_vs_p3_star_cluster_pct_hi,d_regret_vs_p3_star_cluster_min_env,d_regret_vs_p3_star_cluster_max_env,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_cluster_method,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned
robust,posterior_mean_shrunk,family_horizon,A,50,,,all,,adaptive_K_star,baseline,False,6,6,3000,6,True,True,0.14486971362987727,0.14026813718179862,0.14949366406848033,0.0023863570915327124,0.5948517574065967,0.05746029165387154,0.08740942197600572,19.0,0.3541666666666667,6.571666666666665,5.978999999999999,0.08508693333333332,0.0,,,0.739721471036474,0.739721471036474,0.6822611793826024,0.0,-0.04377636493660005,-0.049348153542572014,-0.038188658322906126,0.0028573395317949054,0.5816666666666667,6,-0.0832105772437797,-0.0043421526294204135,0.01534057844823221,0.03567155397356119,0.03125,-0.17565209050045133,-0.016766872397640666,-0.07363265042371737,-0.019669124378541406,,,False,env_mean_t,True,0,-0.0011843252467612423,-0.004043799861149939,0.001729747732072913,0.0014624275741443248,0.5090000000000001,6,-0.004756541550098237,0.0023878910565757533,0.0013896528224913482,0.4329927478249562,0.46875,-0.005997826038613499,0.0016364159756378225,-0.003722928608457247,0.0010786766418876624,,,False,env_mean_t,True,0
robust,posterior_mean_shrunk,family_horizon,A,50,,,all,,always_search,baseline,False,6,6,3000,6,True,True,0.2690731163151892,0.2626289028674364,0.27538859931131204,0.0032059105818604433,0.4706483547212847,0.0,0.2690731163151892,50.0,1.0,1.0,50.0,0.020000000000000007,0.0,,,0.739721471036474,0.739721471036474,0.739721471036474,0.0,0.08042703774871189,0.0729451904577824,0.08793413999956101,0.00384766336144326,0.3483333333333334,6,0.019886270988153827,0.14096780450926996,0.02355138666323454,0.018941284380051916,0.03125,0.02418467276893091,0.14977165815276863,0.04078209548422213,0.12339681044345101,,,False,env_mean_t,True,0,0.12301907743855069,0.11561446747121712,0.13024202122663459,0.003742801061278309,0.28350000000000003,6,0.05267250779851511,0.19336564707858628,0.027366010552479527,0.006427172210485097,0.03125,0.07096776570872104,0.20008902247577692,0.07797525605931878,0.17578739304219682,,,False,env_mean_t,True,0
robust,posterior_mean_shrunk,family_horizon,A,50,,,all,,cp0,reference,False,6,6,3000,6,True,True,0.1886460785664773,0.18370433418701093,0.1936318746457497,0.0025565895430819294,0.5510753924699966,0.15367333170895775,0.034972746857519575,6.0,0.08333333333333331,13.179333333333332,0.16433333333333333,0.21497946666666667,0.049666666666666665,,,0.739721471036474,0.739721471036474,0.5860481393275162,0.0,0.0,0.0,0.0,0.0,0.5,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,0,0.0425920396898388,0.036860052651415266,0.048192008282057934,0.0029181493035477304,0.42449999999999993,6,0.0010777218073815473,0.08410635757229606,0.016149774851334744,0.046125054014132326,0.03125,0.012413022263398622,0.16030637006309228,0.01694882936598151,0.07404736828532381,,,False,env_mean_t,True,0
robust,posterior_mean_shrunk,family_horizon,A,50,,,all,,fixed_K_star,baseline,False,6,6,3000,6,True,True,0.1472491133294243,0.14255874697118998,0.1519777737557888,0.002366362654617049,0.5924723577070496,0.042453670581181845,0.10479544274824244,24.0,0.4583333333333332,5.528333333333333,11.129333333333335,0.06766906666666667,0.0,,,0.739721471036474,0.739721471036474,0.697267800455292,0.0,-0.04139696523705303,-0.047383947303751485,-0.03540246573393233,0.003038681116229428,0.5743333333333334,6,-0.0838733065737731,0.0010793760996670246,0.016524018316734734,0.05414072130140546,0.03125,-0.1350746254931871,-0.00847633991342002,-0.07326029119953939,-0.014574316447008942,,,False,env_mean_t,True,0,0.0011950744527857752,-0.002239730702422093,0.004641541883086116,0.0017424482474555879,0.4963333333333333,6,-0.00231924637871662,0.004709395284288171,0.0013671305004893846,0.42203110314845294,0.34375,-0.0023584320145623103,0.004734004613031648,-0.0012780329919575403,0.0035781329094121857,,,False,env_mean_t,True,0
robust,posterior_mean_shrunk,family_horizon,A,50,,,all,,p3_star,reference,False,6,6,3000,6,True,True,0.1460540388766385,0.14142913489292067,0.15075837988406418,0.0023757017154663667,0.5936674321598353,0.05071812690794467,0.09533591196869383,21.0,0.3958333333333333,6.021000000000001,7.508666666666667,0.07582853333333334,0.0,,,0.739721471036474,0.739721471036474,0.6890033441285291,0.0,-0.0425920396898388,-0.04819200828205794,-0.036860052651415266,0.0029181493035477304,0.5755,6,-0.08410635757229606,-0.0010777218073815473,0.016149774851334744,0.046125054014132326,0.03125,-0.16030637006309228,-0.014248709825692586,-0.07378258669927405,-0.01694882936598151,,,False,env_mean_t,True,0,0.0,0.0,0.0,0.0,0.5,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,0
robust,posterior_mean_shrunk,family_horizon,A,50,,,all,,phi_k16,learned,False,6,6,3000,6,True,True,0.14344738651281416,0.138899486977607,0.14810888279850284,0.002356996724871129,0.5962740845236597,0.032961986273527144,0.110485400239287,25.445333333333334,0.4884444444444444,6.069333333333333,16.240333333333336,0.07710213333333335,0.0,0.0,,0.739721471036474,0.739721471036474,0.7067594847629467,0.0,-0.04519869205366315,-0.05098532720003277,-0.03938442802367111,0.0029753403463369734,0.5788333333333334,6,-0.09094887308067946,0.0005514889733531647,0.017797597568291943,0.05191939965129168,0.03125,-0.19930425554497425,-0.013166308217103774,-0.0798787313894815,-0.017877943674160634,,,False,env_mean_t,True,0,-0.002606652363824348,-0.0065264368623199195,0.0012927130010211838,0.001994048535899039,0.49950000000000006,6,-0.00905385662898478,0.0038405519013360845,0.0025080719764615116,0.3462861561358449,0.34375,-0.01040634228300786,0.0037604193195404927,-0.007213205127045513,0.0018236755384132264,,,False,env_mean_t,True,0
robust,posterior_mean_shrunk,family_horizon,A,50,,,all,,phi_k16_quality,learned,False,6,6,3000,6,True,True,0.14337633731526633,0.13884452578301232,0.14803289097423356,0.002353172055441093,0.5963451337212076,0.03401271033287048,0.10936362698239586,24.949333333333332,0.478111111111111,6.110333333333333,15.460666666666667,0.0779584,0.0,0.0,,0.739721471036474,0.739721471036474,0.7057087607036033,0.0,-0.04526974125121099,-0.05105546268168837,-0.039489358589829264,0.0029734076902577043,0.5785,6,-0.09057153897023176,3.2056467809772615e-05,0.017623168844887946,0.05011050209680211,0.03125,-0.21525360359392345,-0.013825068450664932,-0.07957375504937954,-0.018409473907202486,,,False,env_mean_t,True,0,-0.0026777015613721838,-0.006581433933752123,0.001220483502644733,0.001990058229460012,0.4998333333333333,6,-0.008604401703640449,0.003248998580896081,0.002305587030961489,0.2979058718732373,0.34375,-0.01135547452430116,0.0028307314202228617,-0.006764598022493736,0.0012590352992216747,,,False,env_mean_t,True,0
robust,posterior_mean_shrunk,family_horizon,A,50,,,all,,phi_k4,learned,False,6,6,3000,6,True,True,0.13721640334834226,0.1326294563089808,0.14179905926187833,0.0022964290286073335,0.6025050676881315,0.035598212401072186,0.10161819094727009,24.270666666666667,0.46397222222222223,6.501666666666666,15.400333333333334,0.08408453333333334,0.0,0.0,,0.739721471036474,0.739721471036474,0.7041232586354017,0.0,-0.05142967521813504,-0.05745986414064343,-0.045563893693421655,0.003035953426300668,0.5943333333333334,6,-0.10289094288403272,3.15924477626503e-05,0.020019307283854322,0.05009585252305497,0.03125,-0.18921181591091796,-0.015202468444831176,-0.09053510482107717,-0.020500855370143352,,,False,env_mean_t,True,0,-0.008837635528296231,-0.012995553047706682,-0.004789177906301727,0.0021383470158282364,0.515,6,-0.020657443654645988,0.002982172598053527,0.004598106141765339,0.11263709315402956,0.09375,-0.024464542705019937,-0.0003716386087457887,-0.0177873841872749,-0.00118698207102716,,,False,env_mean_t,True,0
robust,posterior_mean_shrunk,family_horizon,A,50,,,all,,refine_after_init,baseline,False,6,6,3000,6,True,True,0.1720551909780479,0.16721054688096046,0.17693854455525676,0.0024683845969341125,0.5676662800584261,0.12686334946379066,0.04519184151425725,8.0,0.125,11.537333333333335,0.6393333333333334,0.17985120000000002,0.004666666666666667,,,0.739721471036474,0.739721471036474,0.6128581215726833,0.0,-0.01659088758842942,-0.02006520805589389,-0.013159796735756877,0.0017778498676932796,0.5355,6,-0.026984096335981773,-0.006197678840877064,0.00404313475006706,0.00932313165646213,0.03125,-0.030799529628363565,-0.0074558210984318266,-0.023896562455765283,-0.009846861420820157,,,False,env_mean_t,True,0,0.02600115210140939,0.020448345841236917,0.031414513461641036,0.0028079720120561657,0.46199999999999997,6,-0.007866244308632631,0.05986854851145142,0.01317499250190515,0.10544778821414096,0.0625,0.0034990826635534072,0.12394869641093702,0.006752967128559249,0.05259516768807467,,,False,env_mean_t,True,0
robust,posterior_mean_shrunk,family_horizon,A,100,,,all,,adaptive_K_star,baseline,False,6,6,3000,6,True,True,0.1354843316671128,0.13111500977538526,0.13984082867391406,0.0022138168748365174,0.6397430071684843,0.05931166542073091,0.0761726662463819,32.0,0.3061224489795919,10.751333333333335,9.041666666666666,0.060572933333333336,0.0,,,0.775227338835597,0.7545453366239866,0.7159156734148661,0.0,-0.04122064107656479,-0.04642212791756416,-0.035990195550645386,0.0026855243202136268,0.5905,6,-0.08063401142309398,-0.001807270730035608,0.015332470571501142,0.043378850353644555,0.03125,-0.11331837767735084,-0.013455249768899516,-0.07251176484922568,-0.01839391088982423,,,False,env_mean_t,True,0,-4.34797924632827e-05,-0.0027015381839494996,0.002565147902350872,0.001335394173595645,0.5008333333333334,6,-0.0035753059576520145,0.003488346372725449,0.0013739403726528213,0.9759787028487636,1.0,-0.006540935991709581,0.003094775488379097,-0.002479171380400658,0.002339969820762053,,,False,env_mean_t,True,0
