horizon,feature,group,spearman_with_k_final,p,n_envs,early_frac,n_rows_early
50,f_t,CLOCK,0.0,1.0,30,0.25,5760
50,f_T,CLOCK,0.0,1.0,30,0.25,5760
50,f_remaining_budget,CLOCK,0.0,1.0,30,0.25,5760
50,f_remaining_frac,CLOCK,,,30,0.25,5760
50,f_t_over_T,CLOCK,,,30,0.25,5760
50,f_K,CLOCK,0.0,1.0,30,0.25,5760
50,f_K_over_t,CLOCK,0.0,1.0,30,0.25,5760
50,f_K_over_T,CLOCK,,,30,0.25,5760
50,f_log_t,CLOCK,0.0,1.0,30,0.25,5760
50,f_log_K,CLOCK,0.0,1.0,30,0.25,5760
50,f_K_over_sqrt_t,CLOCK,0.0,1.0,30,0.25,5760
50,f_leader_n,QUALITY,0.0,1.0,30,0.25,5760
50,f_leader_mean,QUALITY,-0.9579346597845685,1.0279555069030933e-16,30,0.25,5760
50,f_leader_n_frac,QUALITY,0.0,1.0,30,0.25,5760
50,f_best_mean,QUALITY,-0.9579346597845685,1.0279555069030933e-16,30,0.25,5760
50,f_second_best_mean,QUALITY,-0.9619492895028832,2.587491970579103e-17,30,0.25,5760
50,f_mean_of_means,QUALITY,-0.9626251390433814,2.0217395522097984e-17,30,0.25,5760
50,f_sd_of_means,QUALITY,-0.47319243604004446,0.008266780553783807,30,0.25,5760
50,f_max_n,QUALITY,0.0,1.0,30,0.25,5760
50,f_mean_n,QUALITY,0.0,1.0,30,0.25,5760
50,f_n_singletons,QUALITY,0.0,1.0,30,0.25,5760
50,est_top_gap,QUALITY,0.9060554113243869,5.7059167629764424e-12,30,0.25,5760
50,est_top_gap_normalized,QUALITY,0.7134113514194044,9.633485451239327e-06,30,0.25,5760
50,est_frac_arms_within_5pct_of_best,QUALITY,-0.45494994438264746,0.011536728352864662,30,0.25,5760
50,est_beta_a,QUALITY,-0.9056729699666296,6.025259751322178e-12,30,0.25,5760
50,est_beta_b,QUALITY,0.6489432703003337,0.00010478987920448899,30,0.25,5760
50,est_beta_mean,QUALITY,-0.9417130144605117,8.939823417450092e-15,30,0.25,5760
50,est_p_new_beats_incumbent,QUALITY,0.25917686318131256,0.16665993466599774,30,0.25,5760
50,est_p_new_beats_incumbent_plus_0.01,QUALITY,0.28142380422691876,0.13192283038377045,30,0.25,5760
50,est_p_new_beats_incumbent_plus_0.05,QUALITY,0.4513904338153503,0.012287078885567087,30,0.25,5760
50,est_p_new_beats_incumbent_plus_0.1,QUALITY,0.6204671857619577,0.0002543541540533304,30,0.25,5760
50,est_hill_tail_index,QUALITY,0.3882091212458286,0.03401431781160912,30,0.25,5760
50,est_quantile_0.5,QUALITY,-0.9651796700063089,7.622732906270451e-18,30,0.25,5760
50,est_quantile_0.9,QUALITY,-0.9550611790878754,2.546931312906407e-16,30,0.25,5760
50,est_quantile_0.99,QUALITY,-0.9581757508342603,9.49891399988243e-17,30,0.25,5760
50,f_leader_lcb,EVIDENCE,-0.9579346597845685,1.0279555069030933e-16,30,0.25,5760
50,f_leader_ucb,EVIDENCE,-0.9579346597845685,1.0279555069030933e-16,30,0.25,5760
50,f_leader_width,EVIDENCE,-0.9579346597845685,1.0279555069030933e-16,30,0.25,5760
50,f_csleader_n,EVIDENCE,0.0,1.0,30,0.25,5760
50,f_csleader_mean,EVIDENCE,-0.9579346597845685,1.0279555069030933e-16,30,0.25,5760
50,f_csleader_lcb,EVIDENCE,-0.9579346597845685,1.0279555069030933e-16,30,0.25,5760
50,f_csleader_ucb,EVIDENCE,-0.9579346597845685,1.0279555069030933e-16,30,0.25,5760
50,f_csleader_width,EVIDENCE,-0.9579346597845685,1.0279555069030933e-16,30,0.25,5760
50,f_csleader_n_frac,EVIDENCE,0.0,1.0,30,0.25,5760
50,f_challenger_n,EVIDENCE,0.0,1.0,30,0.25,5760
50,f_challenger_mean,EVIDENCE,-0.9619492895028832,2.587491970579103e-17,30,0.25,5760
50,f_challenger_lcb,EVIDENCE,-0.9619492895028832,2.587491970579103e-17,30,0.25,5760
50,f_challenger_ucb,EVIDENCE,-0.9619492895028832,2.587491970579103e-17,30,0.25,5760
50,f_challenger_width,EVIDENCE,-0.9619492895028832,2.587491970579103e-17,30,0.25,5760
50,f_challenger_n_frac,EVIDENCE,0.0,1.0,30,0.25,5760
50,f_empirical_gap,EVIDENCE,0.9060554113243869,5.7059167629764424e-12,30,0.25,5760
50,f_lcb_lead_minus_ucb_chal,EVIDENCE,0.9105672969966631,2.9475194992641486e-12,30,0.25,5760
50,f_ucb_chal_minus_lcb_lead,EVIDENCE,-0.9105672969966631,2.9475194992641486e-12,30,0.25,5760
50,f_is_separated,EVIDENCE,0.0,1.0,30,0.25,5760
50,f_n_plausible,EVIDENCE,0.0,1.0,30,0.25,5760
50,f_frac_plausible,EVIDENCE,0.0,1.0,30,0.25,5760
50,f_n_eliminated,EVIDENCE,0.0,1.0,30,0.25,5760
50,f_frac_eliminated,EVIDENCE,0.0,1.0,30,0.25,5760
50,f_max_width_plausible,EVIDENCE,-0.9579346597845685,1.0279555069030933e-16,30,0.25,5760
50,f_mean_width_plausible,EVIDENCE,-0.9626251390433814,2.0217395522097984e-17,30,0.25,5760
50,f_mean_width_all,EVIDENCE,-0.9626251390433814,2.0217395522097984e-17,30,0.25,5760
50,f_log_e_pair,EVIDENCE,0.9060554113243869,5.7059167629764424e-12,30,0.25,5760
100,f_t,CLOCK,0.0,1.0,30,0.25,11520
100,f_T,CLOCK,0.0,1.0,30,0.25,11520
100,f_remaining_budget,CLOCK,0.0,1.0,30,0.25,11520
100,f_remaining_frac,CLOCK,,,30,0.25,11520
100,f_t_over_T,CLOCK,,,30,0.25,11520
100,f_K,CLOCK,0.9384473900710513,1.8790571159430237e-14,30,0.25,11520
100,f_K_over_t,CLOCK,0.9384473900710513,1.8790571159430237e-14,30,0.25,11520
100,f_K_over_T,CLOCK,0.9384473900710513,1.8790571159430237e-14,30,0.25,11520
100,f_log_t,CLOCK,0.0,1.0,30,0.25,11520
100,f_log_K,CLOCK,0.9384473900710513,1.8790571159430237e-14,30,0.25,11520
100,f_K_over_sqrt_t,CLOCK,0.9384473900710513,1.8790571159430237e-14,30,0.25,11520
100,f_leader_n,QUALITY,-0.9462237501178312,2.9770018412253472e-15,30,0.25,11520
100,f_leader_mean,QUALITY,-0.9758593897297535,4.824303278736505e-20,30,0.25,11520
100,f_leader_n_frac,QUALITY,-0.9462237501178312,2.9770018412253472e-15,30,0.25,11520
100,f_best_mean,QUALITY,-0.9758593897297535,4.824303278736505e-20,30,0.25,11520
100,f_second_best_mean,QUALITY,-0.9820892262350962,7.675870559510671e-22,30,0.25,11520
100,f_mean_of_means,QUALITY,-0.9780843313388043,1.263128710382004e-20,30,0.25,11520
100,f_sd_of_means,QUALITY,-0.41828902250158156,0.02142979310951034,30,0.25,11520
