horizon,feature,group,coef,sd_deployed,train_scale,contribution_sd,perm_mean_abs_dp,perm_flip_rate,n_rows,search_rate
50,f_t,CLOCK,0.03814572532064913,13.80850978523111,194.33937087208054,0.002710390689190989,0.0006723865502324823,0.0,23040,0.14440104166666667
50,f_T,CLOCK,-0.041661332506006885,0.0,314.56809867082256,0.0,0.0,0.0,23040,0.14440104166666667
50,f_remaining_budget,CLOCK,-0.10029173542893806,13.80850978523111,204.58856681479068,0.006769094830709675,0.0016713032383191655,0.0,23040,0.14440104166666667
50,f_remaining_frac,CLOCK,0.05767977636335329,0.2761701957046222,0.2773354649633038,0.05743742556897241,0.014433286921709408,0.004600694444444445,23040,0.14440104166666667
50,f_t_over_T,CLOCK,-0.05767977636339342,0.2761701957046222,0.2773354649633039,0.05743742556901236,0.014482172243317586,0.004079861111111111,23040,0.14440104166666667
50,f_K,CLOCK,0.045335632936586746,7.706414073616838,13.601965596109608,0.025685637655102313,0.005939991464491285,0.0036024305555555558,23040,0.14440104166666667
50,f_K_over_t,CLOCK,0.07330938011591494,0.23449196664048413,0.20856534313421735,0.08242242195297604,0.020341092574217578,0.005512152777777778,23040,0.14440104166666667
50,f_K_over_T,CLOCK,-0.31684363338906246,0.1541282814723368,0.09617755370955762,0.5077542818065498,0.11960515386332013,0.13940972222222223,23040,0.14440104166666667
50,f_log_t,CLOCK,0.3368443222163871,0.8869540225729287,1.324606430761935,0.22555033678858225,0.046439712499576194,0.04609375,23040,0.14440104166666667
50,f_log_K,CLOCK,-0.6318680911570771,0.6959352422709124,0.8873296919051342,0.49557597036848916,0.11011736679080594,0.16723090277777777,23040,0.14440104166666667
50,f_K_over_sqrt_t,CLOCK,0.05569217992231907,0.978063830676639,1.1432651357231525,0.04764468462436023,0.011381252241415068,0.006293402777777778,23040,0.14440104166666667
50,f_leader_n,QUALITY,0.14240581141705275,2.8155037137101533,74.09016562779051,0.005411569639523515,0.0011898189432297214,0.0,23040,0.14440104166666667
50,f_leader_mean,QUALITY,0.3621453260916736,0.13783966129232386,0.20736547955695178,0.24072468182132872,0.050346546878747025,0.03315972222222222,23040,0.14440104166666667
50,f_leader_n_frac,QUALITY,0.003364702168231416,0.11913143365200815,0.1956607640714811,0.0020486569957735043,0.0004033772518894106,0.0,23040,0.14440104166666667
50,f_best_mean,QUALITY,0.3621453260916736,0.13783966129232386,0.20736547955695178,0.24072468182132872,0.05012630020440238,0.03537326388888889,23040,0.14440104166666667
50,f_second_best_mean,QUALITY,0.2625823326965391,0.16302762782695945,0.2326621551114807,0.18399285774807064,0.039984908272790734,0.02165798611111111,23040,0.14440104166666667
50,f_mean_of_means,QUALITY,-0.07279715172272058,0.09776329827232748,0.16991408862861138,0.04188522396632987,0.010383054916903956,0.0024305555555555556,23040,0.14440104166666667
50,f_sd_of_means,QUALITY,-0.07479618965738308,0.05895322695974421,0.06884612043752764,0.06404829664435523,0.014844330479376463,0.01115451388888889,23040,0.14440104166666667
50,f_max_n,QUALITY,-0.09068368298272941,2.901015647333654,75.63344693784882,0.003478286313023949,0.000784549220981732,0.0,23040,0.14440104166666667
50,f_mean_n,QUALITY,0.06270227348997168,0.6073150450736973,23.957518832606894,0.0015894815450987934,0.0003574491803740454,0.0,23040,0.14440104166666667
50,f_n_singletons,QUALITY,-0.005430519986555246,6.698702668718508,6.729802637323909,0.005405424302447632,0.0012511610097704913,0.0,23040,0.14440104166666667
50,est_top_gap,QUALITY,0.12871812482008088,0.10496322608808258,0.10879173243520718,0.12418838577803418,0.027233270812672294,0.02243923611111111,23040,0.14440104166666667
50,est_top_gap_normalized,QUALITY,0.04690729981273344,0.356864017468135,0.30427002916600265,0.055015367453827194,0.011844742985770335,0.01015625,23040,0.14440104166666667
50,est_frac_arms_within_5pct_of_best,QUALITY,-0.03174360854196744,0.3005020798863989,0.19685615857113659,0.0484568044972483,0.0097643726360738,0.003993055555555555,23040,0.14440104166666667
50,est_beta_a,QUALITY,-0.046644726404094644,2.718553443494004,2.1376929306857453,0.05931917525030564,0.01406513957012816,0.0037760416666666667,23040,0.14440104166666667
50,est_beta_b,QUALITY,0.2007116466327608,5.285906077531796,4.120272640722609,0.25749337611344514,0.05509758014518716,0.03493923611111111,23040,0.14440104166666667
50,est_beta_mean,QUALITY,-0.19064502996259017,0.08635163059630525,0.16875580119296305,0.09755225649118368,0.02443676857718478,0.009461805555555555,23040,0.14440104166666667
50,est_p_new_beats_incumbent,QUALITY,-0.15522762306165364,0.1735413739267903,0.1343609488209475,0.20049289033681986,0.03523887644944423,0.03502604166666667,23040,0.14440104166666667
50,est_p_new_beats_incumbent_plus_0.01,QUALITY,0.1991293052874176,0.16992272166360062,0.1297987986666578,0.26068495136320413,0.050486953056686996,0.04765625,23040,0.14440104166666667
50,est_p_new_beats_incumbent_plus_0.05,QUALITY,-0.09946977600251337,0.1557607572908445,0.1118271652589182,0.13854851459240178,0.022091360097363788,0.012847222222222222,23040,0.14440104166666667
50,est_p_new_beats_incumbent_plus_0.1,QUALITY,0.0816253651155507,0.1390606924828062,0.09151067765168662,0.12403885632160615,0.0192362939320019,0.01675347222222222,23040,0.14440104166666667
50,est_hill_tail_index,QUALITY,-0.05043929071568028,0.18829504131600155,0.27579083379925007,0.03443721532881727,0.008264162418316566,0.006380208333333333,23040,0.14440104166666667
50,est_quantile_0.5,QUALITY,-0.010736849876424589,0.14020685280312503,0.19862330508934126,0.00757906998635427,0.001719115473859899,0.0,23040,0.14440104166666667
50,est_quantile_0.9,QUALITY,-0.18360613729191508,0.15001303088642617,0.20808660885551086,0.13236465958092822,0.03204652855712005,0.01953125,23040,0.14440104166666667
50,est_quantile_0.99,QUALITY,-0.8517315880465803,0.1366678385410245,0.20612360986141884,0.5647306256362454,0.1307818116359611,0.13133680555555555,23040,0.14440104166666667
50,f_leader_lcb,EVIDENCE,-0.2371898356869199,0.20865422423653085,0.25577192010489,0.19349528729247828,0.04677491785212215,0.008723958333333334,23040,0.14440104166666667
