column,n_rows,max_abs_diff,n_fail,n_items,rtol,atol,passed
f_t,737280,0.0,0,240,1e-05,1e-06,True
f_T,737280,0.0,0,240,1e-05,1e-06,True
f_remaining_budget,737280,0.0,0,240,1e-05,1e-06,True
f_remaining_frac,737280,0.0,0,240,1e-05,1e-06,True
f_t_over_T,737280,0.0,0,240,1e-05,1e-06,True
f_K,737280,0.0,0,240,1e-05,1e-06,True
f_K_over_t,737280,0.0,0,240,1e-05,1e-06,True
f_K_over_T,737280,0.0,0,240,1e-05,1e-06,True
f_log_t,737280,0.0,0,240,1e-05,1e-06,True
f_log_K,737280,0.0,0,240,1e-05,1e-06,True
f_K_over_sqrt_t,737280,0.0,0,240,1e-05,1e-06,True
f_leader_n,737280,0.0,0,240,1e-05,1e-06,True
f_leader_mean,737280,0.0,0,240,1e-05,1e-06,True
f_leader_n_frac,737280,0.0,0,240,1e-05,1e-06,True
f_best_mean,737280,0.0,0,240,1e-05,1e-06,True
f_second_best_mean,737280,0.0,0,240,1e-05,1e-06,True
f_mean_of_means,737280,0.0,0,240,1e-05,1e-06,True
f_sd_of_means,737280,0.0,0,240,1e-05,1e-06,True
f_max_n,737280,0.0,0,240,1e-05,1e-06,True
f_mean_n,737280,0.0,0,240,1e-05,1e-06,True
f_n_singletons,737280,0.0,0,240,1e-05,1e-06,True
est_top_gap,737280,0.0,0,240,1e-05,1e-06,True
est_top_gap_normalized,737280,0.0,0,240,1e-05,1e-06,True
est_frac_arms_within_5pct_of_best,737280,0.0,0,240,1e-05,1e-06,True
est_beta_a,737280,0.0,0,240,1e-05,1e-06,True
est_beta_b,737280,0.0,0,240,1e-05,1e-06,True
est_beta_mean,737280,0.0,0,240,1e-05,1e-06,True
est_p_new_beats_incumbent,737280,2.6645352591003757e-15,0,240,1e-05,1e-06,True
est_p_new_beats_incumbent_plus_0.01,737280,4.107825191113079e-15,0,240,1e-05,1e-06,True
est_p_new_beats_incumbent_plus_0.05,737280,6.661338147750939e-16,0,240,1e-05,1e-06,True
est_p_new_beats_incumbent_plus_0.1,737280,4.939625097843958e-16,0,240,1e-05,1e-06,True
est_hill_tail_index,737280,0.0,0,240,1e-05,1e-06,True
est_quantile_0.5,737280,0.0,0,240,1e-05,1e-06,True
est_quantile_0.9,737280,0.0,0,240,1e-05,1e-06,True
est_quantile_0.99,737280,0.0,0,240,1e-05,1e-06,True
f_leader_lcb,737280,0.0,0,240,1e-05,1e-06,True
f_leader_ucb,737280,0.0,0,240,1e-05,1e-06,True
f_leader_width,737280,0.0,0,240,1e-05,1e-06,True
f_csleader_n,737280,0.0,0,240,1e-05,1e-06,True
f_csleader_mean,737280,0.0,0,240,1e-05,1e-06,True
f_csleader_lcb,737280,0.0,0,240,1e-05,1e-06,True
f_csleader_ucb,737280,0.0,0,240,1e-05,1e-06,True
f_csleader_width,737280,0.0,0,240,1e-05,1e-06,True
f_csleader_n_frac,737280,0.0,0,240,1e-05,1e-06,True
f_challenger_n,737280,0.0,0,240,1e-05,1e-06,True
f_challenger_mean,737280,0.0,0,240,1e-05,1e-06,True
f_challenger_lcb,737280,0.0,0,240,1e-05,1e-06,True
f_challenger_ucb,737280,0.0,0,240,1e-05,1e-06,True
f_challenger_width,737280,0.0,0,240,1e-05,1e-06,True
f_challenger_n_frac,737280,0.0,0,240,1e-05,1e-06,True
f_empirical_gap,737280,0.0,0,240,1e-05,1e-06,True
f_lcb_lead_minus_ucb_chal,737280,0.0,0,240,1e-05,1e-06,True
f_ucb_chal_minus_lcb_lead,737280,0.0,0,240,1e-05,1e-06,True
f_is_separated,737280,0.0,0,240,1e-05,1e-06,True
f_n_plausible,737280,0.0,0,240,1e-05,1e-06,True
f_frac_plausible,737280,0.0,0,240,1e-05,1e-06,True
f_n_eliminated,737280,0.0,0,240,1e-05,1e-06,True
f_frac_eliminated,737280,0.0,0,240,1e-05,1e-06,True
f_max_width_plausible,737280,0.0,0,240,1e-05,1e-06,True
f_mean_width_plausible,737280,0.0,0,240,1e-05,1e-06,True
f_mean_width_all,737280,0.0,0,240,1e-05,1e-06,True
f_log_e_pair,737280,1.7566290750892222e-06,0,240,1e-05,0.001,True
f_new_arms_last_10,737280,0.0,0,240,1e-05,1e-06,True
f_best_mean_gain_last_10,737280,0.0,0,240,1e-05,1e-06,True
f_new_arms_last_25,737280,0.0,0,240,1e-05,1e-06,True
f_best_mean_gain_last_25,737280,2.9802322387695312e-08,0,240,1e-05,1e-06,True
f_new_arms_last_50,737280,0.0,0,240,1e-05,1e-06,True
f_best_mean_gain_last_50,737280,2.9802322387695312e-08,0,240,1e-05,1e-06,True
f_search_frac_last_10,737280,0.0,0,240,1e-05,1e-06,True
f_search_frac_last_25,737280,0.0,0,240,1e-05,1e-06,True
f_time_since_last_search,737280,0.0,0,240,1e-05,1e-06,True
