test,cell,policy,env_id,family,horizon,cap,n_on,n_corpus,corpus_scope,n_features,n_features_nonclock,knn_applicable,ood_frac,knn_dist_median,knn_threshold,n_features_standardizable,domain_auc,ood_frac_all,knn_threshold_all,n_features_standardizable_all,domain_auc_all,clock_confounded,domain_auc_CLOCK,domain_auc_QUALITY,domain_auc_EVIDENCE,domain_auc_HISTORY,max_frac_outside,mean_frac_outside,mean_abs_std_shift,max_abs_std_shift,max_ks,worst_feature_by_ks,corpus_score_kind
A,beta_good_common_T1000_cap64,phi_k16,beta_good_common,A,1000,64,3072,13322,same_horizon,62,51,True,0.0234375,1.7557729459220779,3.1988494333513655,51,0.998752685546875,0.06640625,3.4679288116185982,61,0.9992465006510416,True,0.9956083170572916,0.9951652832031251,0.9972740885416667,,0.9560546875,0.07508505544354838,0.8506055091908518,3.882488055467549,0.9560546875,f_K,oof
A,beta_good_common_T1000_cap64,phi_k16_all71,beta_good_common,A,1000,64,3072,13322,same_horizon,71,60,True,0.4147135416666667,3.889376776933524,4.173685965763104,60,0.9999171549479167,0.462890625,4.394006347052044,70,0.9999771321614583,True,0.9943189290364584,0.993754638671875,0.9967957356770833,0.9147779947916668,0.9537760416666666,0.06842814700704226,0.7758826541911334,3.8642105377216263,0.9537760416666666,f_K,oof
A,beta_good_common_T1000_cap64,phi_k16_clock,beta_good_common,A,1000,64,3072,13322,same_horizon,11,0,False,,,,0,,0.875,0.18693863401041338,10,0.9965762532552084,True,0.9965762532552084,,,,0.9583333333333334,0.29924242424242425,1.1925840480329635,2.6860350790865604,0.9583333333333334,f_K,oof
A,beta_good_common_T1000_cap64,phi_k16_cs,beta_good_common,A,1000,64,3072,13322,same_horizon,61,50,True,0.020182291666666668,1.6417226127131066,3.086063773085247,50,0.9979580078125,0.061848958333333336,3.3589394963387127,60,0.9986796061197917,True,0.9955600585937501,0.9942435709635418,0.9962809244791667,,0.9547526041666666,0.07618254781420765,0.8638448937246762,3.879348359167636,0.9547526041666666,f_K,oof
A,beta_good_common_T1000_cap64,phi_k16_quality,beta_good_common,A,1000,64,3072,13322,same_horizon,35,24,True,0.0302734375,0.768554406030546,1.9837668769561756,24,0.9937254231770833,0.13020833333333334,2.272278730053479,34,0.9976055501302082,True,0.9953859863281249,0.9937254231770833,,,0.9573567708333334,0.10205543154761905,0.93419922905008,3.8733492965945873,0.9573567708333334,f_K,oof
A,beta_good_common_T1000_cap64,rule_reservoir,beta_good_common,A,1000,64,3072,13322,same_horizon,7,5,True,0.041666666666666664,0.10510621615105091,0.5336378750776066,5,0.9194405924479168,0.045572916666666664,0.7694189887507719,7,0.993109130859375,True,0.9891329752604167,0.9133837890625,0.7941530354817709,,0.9583333333333334,0.1435546875,0.7339666069666156,1.676806165692107,0.9583333333333334,f_log_K,none
A,beta_good_common_T100_cap64,phi_k16,beta_good_common,A,100,64,3072,19968,same_horizon,62,51,True,0.031901041666666664,1.44652471610827,2.690932688241468,51,0.9940397135416665,0.059244791666666664,2.895184222421924,61,0.9970021972656249,True,0.9586060384114583,0.9689884440104166,0.9808862711588542,,0.041666666666666664,0.005528603830645161,0.5245541876669509,1.1298879566421125,0.7521534455128205,f_K_over_sqrt_t,oof
A,beta_good_common_T100_cap64,phi_k16_all71,beta_good_common,A,100,64,3072,19968,same_horizon,71,60,True,0.4967447916666667,3.3630372583942516,3.3671555756726588,60,0.9994728597005209,0.6627604166666666,3.5399113159539133,70,0.9995964762369792,True,0.95831591796875,0.9652740478515623,0.9783011067708334,0.9579943033854167,0.08561197916666667,0.006093199823943661,0.49925568280119226,1.323406126118298,0.7521534455128205,f_K_over_sqrt_t,oof
A,beta_good_common_T100_cap64,phi_k16_clock,beta_good_common,A,100,64,3072,19968,same_horizon,11,0,False,,,,0,,0.7083333333333334,0.11716543820027861,10,0.9767638753255209,True,0.9767638753255209,,,,0.08333333333333333,0.026515151515151512,0.8801834841056045,2.0289015090522864,0.7826021634615385,f_K_over_sqrt_t,oof
A,beta_good_common_T100_cap64,phi_k16_cs,beta_good_common,A,100,64,3072,19968,same_horizon,61,50,True,0.0322265625,1.4120622360119364,2.617598322946128,50,0.9924505615234375,0.058919270833333336,2.8220985202048947,60,0.9961855061848958,True,0.9589650065104167,0.96461181640625,0.9800997721354169,,0.041666666666666664,0.0055818818306010935,0.5317894551821888,1.1298879566421125,0.7521534455128205,f_K_over_sqrt_t,oof
