test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_degenerate,evaluated,ref_tuned,n_cells_excluded_untuned,params_tuned,n_boot
A,posterior_mean_shrunk,family_horizon,A,50,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.042767882544585516,-0.04646730133164624,-0.039136072838743124,0.0018602516520386475,0.57125,4,8000,4,-0.09707042435866788,-0.01339721090867897,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,A,50,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.004359187333022419,-0.006966522154754784,-0.001803456295748766,0.0013187117921320774,0.5020625,4,8000,4,-0.01173371168138692,0.0018986290312750496,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,A,50,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.00015790606766313432,-0.000246977644709841,0.0005634083238690437,0.00020558692946938693,0.499625,4,8000,4,-0.00022278491361066698,0.0007650381472085429,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,A,100,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.044553814514016264,-0.04806308705788687,-0.04105755664554891,0.00178044194928466,0.5864375,4,8000,4,-0.09756795724801487,-0.011983957543969154,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,A,100,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.006837350121175404,-0.009533367725275455,-0.004190550107663149,0.0013474683983505237,0.515875,4,8000,4,-0.014111570319568272,-0.0017284000598592683,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,A,100,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.001353858406189829,0.00043104233408812524,0.002348580442601814,0.0004848368719663115,0.4974375,4,8000,4,0.0001859041219577193,0.002521812690421939,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,A,200,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.046500093539943915,-0.049456364383094475,-0.04356915960724,0.0015038649432255905,0.602375,4,8000,4,-0.10218016530107707,-0.010696965649724006,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,A,200,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0003116942383348942,-0.0015144893453456455,0.0009013117977417996,0.000622827211870227,0.500375,4,8000,4,-0.002340782627463341,0.0014395819790661334,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,A,200,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-8.071002364158629e-05,-0.0006412699090316892,0.00047187370425090145,0.0002832730069116939,0.50025,4,8000,4,-0.0014137665778398514,0.001262485533952713,False,True,True,0,True,10000
A,posterior_mean_shrunk,family_horizon,A,500,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04534291249979287,-0.04760447146305814,-0.043024356027925384,0.001175907680799142,0.6327499999999999,4,8000,4,-0.08691349030844867,-0.015969483733177185,False,True,True,0,True,10000
