test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,evaluated,ref_tuned,n_cells_excluded_untuned,params_tuned,n_boot
C,posterior_mean_shrunk,family_horizon,C,50,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.08258179541304707,-0.08753265172562873,-0.07751449855159348,0.002574974497381987,0.6263333333333333,3,6000,3,,,,,,,,,,-0.11532147233560681,-0.05306993558257818,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,50,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.0008311484679579735,-0.0018285186266526578,0.0036216066308319556,0.001397199878430181,0.50175,3,6000,3,,,,,,,,,,-0.002887934461236,0.0028389132395386695,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,50,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.00043746168911457063,0.00013205714548627547,0.0007993071261793373,0.0001721704486755887,0.49924999999999997,3,6000,3,,,,,,,,,,0.00022230148315429687,0.0007405993193387986,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,100,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.09040115723510583,-0.09487056402644763,-0.08592078668251633,0.0022680629827717745,0.6521666666666667,3,6000,3,,,,,,,,,,-0.12035326100885868,-0.06637166851758956,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,100,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.005882675367097061,0.0033605312611286846,0.008406538752155999,0.001292393610647903,0.49449999999999994,3,6000,3,,,,,,,,,,-0.0014072686657309532,0.010099238768219948,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,100,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.005662673021356264,-0.007318786231304207,-0.004099736281484366,0.0008274372216532013,0.5105000000000001,3,6000,3,,,,,,,,,,-0.009399405762553215,-0.0003599221259355545,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,200,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.08283432416369518,-0.08645863167190303,-0.07907848712013414,0.0018936043409587535,0.6704166666666667,3,6000,3,,,,,,,,,,-0.12404406516253948,-0.05223772221058607,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,200,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.011684085751573245,0.009184790081654985,0.014245932617411017,0.0012904510619152192,0.4755,3,6000,3,,,,,,,,,,0.00010827615857124329,0.020383947998285294,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,200,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.004943168903390566,-0.006223621327181657,-0.0036867136241247266,0.0006465384748768461,0.5103333333333333,3,6000,3,,,,,,,,,,-0.008042530611157417,-0.0007621144354343414,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,500,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.07072862428923449,-0.07374555317088961,-0.06778708411479989,0.0015178318977069163,0.7033333333333335,3,6000,3,,,,,,,,,,-0.10902695213258266,-0.028620375603437425,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,500,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-4.308283329010009e-06,-4.880503565073013e-05,4.1742085417111705e-05,2.2900329198776353e-05,0.5000833333333333,3,6000,3,,,,,,,,,,-6.277972459793091e-05,5.50588071346283e-05,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,500,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-6.341111660003661e-05,-0.0001667992616693179,3.2024218638737916e-05,5.083261400235119e-05,0.5005000000000001,3,6000,3,,,,,,,,,,-0.0001696367859840393,-9.12800431251526e-06,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,1000,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04403211189309756,-0.046359831043953706,-0.04180255304574966,0.001147921437280195,0.6815000000000001,3,6000,3,,,,,,,,,,-0.060683843076229094,-0.01931378573179245,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,1000,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.0,0.0,0.0,0.0,0.5,3,6000,3,,,,,,,,,,0.0,0.0,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family_horizon,C,1000,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.0,0.0,0.0,0.0,0.5,3,6000,3,,,,,,,,,,0.0,0.0,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family,C,all,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.07411560259883603,-0.07581390366657947,-0.0723709383622619,0.0008800469450109932,0.6667500000000001,15,30000,3,,,,,,,,,,-0.09869241994023323,-0.059994379612058404,True,range,True,True,0,True,10000
C,posterior_mean_shrunk,family,C,all,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.0036787202606598534,0.0027757216150189443,0.0046025155154864,0.00046242502869451294,0.49436666666666673,15,30000,3,,,,,,,,,,0.0003189959079027176,0.005427791753411293,True,range,True,True,0,True,10000
