test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_degenerate,evaluated,ref_tuned,n_cells_excluded_untuned,params_tuned,n_boot
cap,posterior_mean_shrunk,family_horizon,A,200,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.017722945153014733,-0.020069831911250367,-0.01541083208190394,0.0011895103249743438,0.557875,8,8000,2,-0.024848016916308554,-0.010597873389720916,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family_horizon,A,200,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.005224717736709863,-0.0064365935874753635,-0.0040024112260318365,0.000613928406655045,0.517625,8,8000,2,-0.010835285849869251,0.00038585037644952533,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family_horizon,A,200,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.0037283308480400594,-0.004667125166591723,-0.0028250874996476345,0.000465386973668365,0.51075,8,8000,2,-0.005696878070477396,-0.0017597836256027224,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family_horizon,A,1000,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,0.015423961570370012,0.013674377065547747,0.017155615562194724,0.0008892604296451642,0.489625,8,8000,2,0.015352032907307144,0.015495890233432875,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family_horizon,A,1000,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.038923620237852445,0.03745766799205448,0.040401512663080945,0.0007485750604276393,0.3999375,8,8000,2,0.02487822226434946,0.05296901821135543,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family_horizon,A,1000,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.003022254269104451,-0.00375209319476271,-0.002293325279152487,0.000372577781860175,0.508375,8,8000,2,-0.005497498944401741,-0.0005470095938071609,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family_horizon,B,200,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.05720121554168872,-0.06030909141792799,-0.05409068606249057,0.0016004656643582834,0.63775,8,8000,2,-0.08582154580205678,-0.02858088528132066,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family_horizon,B,200,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.004337892060633749,-0.005896559728833381,-0.0028310564885032363,0.0007868930565708486,0.5121249999999999,8,8000,2,-0.0079338815882802,-0.0007419025329872967,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family_horizon,B,200,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.00788654364575632,-0.009214213109319098,-0.006565527406131151,0.0006780424688660851,0.5215000000000001,8,8000,2,-0.008844650035724044,-0.006928437255788594,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family_horizon,B,1000,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,0.0038651784684334417,0.001621147180403207,0.006132264125249639,0.0011491896279507347,0.5420625000000001,8,8000,2,-0.00462441937997937,0.012354776316846254,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family_horizon,B,1000,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.0479463864218269,0.046031712584623165,0.04981584550057014,0.0009594740933339299,0.41756249999999995,8,8000,2,0.04042587367817759,0.05546689916547621,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family_horizon,B,1000,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.019056691824167502,-0.021032736178215414,-0.017060846617049534,0.001013315455941454,0.5240625,8,8000,2,-0.036439394140033984,-0.0016739895083010196,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family,A,all,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.001149491791322359,-0.0026221219451588703,0.00031908978913561454,0.0007392496769021937,0.5237499999999999,16,16000,2,-0.0046760633414378375,0.0023770797587931137,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family,A,all,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.01684945125057129,0.015896571321503145,0.017784038956611768,0.00048506983088149764,0.45878125000000003,16,16000,2,0.007021468207240105,0.02667743429390248,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family,A,all,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.0033752925585722555,-0.00397741346033581,-0.0027965690448792887,0.0003009293791040581,0.5095625,16,16000,2,-0.003628641285002231,-0.0031219438321422785,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family,B,all,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.02666801853662764,-0.02858840956611457,-0.024717438218164172,0.000990946271278971,0.5899062500000001,16,16000,2,-0.04522298259101808,-0.008113054482237203,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family,B,all,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.021804247180596578,0.020568221107157662,0.02303293127239703,0.0006234253887672233,0.46484375,16,16000,2,0.016245996044948696,0.027362498316244457,True,True,True,0,True,10000
cap,posterior_mean_shrunk,family,B,all,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.013471617734961912,-0.014675905369284736,-0.012284887535427695,0.0006077243455411365,0.52278125,16,16000,2,-0.022642022087879018,-0.004301213382044807,True,True,True,0,True,10000
cap,posterior_mean_shrunk,horizon,all,200,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03746208034735173,-0.03941112906930647,-0.035483638792209976,0.0009957240064189406,0.5978125000000001,16,16000,4,-0.07057816358061972,-0.015093626362620852,False,True,True,0,True,10000
cap,posterior_mean_shrunk,horizon,all,200,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0047813048986718055,-0.0057731612075003795,-0.003793761458527297,0.0005025901143801988,0.514875,16,16000,4,-0.009384583719074725,-0.00017802607826888567,False,True,True,0,True,10000
cap,posterior_mean_shrunk,horizon,all,200,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.00580743724689819,-0.006610385440287063,-0.0050009301270561995,0.000412185699006513,0.516125,16,16000,4,-0.008057707044412383,-0.00305194703314919,False,True,True,0,True,10000
cap,posterior_mean_shrunk,horizon,all,1000,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,0.009644570019401725,0.008226607032331234,0.011064895143515243,0.000724943098181092,0.51584375,16,16000,4,0.0003696936918422583,0.015423961570370012,False,True,True,0,True,10000
cap,posterior_mean_shrunk,horizon,all,1000,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.043435003329839676,0.042254770792268026,0.04459707048779456,0.0006013340008870297,0.40874999999999995,16,16000,4,0.03190092125110095,0.05421795868841582,False,True,True,0,True,10000
cap,posterior_mean_shrunk,horizon,all,1000,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.011039473046635976,-0.01211346453138831,-0.009983455711224816,0.0005467130000652059,0.51621875,16,16000,4,-0.027748042982100745,-0.0011104995510540902,False,True,True,0,True,10000
cap,posterior_mean_shrunk,pooled,all,all,,,,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.013908755163974999,-0.01513132802431646,-0.012699877166797704,0.0006229548733014195,0.556828125,32,32000,4,-0.03508625277862301,-0.0002454538014644655,False,True,True,0,True,10000
cap,posterior_mean_shrunk,pooled,all,all,,,,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.019326849215583936,0.018549983749915736,0.020097199082242324,0.0003951607808117701,0.46181249999999996,32,32000,4,0.0116337321260944,0.02701996630507347,False,True,True,0,True,10000
cap,posterior_mean_shrunk,pooled,all,all,,,,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.008423455146767083,-0.009102596292742238,-0.007767744601311278,0.00034037815411802565,0.516171875,32,32000,4,-0.01788867688715982,-0.0033752925585722546,False,True,True,0,True,10000
