test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,evaluated,ref_tuned,n_cells_excluded_untuned,params_tuned,n_boot
robust,posterior_mean_shrunk,family_horizon,A,50,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04519869205366315,-0.05094546369726037,-0.039313817352163945,0.0029730390915925966,0.5788333333333334,6,3000,6,-0.09094887308067946,0.0005514889733531647,0.017797597568291943,0.05191939965129168,0.03125,-0.19928435600210784,-0.012962471838078915,-0.08076442128621662,-0.017877943674160634,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,50,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.002606652363824348,-0.0065958220473723485,0.0013271901574451427,0.002015289919844533,0.49950000000000006,6,3000,6,-0.00905385662898478,0.0038405519013360845,0.0025080719764615116,0.3462861561358449,0.34375,-0.010450920288584253,0.0037560109093037193,-0.007213205127045513,0.0017705935776854552,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,50,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,7.104919754783623e-05,-0.00045393393244327554,0.0006589247194249762,0.0002848665174500163,0.5008333333333334,6,3000,6,-0.000903927387497633,0.0010460257825933054,0.00037928245330657846,0.8587699140510174,1.0,-0.0005326301316183605,0.002738216664851904,-0.00042433854536890673,0.0008439662257830301,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,100,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04777700922917574,-0.05318678099782361,-0.04228773270780997,0.002796509245994927,0.601,6,3000,6,-0.09523456508282194,-0.0003194533755295492,0.018461795378671025,0.04896207472832196,0.03125,-0.13812639253826864,-0.01807652924977976,-0.08485332197882234,-0.021871049970077976,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,100,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.00659984794507424,-0.01057584943358476,-0.0024239456040939943,0.002070299778387716,0.5163333333333333,6,3000,6,-0.016600573337621945,0.0034008774474734663,0.003890452057937364,0.15056974012205843,0.125,-0.024741483403130142,-0.0002527808050562597,-0.014105203424890836,-0.0006908073065181572,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,100,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.0011785427505771318,-0.0003197409750272827,0.0027274160347878934,0.0007749709447699602,0.49733333333333335,6,3000,6,-0.00038243431602140074,0.002739519817175664,0.000607246594898673,0.10995844653561505,0.09375,-0.0016998721686306885,0.002439094915094836,-2.0121959348519613e-05,0.002181850569943587,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,200,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.042031719067444406,-0.04661600581503784,-0.03747236260116721,0.002303146225522479,0.605,6,3000,6,-0.08700276678521124,0.002939328650322433,0.017494501476018883,0.06142554342283148,0.03125,-0.1254479646726418,-0.01446380671067661,-0.0769158595080177,-0.01768045450250308,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,200,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.0011892002423604332,-0.0007464910944302877,0.0031348873068888965,0.0009792859580872424,0.49033333333333334,6,3000,6,-0.005441448255389864,0.00781984874011073,0.002579434899067886,0.6641358212625615,0.625,-0.004589545659913031,0.012268447832377394,-0.003084602991739909,0.005801812092463176,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,200,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.0007427309850851694,-0.0016429796534279983,0.00012884218618273722,0.000447876183495169,0.5041666666666667,6,3000,6,-0.0030040118891676657,0.0015185499189973271,0.000879676683595154,0.437011161516899,0.375,-0.002485549839760357,0.002309123179652902,-0.0021762546201546987,0.0009523417949676514,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family_horizon,A,500,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.04590819886078437,-0.0493591781752184,-0.0424246840570122,0.0017745640483698402,0.6618333333333334,6,3000,6,-0.08160772410451,-0.010208673617058739,0.013887721740198429,0.02134189985479792,0.03125,-0.10267133700979855,-0.018496051668328697,-0.07288201486816008,-0.024038595279057818,,,False,env_mean_t,True,True,0,True,10000
