test,level,cell,rec_a,rec_b,n_policies,kendall_tau
A,cell,beta_good_common_T1000_cap64,empirical,lcb,36,0.9928315412186378
A,cell,beta_good_common_T1000_cap64,empirical,oracle_prior,36,0.9928315412186378
A,cell,beta_good_common_T1000_cap64,empirical,posterior_mean,36,0.9928315412186378
A,cell,beta_good_common_T1000_cap64,empirical,posterior_mean_shrunk,36,0.9928315412186378
A,cell,beta_good_common_T1000_cap64,lcb,oracle_prior,36,0.9999999999999998
A,cell,beta_good_common_T1000_cap64,lcb,posterior_mean,36,0.9999999999999998
A,cell,beta_good_common_T1000_cap64,lcb,posterior_mean_shrunk,36,0.9999999999999998
A,cell,beta_good_common_T1000_cap64,oracle_prior,posterior_mean,36,0.9999999999999998
A,cell,beta_good_common_T1000_cap64,oracle_prior,posterior_mean_shrunk,36,0.9999999999999998
A,cell,beta_good_common_T1000_cap64,posterior_mean,posterior_mean_shrunk,36,0.9999999999999998
A,cell,beta_good_common_T100_cap64,empirical,lcb,36,0.7216
A,cell,beta_good_common_T100_cap64,empirical,oracle_prior,36,0.7184
A,cell,beta_good_common_T100_cap64,empirical,posterior_mean,36,0.7152
A,cell,beta_good_common_T100_cap64,empirical,posterior_mean_shrunk,36,0.7216
A,cell,beta_good_common_T100_cap64,lcb,oracle_prior,36,0.9968
A,cell,beta_good_common_T100_cap64,lcb,posterior_mean,36,0.9936
A,cell,beta_good_common_T100_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,beta_good_common_T100_cap64,oracle_prior,posterior_mean,36,0.9904000000000001
A,cell,beta_good_common_T100_cap64,oracle_prior,posterior_mean_shrunk,36,0.9968
A,cell,beta_good_common_T100_cap64,posterior_mean,posterior_mean_shrunk,36,0.9936
A,cell,beta_good_common_T200_cap64,empirical,lcb,36,0.6135297519264958
A,cell,beta_good_common_T200_cap64,empirical,oracle_prior,36,0.6167503805455326
A,cell,beta_good_common_T200_cap64,empirical,posterior_mean,36,0.623191637783606
A,cell,beta_good_common_T200_cap64,empirical,posterior_mean_shrunk,36,0.6167503805455326
A,cell,beta_good_common_T200_cap64,lcb,oracle_prior,36,0.9967897271268059
A,cell,beta_good_common_T200_cap64,lcb,posterior_mean,36,0.9903691813804175
A,cell,beta_good_common_T200_cap64,lcb,posterior_mean_shrunk,36,0.9967897271268059
A,cell,beta_good_common_T200_cap64,oracle_prior,posterior_mean,36,0.9935794542536117
A,cell,beta_good_common_T200_cap64,oracle_prior,posterior_mean_shrunk,36,0.9935794542536117
A,cell,beta_good_common_T200_cap64,posterior_mean,posterior_mean_shrunk,36,0.9871589085072233
A,cell,beta_good_common_T500_cap64,empirical,lcb,36,0.8819716018871482
A,cell,beta_good_common_T500_cap64,empirical,oracle_prior,36,0.893088890986566
A,cell,beta_good_common_T500_cap64,empirical,posterior_mean,36,0.8967946540197054
A,cell,beta_good_common_T500_cap64,empirical,posterior_mean_shrunk,36,0.893088890986566
A,cell,beta_good_common_T500_cap64,lcb,oracle_prior,36,0.9892473118279571
A,cell,beta_good_common_T500_cap64,lcb,posterior_mean,36,0.9856630824372761
A,cell,beta_good_common_T500_cap64,lcb,posterior_mean_shrunk,36,0.9892473118279571
A,cell,beta_good_common_T500_cap64,oracle_prior,posterior_mean,36,0.9964157706093191
A,cell,beta_good_common_T500_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,beta_good_common_T500_cap64,posterior_mean,posterior_mean_shrunk,36,0.9964157706093191
A,cell,beta_good_common_T50_cap64,empirical,lcb,36,0.7609708409821937
A,cell,beta_good_common_T50_cap64,empirical,oracle_prior,36,0.7609708409821937
A,cell,beta_good_common_T50_cap64,empirical,posterior_mean,36,0.7609708409821937
A,cell,beta_good_common_T50_cap64,empirical,posterior_mean_shrunk,36,0.7609708409821937
A,cell,beta_good_common_T50_cap64,lcb,oracle_prior,36,1.0
A,cell,beta_good_common_T50_cap64,lcb,posterior_mean,36,1.0
A,cell,beta_good_common_T50_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,beta_good_common_T50_cap64,oracle_prior,posterior_mean,36,1.0
A,cell,beta_good_common_T50_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,beta_good_common_T50_cap64,posterior_mean,posterior_mean_shrunk,36,1.0
A,cell,beta_mostly_mediocre_T1000_cap64,empirical,lcb,36,1.0
A,cell,beta_mostly_mediocre_T1000_cap64,empirical,oracle_prior,36,1.0
A,cell,beta_mostly_mediocre_T1000_cap64,empirical,posterior_mean,36,1.0
A,cell,beta_mostly_mediocre_T1000_cap64,empirical,posterior_mean_shrunk,36,1.0
A,cell,beta_mostly_mediocre_T1000_cap64,lcb,oracle_prior,36,1.0
A,cell,beta_mostly_mediocre_T1000_cap64,lcb,posterior_mean,36,1.0
A,cell,beta_mostly_mediocre_T1000_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,beta_mostly_mediocre_T1000_cap64,oracle_prior,posterior_mean,36,1.0
A,cell,beta_mostly_mediocre_T1000_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,beta_mostly_mediocre_T1000_cap64,posterior_mean,posterior_mean_shrunk,36,1.0
A,cell,beta_mostly_mediocre_T100_cap64,empirical,lcb,36,0.5254777070063694
A,cell,beta_mostly_mediocre_T100_cap64,empirical,oracle_prior,36,0.5127388535031847
A,cell,beta_mostly_mediocre_T100_cap64,empirical,posterior_mean,36,0.5636942675159236
A,cell,beta_mostly_mediocre_T100_cap64,empirical,posterior_mean_shrunk,36,0.5318471337579618
A,cell,beta_mostly_mediocre_T100_cap64,lcb,oracle_prior,36,0.9745222929936306
A,cell,beta_mostly_mediocre_T100_cap64,lcb,posterior_mean,36,0.9044585987261147
A,cell,beta_mostly_mediocre_T100_cap64,lcb,posterior_mean_shrunk,36,0.9745222929936306
A,cell,beta_mostly_mediocre_T100_cap64,oracle_prior,posterior_mean,36,0.8980891719745222
A,cell,beta_mostly_mediocre_T100_cap64,oracle_prior,posterior_mean_shrunk,36,0.9617834394904459
A,cell,beta_mostly_mediocre_T100_cap64,posterior_mean,posterior_mean_shrunk,36,0.9171974522292994
A,cell,beta_mostly_mediocre_T200_cap64,empirical,lcb,36,0.6025848142164782
A,cell,beta_mostly_mediocre_T200_cap64,empirical,oracle_prior,36,0.6025848142164782
A,cell,beta_mostly_mediocre_T200_cap64,empirical,posterior_mean,36,0.6510500807754442
A,cell,beta_mostly_mediocre_T200_cap64,empirical,posterior_mean_shrunk,36,0.592891760904685
A,cell,beta_mostly_mediocre_T200_cap64,lcb,oracle_prior,36,0.9806138933764136
A,cell,beta_mostly_mediocre_T200_cap64,lcb,posterior_mean,36,0.9127625201938611
A,cell,beta_mostly_mediocre_T200_cap64,lcb,posterior_mean_shrunk,36,0.9773828756058159
A,cell,beta_mostly_mediocre_T200_cap64,oracle_prior,posterior_mean,36,0.9063004846526656
A,cell,beta_mostly_mediocre_T200_cap64,oracle_prior,posterior_mean_shrunk,36,0.9773828756058159
A,cell,beta_mostly_mediocre_T200_cap64,posterior_mean,posterior_mean_shrunk,36,0.8966074313408724
A,cell,beta_mostly_mediocre_T500_cap64,empirical,lcb,36,0.7223529411764705
A,cell,beta_mostly_mediocre_T500_cap64,empirical,oracle_prior,36,0.7223529411764705
A,cell,beta_mostly_mediocre_T500_cap64,empirical,posterior_mean,36,0.9905882352941174
A,cell,beta_mostly_mediocre_T500_cap64,empirical,posterior_mean_shrunk,36,0.7223529411764705
A,cell,beta_mostly_mediocre_T500_cap64,lcb,oracle_prior,36,0.9999999999999998
A,cell,beta_mostly_mediocre_T500_cap64,lcb,posterior_mean,36,0.7317647058823529
A,cell,beta_mostly_mediocre_T500_cap64,lcb,posterior_mean_shrunk,36,0.9999999999999998
A,cell,beta_mostly_mediocre_T500_cap64,oracle_prior,posterior_mean,36,0.7317647058823529
A,cell,beta_mostly_mediocre_T500_cap64,oracle_prior,posterior_mean_shrunk,36,0.9999999999999998
A,cell,beta_mostly_mediocre_T500_cap64,posterior_mean,posterior_mean_shrunk,36,0.7317647058823529
A,cell,beta_mostly_mediocre_T50_cap64,empirical,lcb,36,0.7664
A,cell,beta_mostly_mediocre_T50_cap64,empirical,oracle_prior,36,0.7696
A,cell,beta_mostly_mediocre_T50_cap64,empirical,posterior_mean,36,0.7440000000000001
A,cell,beta_mostly_mediocre_T50_cap64,empirical,posterior_mean_shrunk,36,0.7728
A,cell,beta_mostly_mediocre_T50_cap64,lcb,oracle_prior,36,0.9968
A,cell,beta_mostly_mediocre_T50_cap64,lcb,posterior_mean,36,0.9392
A,cell,beta_mostly_mediocre_T50_cap64,lcb,posterior_mean_shrunk,36,0.9936
A,cell,beta_mostly_mediocre_T50_cap64,oracle_prior,posterior_mean,36,0.9359999999999999
A,cell,beta_mostly_mediocre_T50_cap64,oracle_prior,posterior_mean_shrunk,36,0.9968
A,cell,beta_mostly_mediocre_T50_cap64,posterior_mean,posterior_mean_shrunk,36,0.9328
A,cell,beta_rare_excellent_T1000_cap64,empirical,lcb,36,1.0
A,cell,beta_rare_excellent_T1000_cap64,empirical,oracle_prior,36,1.0
A,cell,beta_rare_excellent_T1000_cap64,empirical,posterior_mean,36,1.0
A,cell,beta_rare_excellent_T1000_cap64,empirical,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T1000_cap64,lcb,oracle_prior,36,1.0
A,cell,beta_rare_excellent_T1000_cap64,lcb,posterior_mean,36,1.0
A,cell,beta_rare_excellent_T1000_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T1000_cap64,oracle_prior,posterior_mean,36,1.0
A,cell,beta_rare_excellent_T1000_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T1000_cap64,posterior_mean,posterior_mean_shrunk,36,1.0
A,cell,beta_rare_excellent_T100_cap64,empirical,lcb,36,0.8870967741935484
A,cell,beta_rare_excellent_T100_cap64,empirical,oracle_prior,36,0.8806451612903226
A,cell,beta_rare_excellent_T100_cap64,empirical,posterior_mean,36,0.9258064516129032
