test,cell,policy,env_id,family,horizon,cap,n_states,n_decisions,search_rate,mean_oracle_I_t,mean_oracle_p_t,mean_est_I_hat,mean_est_p,auc_oracle_I_for_decision,auc_oracle_p_for_decision,auc_est_I_hat_for_decision,auc_est_p_for_decision,auc_model_p_for_decision,corr_decision_oracle_I,corr_decision_oracle_p,corr_model_p_oracle_I,spearman_model_p_oracle_I,n_inclinations,inclination_rate,auc_oracle_I_for_inclination,spearman_est_I_hat_oracle_I,spearman_est_p_oracle_p,offline_label_auc_oracle_p_new_beats_best_true,offline_label_auc_oracle_I_t,offline_label_auc_est_p_new_beats_incumbent,offline_label_auc_est_I_hat
A,beta_good_common_T1000_cap64,phi_k16,beta_good_common,A,1000,64,3072,2944,0.012228260869565218,0.0002589479384805078,0.015722396170426974,0.00019951121145101355,0.008649865453557275,0.6559443298181262,0.6559443298181262,0.8722489683631361,0.8423410515054255,0.9261137857252024,0.020257526331766283,0.034805077184332116,0.07693094309884552,0.02415165003357931,3072,0.3984375,0.529049688057041,0.3854625123478071,0.3591667784943917,0.6810469516485198,0.755790805902695,0.5310656912331957,0.5031510078392406
A,beta_good_common_T1000_cap64,phi_k16_all71,beta_good_common,A,1000,64,3072,2944,0.021739130434782608,0.0002597791909085537,0.015748477175197593,0.00019818731226005178,0.008581458325947757,0.6202067057291666,0.6202067057291666,0.89501953125,0.8685329861111111,0.9412217881944445,0.05929499915469762,0.06382759819259855,0.06544391906343737,0.02282736746810244,3072,0.2998046875,0.5354379020237034,0.38445158243891997,0.3577259303461291,0.6810469516485198,0.755790805902695,0.5310656912331957,0.5031510078392406
A,beta_good_common_T1000_cap64,phi_k16_clock,beta_good_common,A,1000,64,3072,2944,0.043478260869565216,0.000252722160649875,0.01552745283078836,0.0011156130909285118,0.01868032420653044,0.594482421875,0.594482421875,1.0,1.0,1.0,0.05346917125190883,0.0632635076607542,0.012824529217825538,0.022656754416818525,3072,1.0,,0.3815558836689833,0.3560659781486503,0.6810469516485198,0.755790805902695,0.5310656912331957,0.5031510078392406
A,beta_good_common_T1000_cap64,phi_k16_cs,beta_good_common,A,1000,64,3072,2944,0.01358695652173913,0.00025939290810907844,0.015739740057511872,0.00019861091839474838,0.008625848021484176,0.6531336088154269,0.6531336088154269,0.8559486914600551,0.8209280303030303,0.915659435261708,0.024000076260771386,0.0384726078592019,0.07610398082402031,0.024525512381238086,3072,0.4020182291666667,0.5265553545099717,0.3863914007918556,0.3599799435925976,0.6810469516485198,0.755790805902695,0.5310656912331957,0.5031510078392406
A,beta_good_common_T1000_cap64,phi_k16_quality,beta_good_common,A,1000,64,3072,2944,0.017663043478260868,0.0002599853496558984,0.01575431829990585,0.00019240223517086988,0.008532527741403123,0.6320951696989041,0.6320951696989041,0.9222590169166932,0.9041387381636344,0.9374667517821045,0.06266561240303409,0.06513206059386564,0.055860927786689295,-0.005073358615793056,3072,0.36328125,0.5189278371484486,0.3859395581252325,0.3597817267354112,0.6810469516485198,0.755790805902695,0.5310656912331957,0.5031510078392406
A,beta_good_common_T1000_cap64,rule_reservoir,beta_good_common,A,1000,64,3072,2944,0.043478260869565216,0.000252722160649875,0.01552745283078836,0.0011156130909285118,0.01868032420653044,0.594482421875,0.594482421875,1.0,1.0,,0.05346917125190883,0.0632635076607542,,,0,,,0.3815558836689833,0.3560659781486503,0.6810469516485198,0.755790805902695,0.5310656912331957,0.5031510078392406
A,beta_good_common_T100_cap64,phi_k16,beta_good_common,A,100,64,3072,2944,0.17391304347826086,0.0022062019483346513,0.05528929784834735,0.006384323873331005,0.07896514953169562,0.6520919799804688,0.6520919799804688,0.999677959241365,0.9989688270970394,0.7696766100431743,0.30151019233507387,0.3324317941130449,0.43705782817802996,0.2475020450339391,3072,0.049479166666666664,0.7930909787310744,0.19332185998162463,0.1568979993991974,0.8477575630565284,0.8946424089234634,0.585643393994592,0.6227817527505852
A,beta_good_common_T100_cap64,phi_k16_all71,beta_good_common,A,100,64,3072,2944,0.17798913043478262,0.0022004945621386432,0.05506749911942316,0.006384089699079078,0.07895674456317783,0.6519533467920005,0.6519533467920005,0.9771993880512271,0.9763500725506278,0.6723148381805564,0.29770138531309226,0.32969388484124335,0.40888994425336694,0.21009091932838356,3072,0.0537109375,0.7850392469587516,0.20482979700893736,0.16880566231951966,0.8477575630565284,0.8946424089234634,0.585643393994592,0.6227817527505852
A,beta_good_common_T100_cap64,phi_k16_clock,beta_good_common,A,100,64,3072,2944,0.34782608695652173,0.0015749645898843565,0.039400396406385714,0.009851294113142225,0.1125748483086063,0.64984130859375,0.64984130859375,0.9998881022135416,0.9996236165364584,1.0,0.23083285338963322,0.3207531647754645,0.4173811451795384,0.24779582997363148,3072,0.2916666666666667,0.6702778279280462,0.25055957763790165,0.23420447456485863,0.8477575630565284,0.8946424089234634,0.585643393994592,0.6227817527505852
A,beta_good_common_T100_cap64,phi_k16_cs,beta_good_common,A,100,64,3072,2944,0.17391304347826086,0.0022062019483346513,0.05528929784834735,0.006384323873331005,0.07896514953169562,0.6520919799804688,0.6520919799804688,0.999677959241365,0.9989688270970394,0.7682374653063322,0.30151019233507387,0.3324317941130449,0.4370739774246982,0.24565746896298318,3072,0.049479166666666664,0.7930909787310744,0.19332185998162463,0.1568979993991974,0.8477575630565284,0.8946424089234634,0.585643393994592,0.6227817527505852
