test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_degenerate,evaluated,ref_tuned,params_tuned,n_cells_excluded_untuned
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,always_search,cp0,ok,0.05548804162225679,0.05125752313178964,0.05967400913941674,0.002133073252188456,0.375,4,8000,4,0.01951294691799194,0.09146313632652164,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,fixed_K16,cp0,ok,-0.03782044339316417,-0.04118096972815692,-0.03447292341152206,0.0016836775456893541,0.5674999999999999,4,8000,4,-0.07825399834946802,-0.01472132371904445,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,p3_star,cp0,ok,-0.0384086952115631,-0.0419656427053269,-0.03478383441979531,0.0018059348229849492,0.5634375,4,8000,4,-0.08404917050177937,-0.011182328570634127,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k1,cp0,ok,-0.04972947857058352,-0.05344050772255286,-0.04594978628447279,0.0018850684319614169,0.5836250000000001,4,8000,4,-0.10900208879479215,-0.01862092250585556,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_all71,cp0,ok,-0.042942585258782855,-0.04657760451664217,-0.03925747346947901,0.0018608172476855234,0.57175,4,8000,4,-0.09733872961004271,-0.01361483179274728,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_clock,cp0,ok,-0.03601046361512089,-0.03978836447386129,-0.03222420304955449,0.0019388709019697676,0.5465625000000001,4,8000,4,-0.10186513905455831,0.008617490760982036,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_cs,cp0,ok,-0.042767882544585516,-0.04640988189494237,-0.039086646743817254,0.0018602361697656127,0.57125,4,8000,4,-0.09707042435866788,-0.01339721090867897,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_famA_only,cp0,ok,-0.044023710011677396,-0.04760131972143426,-0.04047780410037376,0.0018027067371753276,0.5740000000000001,4,8000,4,-0.09483395274444956,-0.015024802312254906,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_famB_only,cp0,ok,-0.0426384777687872,-0.04627558364300057,-0.03892121391836554,0.0018604925696045923,0.57125,4,8000,4,-0.09698152874347762,-0.013097892196474276,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_guard,cp0,ok,-0.038548162197183045,-0.04191091852262616,-0.03514718429796631,0.001716042528918514,0.5686875,4,8000,4,-0.08040567887196995,-0.014791665525612188,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_hgb,cp0,ok,-0.04071721236956546,-0.04438692395924591,-0.03701451483066194,0.0018819476891346984,0.5640000000000001,4,8000,4,-0.09275809602959088,-0.012496535167098045,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_lucb,cp0,ok,-0.04261924586448913,-0.04624753508833237,-0.0389236697810702,0.0018605297410062948,0.5713125,4,8000,4,-0.09710711179238751,-0.012914613434670172,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_noT1000,cp0,ok,-0.024061188254987428,-0.027895984693168428,-0.02025850972495391,0.0019463151638159165,0.5416875,4,8000,4,-0.059330587950260444,-0.0008686954583026817,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_noT200,cp0,ok,-0.04269643132392412,-0.046338784840190786,-0.03899764763773419,0.0018599124469293711,0.571375,4,8000,4,-0.0971023421430309,-0.013150939462331736,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_noambig,cp0,ok,-0.0351931672581286,-0.03893468421010766,-0.031383398435900746,0.001921450748590477,0.5605,4,8000,4,-0.08371787310691253,-0.007989283056020213,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_nopolicy,cp0,ok,-0.042171105188304865,-0.04564887766027823,-0.03864107291446999,0.0017759240341414357,0.5729375000000001,4,8000,4,-0.09069767960237551,-0.015024802312254906,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_notrunc,cp0,ok,-0.043730162402642235,-0.047385046101408076,-0.04006905687274411,0.0018517605173090645,0.5716875,4,8000,4,-0.09806550209767192,-0.014916867237618136,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_onpolicy_only,cp0,ok,-0.04640294007659941,-0.05006342142005451,-0.04268763679719996,0.001886355567232398,0.5775625000000001,4,8000,4,-0.10619950866229375,-0.013110927274909045,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_onpolicy_union,cp0,ok,-0.04292240583630519,-0.046555911906762046,-0.03922252031043172,0.0018829114103886045,0.571875,4,8000,4,-0.09799326463388752,-0.013210722810192237,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_perstep,cp0,ok,-0.052704637669159636,-0.05629363607149571,-0.049126179539598525,0.0018310486453556002,0.5875625,4,8000,4,-0.11595376599925113,-0.015832162268459796,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_quality,cp0,ok,-0.042925788612248654,-0.04657555571757257,-0.039251727057853715,0.0018595187444112422,0.5706875,4,8000,4,-0.09684763944505721,-0.014162249055887515,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_tau05,cp0,ok,-0.042767882544585516,-0.04640988189494237,-0.039086646743817254,0.0018602361697656127,0.57125,4,8000,4,-0.09707042435866788,-0.01339721090867897,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_weighted,cp0,ok,-0.03836854642523577,-0.042021007402217946,-0.03463688340852968,0.00187768410235184,0.563375,4,8000,4,-0.0903412474747729,-0.0089328150190413,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k4,cp0,ok,-0.04850109199348117,-0.05221440619789064,-0.04482819468539674,0.0018701388004390596,0.581,4,8000,4,-0.10716385748896753,-0.016480212680995466,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_reservoir_rule,cp0,ok,-0.035928717959972344,-0.03962400090531446,-0.03217685375129804,0.0019062831423583165,0.5491875,4,8000,4,-0.10094203425636988,0.008046916730701924,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_sf_k16,cp0,ok,-0.04184069764059131,-0.04547644220874645,-0.03818482941715047,0.0018640286982003144,0.5705625,4,8000,4,-0.09682753725101247,-0.010858543304351771,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_sf_k16_noT1000,cp0,ok,-0.03931606236546395,-0.04291911845793947,-0.03563956994912587,0.0018570734785529344,0.5651875,4,8000,4,-0.08766436016357511,-0.013221327300041594,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,power_a0.25,cp0,ok,-0.0384086952115631,-0.0419656427053269,-0.03478383441979531,0.0018059348229849492,0.5634375,4,8000,4,-0.08404917050177937,-0.011182328570634127,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,power_a0.33,cp0,ok,-0.03798195121545541,-0.04163303591776639,-0.03435745297465474,0.0018299304539988704,0.5645625,4,8000,4,-0.0852448200662202,-0.010041587710380554,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,power_a0.5,cp0,ok,-0.03754561728360022,-0.04114596325089224,-0.033965887186059265,0.0018077291136425811,0.5628125,4,8000,4,-0.08380961253146416,-0.009209483850747347,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,power_a0.67,cp0,ok,-0.03458048772388611,-0.03821736114914529,-0.030858566037204584,0.0018658035936052273,0.5554375,4,8000,4,-0.08710419013221872,-0.0021564089283347128,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,refine_after_init,cp0,ok,-0.01513294739043158,-0.017281559386174195,-0.013058913240092807,0.0010637987006208904,0.52825,4,8000,4,-0.026795434457564625,-0.0077961215933028145,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,rule_reservoir,cp0,ok,-0.01894165085746681,-0.02234942422203403,-0.015555316096288152,0.0017235200708510961,0.520375,4,8000,4,-0.06505282203552087,0.01720965451747179,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,uniform,cp0,ok,-0.02794989631120006,-0.031623929948182194,-0.0243000219714304,0.001854666017170862,0.5396875,4,8000,4,-0.07786341509783415,0.005342673465609551,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,always_search,p3_star,ok,0.09389673683381988,0.08974057901650667,0.09802767829969525,0.0021061385908642217,0.3138125,4,8000,4,0.058623534054699125,0.12436164349911269,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,cp0,p3_star,ok,0.0384086952115631,0.03478383441979531,0.0419656427053269,0.0018059348229849492,0.4365625,4,8000,4,0.011182328570634127,0.08404917050177937,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,fixed_K16,p3_star,ok,0.0005882518183989304,-0.0018438188119034742,0.0030459960762527767,0.0012369989791847628,0.5008125,4,8000,4,-0.005841597738315614,0.007507716187477854,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k1,p3_star,ok,-0.011320783359020425,-0.01396990548382746,-0.008659367287327772,0.0013639112307028717,0.5193125000000001,4,8000,4,-0.024446922505332626,-0.0020768336365072173,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_all71,p3_star,ok,-0.004533890047219756,-0.007086499438992177,-0.0020187866277410656,0.001322292838417653,0.50275,4,8000,4,-0.012068193559593054,0.0017280937704636018,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_clock,p3_star,ok,0.0023982315964421992,-0.0006331808464892655,0.005402849792153574,0.0015445022945734662,0.48043749999999996,4,8000,4,-0.017815968552778942,0.01979981933161616,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_cs,p3_star,ok,-0.004359187333022419,-0.006925576486992213,-0.001825965101306793,0.0013205628759112244,0.5020625,4,8000,4,-0.01173371168138692,0.0018986290312750496,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_famA_only,p3_star,ok,-0.005615014800114296,-0.007983775589673314,-0.003281962837854736,0.0012122979288940782,0.507625,4,8000,4,-0.00999234122260168,-0.0021040069790542477,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_famB_only,p3_star,ok,-0.004229782557224098,-0.006787581442551981,-0.0017075400577596163,0.0013229695193710568,0.5018125,4,8000,4,-0.011545043162128423,0.002098174839411513,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_guard,p3_star,ok,-0.00013946698561994719,-0.002381789099308662,0.002083857573597925,0.0011392269900927416,0.5035,4,8000,4,-0.005039413823094947,0.005065193757713133,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_hgb,p3_star,ok,-0.00230851715800236,-0.004995706437148328,0.00036344439213280565,0.0013791170614660664,0.4975,4,8000,4,-0.008628068578720558,0.003016723701177398,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_lucb,p3_star,ok,-0.0042105506529260305,-0.006761089207429904,-0.0016830692096846192,0.0013204773837145916,0.5015000000000001,4,8000,4,-0.011609533290436956,0.0022203606806142488,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_noT1000,p3_star,ok,0.01434750695657567,0.011235681711696088,0.017451605459791606,0.0016025009024215836,0.46943749999999995,4,8000,4,0.0017317503280937666,0.026963263585057573,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_noT200,p3_star,ok,-0.0042877361123610175,-0.006850652802040713,-0.0017734941764501859,0.0013229863724152045,0.502125,4,8000,4,-0.011683538983634207,0.002062809995506541,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_noambig,p3_star,ok,0.0032155279534345025,0.0003139702821499674,0.006203783334058244,0.0015093259184340492,0.48906249999999996,4,8000,4,-0.002766809402033687,0.009432193336222553,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_nopolicy,p3_star,ok,-0.003762409976741765,-0.005963713943310722,-0.001576974687122857,0.00111753369924363,0.50675,4,8000,4,-0.00636850719312497,-0.0011563127603585598,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_notrunc,p3_star,ok,-0.005321467191079137,-0.00784853552486311,-0.0028225041914083718,0.001315628802404026,0.5050625,4,8000,4,-0.013173323945666199,0.0010242410052997,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_onpolicy_only,p3_star,ok,-0.007994244865036308,-0.010702151918758318,-0.005292722883496027,0.00139159645622726,0.5080625,4,8000,4,-0.02084587717802424,0.0007145701696645119,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_onpolicy_union,p3_star,ok,-0.0045137106247420886,-0.007224368119204882,-0.001818667512270624,0.0013915606912516527,0.5033125,4,8000,4,-0.012639852974039969,0.002204809297982138,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_perstep,p3_star,ok,-0.014295942457596538,-0.017192565131699665,-0.011301016753714066,0.0014893970418977855,0.5225624999999999,4,8000,4,-0.031904595497471745,-0.004484203422820428,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_quality,p3_star,ok,-0.004517093400685553,-0.007081398172886111,-0.0020012745552776333,0.0013204970724065548,0.50275,4,8000,4,-0.011777361988613847,0.001685201810552826,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_tau05,p3_star,ok,-0.004359187333022419,-0.006925576486992213,-0.001825965101306793,0.0013205628759112244,0.5020625,4,8000,4,-0.011733711681386922,0.0018986290312750496,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_weighted,p3_star,ok,4.0148786327336193e-05,-0.002640889689791947,0.0027220768432016464,0.0013804080401994176,0.4930625,4,8000,4,-0.006414914348744787,0.006495211921399459,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k4,p3_star,ok,-0.010092396781918068,-0.012746281734143848,-0.007411491354787361,0.0013781890326213858,0.5168125,4,8000,4,-0.021853197607037148,-0.002065658133869874,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_reservoir_rule,p3_star,ok,0.002479977251590752,-0.00027056017206632526,0.005258320020948303,0.0014385999271299746,0.47806250000000006,4,8000,4,-0.01689286375459051,0.01922924530133605,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_sf_k16,p3_star,ok,-0.003432002429028216,-0.006001375192136038,-0.0008786383230471993,0.0013288040070264563,0.49931250000000005,4,8000,4,-0.01064460203895578,0.003591074100826518,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_sf_k16_noT1000,p3_star,ok,-0.0009073671539008501,-0.003372901513648685,0.0015666208928450925,0.0012866188537378775,0.49568749999999995,4,8000,4,-0.004360875038430094,0.0033969805760061724,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,power_a0.25,p3_star,ok,0.0,0.0,0.0,0.0,0.5,4,8000,4,0.0,0.0,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,power_a0.33,p3_star,ok,0.00042674399610768894,-0.0012395412470141308,0.0020510209748863415,0.0008573220183128976,0.495,4,8000,4,-0.0010804942337454121,0.0013710515216444038,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,power_a0.5,p3_star,ok,0.0008630779279628768,3.583185844036058e-05,0.0016772594211943213,0.00041829534355247445,0.49687499999999996,4,8000,4,-0.0005128378962399438,0.002908564940094948,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,power_a0.67,p3_star,ok,0.003828207487676992,0.0016574375771597268,0.006041492366057353,0.0011240737193976525,0.4824375,4,8000,4,-0.0030550196304393465,0.009809292833553626,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,refine_after_init,p3_star,ok,0.02327574782113152,0.019852936341703754,0.026655610011039242,0.001726273900250611,0.465,4,8000,4,0.0029721812047064306,0.058110033619152096,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,rule_reservoir,p3_star,ok,0.01946704435409629,0.016546331682002348,0.022425681548338617,0.0015026160496589356,0.45600000000000007,4,8000,4,0.005774713530176086,0.034710612399503585,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,uniform,p3_star,ok,0.010458798900363036,0.008094292343957931,0.012775057766702956,0.001216301272146976,0.46968750000000004,4,8000,4,0.004392595764482393,0.01652500203624368,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,always_search,phi_k16,ok,0.09825592416684231,0.0942107816110365,0.1021208712598309,0.002014458531114551,0.31375,4,8000,4,0.057041134790059005,0.13497864719643257,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,cp0,phi_k16,ok,0.042767882544585516,0.039086646743817254,0.04640988189494237,0.0018602361697656127,0.42874999999999996,4,8000,4,0.01339721090867897,0.09707042435866788,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,fixed_K16,phi_k16,ok,0.004947439151421349,0.0021015852871641982,0.0077997852759835945,0.0014468448327566664,0.498625,4,8000,4,-0.002649995744570333,0.01881642600919986,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,p3_star,phi_k16,ok,0.004359187333022419,0.0018259651013067927,0.006925576486992213,0.0013205628759112244,0.49793750000000003,4,8000,4,-0.0018986290312750496,0.01173371168138692,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k1,phi_k16,ok,-0.006961596025998006,-0.008918105646444019,-0.004982376208863571,0.0009968293016144718,0.5171250000000001,4,8000,4,-0.012168324877420674,-0.003422572459850926,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_all71,phi_k16,ok,-0.00017470271419733763,-0.0003698598785376817,1.6041049667592153e-05,9.900528143335694e-05,0.500875,4,8000,4,-0.00031122342124581336,-3.818200714886189e-05,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_clock,phi_k16,ok,0.006757418929464621,0.004371203049595351,0.009098402118252124,0.0012152148698128952,0.4766875,4,8000,4,-0.009211231055007374,0.022726068913936616,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_cs,phi_k16,ok,0.0,0.0,0.0,0.0,0.5,4,8000,4,0.0,0.0,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_famA_only,phi_k16,ok,-0.0012558274670918762,-0.0031150053298915734,0.0006355684228765312,0.0009630258852117655,0.5073125,4,8000,4,-0.0046296177765434545,0.0017783595345681534,False,True,True,True,0
