test,recommender,hypothesis,offline,deployed,n_variants,rho,lo,hi
A,empirical,H3,oof_auc,pooled,22,0.13382269904009034,-0.3795920515930608,0.6045693025602219
A,empirical,H3,oof_auc,family:A,22,0.12365894974590627,-0.42369840520767565,0.5995746858395897
A,empirical,H3,oof_auc,family:B,22,0.11801242236024845,-0.4148081981445008,0.5827822120866584
A,empirical,H3,oof_bal_acc,pooled,22,0.08977978543195934,-0.40968176886404734,0.5551952815360492
A,empirical,H3,oof_bal_acc,family:A,22,0.07171089779785432,-0.42504278379920124,0.5500040284548042
A,empirical,H3,oof_bal_acc,family:B,22,0.07509881422924901,-0.38974415584415584,0.5178862059494187
A,lcb,H3,oof_auc,pooled,22,-0.017504234895539244,-0.5516742338251986,0.466623004416873
A,lcb,H3,oof_auc,family:A,22,0.01637492941840768,-0.5276390294502147,0.5154228375956994
A,lcb,H3,oof_auc,family:B,22,-0.007340485601355167,-0.5301617528698975,0.5264405478519645
A,lcb,H3,oof_bal_acc,pooled,22,-0.053642010163749296,-0.5770384128378727,0.4850565563468787
A,lcb,H3,oof_bal_acc,family:A,22,-0.032185206098249576,-0.5542005348395432,0.46797976432714444
A,lcb,H3,oof_bal_acc,family:B,22,-0.024280067758328628,-0.5424602925360498,0.49326509962640036
A,oracle_prior,H3,oof_auc,pooled,22,-0.007340485601355167,-0.506545203256665,0.5180077376625314
A,oracle_prior,H3,oof_auc,family:A,22,0.01637492941840768,-0.4930041600527788,0.519152486248288
A,oracle_prior,H3,oof_auc,family:B,22,-0.007340485601355167,-0.5293682539682539,0.509503288616827
A,oracle_prior,H3,oof_bal_acc,pooled,22,-0.044607566346696784,-0.5733478351381314,0.48921115372654683
A,oracle_prior,H3,oof_bal_acc,family:A,22,-0.032185206098249576,-0.5532952163140842,0.47337757480707127
A,oracle_prior,H3,oof_bal_acc,family:B,22,-0.024280067758328628,-0.5483724293464853,0.4829802241522778
A,posterior_mean,H3,oof_auc,pooled,22,0.00846979107848673,-0.5264622373651333,0.5203138402943915
A,posterior_mean,H3,oof_auc,family:A,22,0.026538678712591756,-0.5106269629612223,0.5531615490464624
A,posterior_mean,H3,oof_auc,family:B,22,-0.06267645398080181,-0.573391777291922,0.4559375186793593
A,posterior_mean,H3,oof_bal_acc,pooled,22,-0.045736871823828344,-0.5681580579384191,0.5034312070295556
A,posterior_mean,H3,oof_bal_acc,family:A,22,-0.043478260869565216,-0.5878300948304296,0.4898777084126965
A,posterior_mean,H3,oof_bal_acc,family:B,22,-0.09994353472614342,-0.5758447883007796,0.4458788503861179
A,posterior_mean_shrunk,H3,oof_auc,pooled,22,0.005081874647092038,-0.5270256946074826,0.5236589059246639
A,posterior_mean_shrunk,H3,oof_auc,family:A,22,0.012987012987012988,-0.5281968497038816,0.5265612102660301
A,posterior_mean_shrunk,H3,oof_auc,family:B,22,-0.007340485601355167,-0.5529673871824041,0.5235127545202798
A,posterior_mean_shrunk,H3,oof_bal_acc,pooled,22,-0.03670242800677583,-0.5489841690197215,0.4899864833684885
A,posterior_mean_shrunk,H3,oof_bal_acc,family:A,22,-0.033314511575381144,-0.5398675943855673,0.4516887067249363
A,posterior_mean_shrunk,H3,oof_bal_acc,family:B,22,-0.024280067758328628,-0.5410646822507491,0.49096855537613776
