env_id,family,horizon,rule,K,regret,regret_se,k_final,alpha,c,b,beta,is_mixture
beta_good_common,beta,200,oracle_beta_c0.5,17.0,0.061611852407455446,0.001542695397124653,17.0,,,,2.0,False
beta_good_common,beta,200,oracle_beta_c0.75,26.0,0.0552413472533226,0.0015420028975227662,26.0,,,,2.0,False
beta_good_common,beta,200,ceiling,32.0,0.05453099310398102,0.0015291983013743997,32.0,,,,2.0,False
beta_good_common,beta,200,pooled_K,48.0,0.056108142912387846,0.0016819371248808716,48.0,,,,2.0,False
beta_good_common,beta,200,oracle_beta_c1.0,34.0,0.05586810314655304,0.0016146570159339402,34.0,,,,2.0,False
beta_good_common,beta,200,oracle_beta_c1.5,51.0,0.05612975919246674,0.0016605520859627964,51.0,,,,2.0,False
beta_moderately_rare,beta,200,ceiling,96.0,0.15125422511994838,0.00398396001410875,96.0,,,,5.0,False
beta_moderately_rare,beta,200,pooled_K,48.0,0.15333145692944528,0.0037455504509128473,48.0,,,,5.0,False
beta_good_common,beta,200,oracle_beta_c2.0,68.0,0.05891638612747192,0.0017519774507143875,68.0,,,,2.0,False
beta_good_common,beta,200,oracle_beta_c3.0,103.0,0.07136484849452972,0.0019292097668896085,103.0,,,,2.0,False
beta_good_common,beta,200,level_star,,0.053646567761898044,0.001526750129185502,37.838,0.5,3.0,2.0,2.0,False
beta_good_common,beta,200,p3_star,,0.06368955379724503,0.001828515843473037,76.0,0.3333333333333333,12.9269291522,,2.0,False
beta_moderately_rare,beta,200,level_star,,0.16065442100167274,0.0038759691621548875,57.836,0.5,3.0,2.0,5.0,False
beta_moderately_rare,beta,200,p3_star,,0.1564951665699482,0.004056760772514152,76.0,0.3333333333333333,12.9269291522,,5.0,False
beta_moderately_rare,beta,200,oracle_beta_c0.5,41.0,0.15609304578602315,0.003920666671317329,41.0,,,,5.0,False
beta_moderately_rare,beta,200,oracle_beta_c0.75,62.0,0.15973093050718307,0.003911176496423989,62.0,,,,5.0,False
beta_moderately_rare,beta,200,oracle_beta_c1.0,83.0,0.14987879663705825,0.003923168398395999,83.0,,,,5.0,False
beta_moderately_rare,beta,200,oracle_beta_c1.5,124.0,0.1601351523399353,0.004055102804725696,124.0,,,,5.0,False
beta_moderately_rare,beta,200,oracle_beta_c2.0,165.0,0.20016108696162702,0.004601836580820596,165.0,,,,5.0,False
beta_moderately_rare,beta,200,oracle_beta_c3.0,200.0,0.3976813398860395,0.005278942795089207,200.0,,,,5.0,False
beta_rare_excellent,beta,200,ceiling,48.0,0.16991511788964273,0.003744210265352375,48.0,,,,9.0,False
beta_rare_excellent,beta,200,pooled_K,48.0,0.16991511788964273,0.003744210265352375,48.0,,,,9.0,False
beta_rare_excellent,beta,200,oracle_beta_c0.5,59.0,0.1729726866930723,0.003902524329564204,59.0,,,,9.0,False
beta_rare_excellent,beta,200,oracle_beta_c0.75,88.0,0.18279851616732776,0.003941309630855494,88.0,,,,9.0,False
beta_good_common,beta,1000,oracle_beta_c0.5,50.0,0.03279938620328903,0.0007779005002599732,50.0,,,,2.0,False
beta_good_common,beta,1000,oracle_beta_c0.75,75.0,0.0282858664393425,0.0007194070408690385,75.0,,,,2.0,False
beta_rare_excellent,beta,200,level_star,,0.1679548171069473,0.003890965108167462,68.976,0.5,3.0,2.0,9.0,False
beta_rare_excellent,beta,200,p3_star,,0.17124113947711886,0.003824607662265312,76.0,0.3333333333333333,12.9269291522,,9.0,False
beta_rare_excellent,beta,200,oracle_beta_c1.0,118.0,0.18417492891289294,0.003986114845112011,118.0,,,,9.0,False
