test,source,posthoc,variant,policy,tau,heldout_T,n_cells,regret,regret_lo,regret_hi,search_frac
A,validation,False,all71_k16,,0.3,False,40,0.11446696947473098,,,0.34439303189012827
A,validation,False,all71_k16,,0.4,False,40,0.10968951232100368,,,0.29018666206947274
A,validation,False,all71_k16,,0.5,False,40,0.10905452901630193,,,0.2500806614435926
A,validation,False,all71_k16,,0.6,False,40,0.11028442563877902,,,0.21345329884920278
A,validation,False,all71_k16,,0.7,False,40,0.11593928420877778,,,0.15784841382352166
A,validation,False,clock_k16,,0.3,False,40,0.11383354004656425,,,0.35981465629746695
A,validation,False,clock_k16,,0.4,False,40,0.11216309458453902,,,0.2844487523601344
A,validation,False,clock_k16,,0.5,False,40,0.1148983965576393,,,0.16334491834752246
A,validation,False,clock_k16,,0.6,False,40,0.12143156241278627,,,0.1407575993746613
A,validation,False,clock_k16,,0.7,False,40,0.13236633181718638,,,0.12831987251532015
A,validation,False,clock_quality_cs_k16,,0.3,False,40,0.1134100540634128,,,0.33938137449989947
A,validation,False,clock_quality_cs_k16,,0.4,False,40,0.10975249826571667,,,0.28581823287961494
A,validation,False,clock_quality_cs_k16,,0.5,False,40,0.10911313442236274,,,0.24368678414093728
A,validation,False,clock_quality_cs_k16,,0.6,False,40,0.11058162996403405,,,0.2080058762437238
A,validation,False,clock_quality_cs_k16,,0.7,False,40,0.11569704180347029,,,0.1592741815227716
A,validation,False,clock_quality_evidence_k1,,0.3,False,40,0.10974320770134213,,,0.3275070457532493
A,validation,False,clock_quality_evidence_k1,,0.4,False,40,0.10823599428688171,,,0.281104954045354
A,validation,False,clock_quality_evidence_k1,,0.5,False,40,0.1088400998832512,,,0.22215809837126618
A,validation,False,clock_quality_evidence_k1,,0.6,False,40,0.11528108452612065,,,0.1515150031685437
A,validation,False,clock_quality_evidence_k1,,0.7,False,40,0.16364865434248782,,,0.06618109890813928
A,validation,False,clock_quality_evidence_k16,,0.3,False,40,0.1133657646905514,,,0.33910641057493557
A,validation,False,clock_quality_evidence_k16,,0.4,False,40,0.10979302449933018,,,0.2859344563386956
A,validation,False,clock_quality_evidence_k16,,0.5,False,40,0.10907609183771998,,,0.2437849526964208
A,validation,False,clock_quality_evidence_k16,,0.6,False,40,0.11058724099441893,,,0.20797955675304375
A,validation,False,clock_quality_evidence_k16,,0.7,False,40,0.11566490220787233,,,0.1593301291346405
A,validation,False,clock_quality_evidence_k16_famA_only,,0.3,False,40,0.11054052781790955,,,0.3177874041845006
A,validation,False,clock_quality_evidence_k16_famA_only,,0.4,False,40,0.10974852764320091,,,0.2764764682949933
A,validation,False,clock_quality_evidence_k16_famA_only,,0.5,False,40,0.11008548609286076,,,0.2426604908415803
A,validation,False,clock_quality_evidence_k16_famA_only,,0.6,False,40,0.10969933342036087,,,0.20495142693162136
A,validation,False,clock_quality_evidence_k16_famA_only,,0.7,False,40,0.11285919767691519,,,0.17180217255387348
A,validation,False,clock_quality_evidence_k16_famB_only,,0.3,False,40,0.11500879092444663,,,0.34402494283632495
A,validation,False,clock_quality_evidence_k16_famB_only,,0.4,False,40,0.10979773843659783,,,0.2836823550454583
A,validation,False,clock_quality_evidence_k16_famB_only,,0.5,False,40,0.10931615657939105,,,0.2436059190603304
A,validation,False,clock_quality_evidence_k16_famB_only,,0.6,False,40,0.11112945194707713,,,0.20734160212968272
A,validation,False,clock_quality_evidence_k16_famB_only,,0.7,False,40,0.11667260506727031,,,0.15564851386166384
A,validation,False,clock_quality_evidence_k16_hgb,,0.3,False,40,0.1182112486202735,,,0.36554435120573336
A,validation,False,clock_quality_evidence_k16_hgb,,0.4,False,40,0.11352294176741266,,,0.3373430644259611
A,validation,False,clock_quality_evidence_k16_hgb,,0.5,False,40,0.11077485450964883,,,0.28736894802263696
A,validation,False,clock_quality_evidence_k16_hgb,,0.6,False,40,0.11109758364558216,,,0.21077384526773352
A,validation,False,clock_quality_evidence_k16_hgb,,0.7,False,40,0.11656154786091062,,,0.1529931314457254
A,validation,False,clock_quality_evidence_k16_lucb,,0.3,False,40,0.11380433509609425,,,0.34263266289404504
A,validation,False,clock_quality_evidence_k16_lucb,,0.4,False,40,0.10993346549792911,,,0.2884655455688382
A,validation,False,clock_quality_evidence_k16_lucb,,0.5,False,40,0.1092852605844149,,,0.24542791142061882
A,validation,False,clock_quality_evidence_k16_lucb,,0.6,False,40,0.11081956759395539,,,0.2098008175426238
A,validation,False,clock_quality_evidence_k16_lucb,,0.7,False,40,0.11637491826753825,,,0.15419311720604129
A,validation,False,clock_quality_evidence_k16_noT1000,,0.3,False,32,0.1274524380070506,,,0.43990919444630716
A,validation,False,clock_quality_evidence_k16_noT1000,,0.3,True,8,0.09902628356218333,,,0.0621242484969939
A,validation,False,clock_quality_evidence_k16_noT1000,,0.4,False,32,0.1139907184569019,,,0.3438450324178594
A,validation,False,clock_quality_evidence_k16_noT1000,,0.4,True,8,0.09902628356218333,,,0.0621242484969939
A,validation,False,clock_quality_evidence_k16_noT1000,,0.5,False,32,0.11403498775917974,,,0.2983249354871558
