variant,tau,env,T,split,cap,base_seed,n_replicates,fingerprint,k,tau_off,uses_log_e,heldout_T,recommender,mean_regret,se,mean_q,mean_regret_disc,mean_regret_sel,mean_mu_star,mean_k_final,mean_search_frac,cap_hit_frac,mean_n_demoted,mean_regret_posterior_mean_shrunk,mean_regret_lcb,mean_regret_posterior_mean,mean_regret_empirical,mean_regret_oracle_prior,n_decisions,n_search_decided,n_committed_steps,n_guard_vetoes,n_cap_demoted,n_nonfinite_rows,seconds
clock_k16,0.3,beta_rare_excellent,1000,val,64,5058000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.17463481295108796,0.004521280682386279,0.3858664248585701,0.15792652490735054,0.01670828804373741,0.5605012378096581,64.0,0.062124248496993974,1.0,936.0,0.17463481295108796,0.17463481295108796,0.1751422794163227,0.1751422794163227,0.1743692722916603,31500,31500,467500,0,468000,0,0.8816787500400096
clock_k16,0.4,beta_rare_excellent,1000,val,64,5058000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.17463481295108796,0.004521280682386279,0.3858664248585701,0.15792652490735054,0.01670828804373741,0.5605012378096581,64.0,0.062124248496993974,1.0,936.0,0.17463481295108796,0.17463481295108796,0.1751422794163227,0.1751422794163227,0.1743692722916603,31500,31500,467500,0,468000,0,0.9261818749364465
clock_k16,0.5,beta_rare_excellent,1000,val,64,5058000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.17463481295108796,0.004521280682386279,0.3858664248585701,0.15792652490735054,0.01670828804373741,0.5605012378096581,64.0,0.062124248496993974,1.0,866.0,0.17463481295108796,0.17463481295108796,0.1751422794163227,0.1751422794163227,0.1743692722916603,31500,29000,467500,0,433000,0,0.9058261249447241
clock_k16,0.6,beta_rare_excellent,1000,val,64,5058000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.17463481295108796,0.004521280682386279,0.3858664248585701,0.15792652490735054,0.01670828804373741,0.5605012378096581,64.0,0.062124248496993974,1.0,354.0,0.17463481295108796,0.17463481295108796,0.1751422794163227,0.1751422794163227,0.1743692722916603,31500,13000,467500,0,177000,0,0.9099404169246554
clock_k16,0.7,beta_rare_excellent,1000,val,64,5058000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.20790614596009255,0.0045868298316115025,0.3525950918495655,0.20113623374700546,0.006769912213087082,0.5605012378096581,34.0,0.032064128256513016,0.0,0.0,0.20790614596009255,0.20824352172017097,0.2079832606613636,0.20790614596009255,0.20790614596009255,31500,1000,467500,0,0,0,0.8886519590159878
clock_k16,0.3,beta_mostly_mediocre,1000,val,64,5043000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.10313677322864533,0.0029738633463945482,0.7444177660942077,0.07767406129837036,0.025462711930274964,0.8475545393228531,64.0,0.062124248496993974,1.0,936.0,0.10313677322864533,0.10313677322864533,0.10332601583003997,0.10354340672492982,0.10313677322864533,31500,31500,467500,0,468000,0,0.9987659580074251
clock_k16,0.4,beta_mostly_mediocre,1000,val,64,5043000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.10313677322864533,0.0029738633463945482,0.7444177660942077,0.07767406129837036,0.025462711930274964,0.8475545393228531,64.0,0.062124248496993974,1.0,936.0,0.10313677322864533,0.10313677322864533,0.10332601583003997,0.10354340672492982,0.10313677322864533,31500,31500,467500,0,468000,0,1.0130052500171587
clock_k16,0.5,beta_mostly_mediocre,1000,val,64,5043000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.10313677322864533,0.0029738633463945482,0.7444177660942077,0.07767406129837036,0.025462711930274964,0.8475545393228531,64.0,0.062124248496993974,1.0,866.0,0.10313677322864533,0.10313677322864533,0.10332601583003997,0.10354340672492982,0.10313677322864533,31500,29000,467500,0,433000,0,0.9630740419961512
clock_k16,0.6,beta_mostly_mediocre,1000,val,64,5043000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.10313677322864533,0.0029738633463945482,0.7444177660942077,0.07767406129837036,0.025462711930274964,0.8475545393228531,64.0,0.062124248496993974,1.0,354.0,0.10313677322864533,0.10313677322864533,0.10332601583003997,0.10354340672492982,0.10313677322864533,31500,13000,467500,0,177000,0,0.9242578329285607
clock_k16,0.7,beta_mostly_mediocre,1000,val,64,5043000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.1162215873003006,0.0027915967552398975,0.7313329520225524,0.1031274483203888,0.013094138979911804,0.8475545393228531,34.0,0.032064128256513016,0.0,0.0,0.1162215873003006,0.11605399179458618,0.11628353953361512,0.11646444046497345,0.1162215873003006,31500,1000,467500,0,0,0,0.9025023750727996
